geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	database	userId
R-HSA-1430728	Metabolism	http://reactome.org/PathwayBrowser/#/R-HSA-1430728	1957	147	69.09481715338069	2.127511238269592	0	0	1036;1040;10681;10841;10993;11001;11046;113026;115;1152;118672;125061;132158;138050;1455;1459;1491;15;1583;1716;1717;1733;1743;191;2132;2194;22908;23169;23171;23175;23198;23236;23475;23498;23530;2581;25870;26061;2639;2683;271;2767;2769;2788;2793;2875;3036;3067;3242;335;340485;3418;3615;3631;3632;3635;3707;3708;376497;390916;3939;3992;4047;435;4363;4597;4725;501;5096;51268;51422;5169;5223;5236;5264;5294;5295;5321;5336;5338;54205;5467;5500;55066;55224;5528;55326;55501;55576;55588;5576;5578;56895;5711;5717;5826;5834;5860;5867;5903;59339;6166;6228;6319;6383;64768;64781;6482;6554;6610;6652;6720;6721;6799;7376;7416;784;79001;79369;79602;79888;801;80765;81034;8140;81693;8310;8398;84246;8529;8644;8720;8871;8877;8884;8942;9060;9261;93010;9435;9441;9495;955;9583;960;9672;9791	pathway_Reactome	PLEKHA2;AGPAT4;B4GALT1;PIK3R1;ITPKB;LPCAT1;HGSNAT;GNGT2;ADIPOR2;CTH;B3GNT7;PAPSS2;AFMID;PDPR;ST3GAL1;GNA15;MED29;MVD;INPP4A;PSTK;PHYH;GNB5;CHST2;HAS1;CERK;GALC;PSMD5;LSS;SLC7A5;PRKAR2A;INPP5D;ITPR1;NDUFS5;NUDT19;FASN;SREBF2;DHCR7;GCDH;ENPP3;SMPD2;ABCC1;SACM1L;AANAT;RANBP2;SLC27A1;SLC5A6;PLD2;SLC10A1;SORD;PSME4;ENTPD6;AMN;PPARD;AKR1C3;LDHA;SLC35D1;SYNJ2;PCCB;STARD5;AGPAT5;PLA2G6;PPP1CB;AKAP5;CSNK2A2;IPPK;ACER2;SCD;VKORC1;MBTPS1;NR1H2;ACOX3;ADCY9;KYNU;PRKAG2;GNG7;ABCD4;CDS1;CYCS;CKB;ASL;DGUOK;GPD1L;PGM1;CYP4F2;HDC;FADS1;PLCG2;PIPOX;AMPD2;SLC25A32;MED26;FTCD;PRKCA;VDAC1;CHST12;SLC27A2;DLST;CYP11A1;SPHK1;DIO1;QPRT;SUMF2;SDS;EXT2;PYGB;B3GNT4;PLCD3;APOA1;CD44;LPIN1;CACNB3;HAAO;MAPKAPK2;PSMD11;SLC35D2;PPP2R5D;CSNK1G2;PLA2G4A;HACL1;GLYCTK;SDC2;SREBF1;PTDSS1;RPL36AL;CDO1;ETNK2;AHCY;NNT;ALDH7A1;STAB2;CALM1;INPP5A;IDH2;MED10;PIK3CG;GPT;PGAM1;RPS23;RAB4A;SDC3;PLCB1;IMPDH2;ENTPD4;QDPR;HPD;GNA11;SULT1A2
GO:0012501	programmed cell death	http://amigo.geneontology.org/amigo/term/GO:0012501	1930	157	68.14154169955275	2.304027705921871	0	0	25;330;382;558;578;654;662;673;824;842;843;894;921;940;943;960;1027;1459;1491;1493;1540;1677;2021;2043;2073;2081;2099;2149;2260;2308;2324;2627;2683;2869;2908;2956;3002;3065;3090;3313;3551;3560;3565;3575;3604;3635;3676;3707;3708;3939;4209;4293;4353;4771;4914;4929;5045;5055;5133;5294;5295;5318;5336;5423;5467;5552;5578;5584;5588;5591;5598;5607;5621;5770;5924;5970;5979;6198;6348;6431;6498;6615;6647;6789;6810;7040;7057;7088;7098;7128;7133;7293;7374;7410;7416;7476;7481;7534;7704;7976;8013;8061;8312;8398;8477;8535;8567;8644;8744;8767;8795;8851;8874;8877;9021;9024;9451;9618;9709;9984;10488;10637;10672;10804;10892;11214;11315;11331;22933;23089;23136;23151;23239;23493;23529;23530;26524;26999;27250;28514;28960;29904;51604;54205;56616;64065;64782;64857;83593;83729;84433;92609;114548;116986;121512;133746;340485	geneontology_Biological_Process	WNT11;SIRT2;B4GALT1;MADD;TNFRSF9;GRAMD4;PIK3R1;ITPKB;PDCD4;NTRK1;ABL1;NR4A2;BAK1;TLE1;GRK5;NR4A3;CTH;ERN1;TNFAIP3;PIGT;JMY;MALT1;GNA13;NR3C1;CDKN1B;CDK5R1;ARHGEF7;ARF6;RASSF5;NF2;PDCD1;MEF2D;VAV2;FOXO1;CTLA4;INPP5D;ITPR1;TNFRSF4;HIC1;SKIL;CD5;AEN;THBS1;EPHA4;AKAP13;BMP6;TGFB1;TRAF4;CASP9;AXIN1;DCPS;PPARD;AKR1C3;FGFR1;LDHA;RET;MAP3K9;PRNP;CD28;CLCF1;TNFRSF10B;AGAP2;CARD11;IL4;PLA2G6;CSNK2A2;FURIN;ACER2;RASGRF2;ITGA4;GZMB;PLEKHG2;GJB6;SRSF6;CYFIP2;IL7R;NLRP3;FGD4;PRKDC;TNFRSF1B;PTPN1;PHLPP1;PERP;CYCS;RIPK2;PKP2;PRKCQ;PRKCI;CCND2;MAP2K5;GATA6;PLCG2;DLL1;TNFSF9;LATS2;PRKCA;VDAC1;DFFB;FOSL1;IKBKB;BRSK2;HEY2;STX4;AXL;SPHK1;TIMM50;HDAC1;F2R;LEFTY1;GPR65;EPB41L3;HERPUD1;SERPINB2;ZBTB16;SOCS3;HSPA9;MAPK7;DIABLO;ESR1;WNT7A;INHBE;CD44;CASP10;PEG10;ENDOG;TNFRSF8;PHB2;EEF2K;CREB3;TLR3;SOD1;IL2RB;RPS6KB1;MSH6;CCL3;SNAI1;STK4;POLB;PARK7;RELA;NNT;MPO;YWHAZ;CBX4;FLT4;PIK3CG;SRGN;CYLD;BIRC3;FZD3;THOC1;CAPN2;BNIP1;BRAF;EIF2AK3;ERCC5;UNG
R-HSA-168256	Immune System	http://reactome.org/PathwayBrowser/#/R-HSA-168256	1900	167	67.08234675085504	2.489477606086752	0	0	10000;10125;10396;10425;10450;10458;10489;10671;10788;10892;11001;11059;11127;1118;11277;114548;115650;117157;1235;126433;1277;131450;1326;138050;140459;1493;1511;1540;1604;1778;1846;1938;197131;1974;1991;2308;2317;23198;23291;23308;23529;246184;25;25898;2683;26999;27250;2889;29851;3105;3113;3118;3127;3133;330;3313;3384;3551;3560;3565;3575;3587;3594;3595;3604;3615;3635;3662;3669;3676;3702;3708;3716;3726;3796;3802;3804;3805;3809;3811;3812;3838;4001;4353;4771;4772;4791;4793;50489;5055;50615;50852;5133;51619;5223;5236;5295;5336;5338;54941;5525;5527;5528;55718;5588;5589;5591;5598;5604;56253;5657;5711;5717;5770;5834;5873;5903;5966;5970;6348;642;64333;6494;6627;6647;6709;6775;6776;6810;6993;7040;7098;7128;7133;7174;7293;7410;7525;7534;7704;79888;801;8139;820;8398;842;843;84433;84876;8514;8638;8651;868;8744;8767;8792;9020;9021;925;9261;940;942;943;9437;960;9616;9817	pathway_Reactome	PPP2R5C;DCTN6;B4GALT1;TNFRSF9;NCR1;PIK3R1;PDCD4;RNF125;ABL1;RAPGEF1;IRF4;LPCAT1;HGSNAT;IL12RB2;POLR3E;IL21R;MAP3K8;TNFAIP3;CBLB;CD86;MALT1;REL;DUSP4;ISG20;STAT4;PSMD5;NFKBIB;CAMP;ATP8A1;ORAI1;ASB6;NF2;PDCD1;VAV2;MAP3K14;FOXO1;KIR2DL4;NFATC1;CTLA4;IL12RB1;INPP5D;ITPR1;TNFRSF4;DYNLT1;ICOSLG;LRRC41;SIPA1;YES1;DYNC1H1;JAK1;RASGRP1;BLMH;ICAM2;RANBP2;TNFRSF11A;SOCS1;TGFB1;PLD2;CCR6;UBR1;PSME4;KIR2DL1;CASP9;IL10RA;KPNA2;CD28;CLCF1;CARD11;IL4;PLA2G6;ITK;RNF7;ITGA4;KIR3DL1;KCNAB2;ARIH2;CYFIP2;IL7R;NLRP3;PRKDC;TNFRSF1B;PTPN1;CD200R1;ARHGAP9;BAIAP2;TNFRSF13C;ICOS;RIPK2;KIF3A;FBXW11;PRKCQ;HLA-DQA2;COL1A1;PGM1;KIR2DL3;PLCG2;CRTAM;KEAP1;EEF2;IQGAP2;STAT5A;TNFSF9;OASL;TRAT1;PRTN3;SLC27A2;IKBKB;STX4;CD207;KIR2DS4;LMNB1;AKT3;HLA-DRB5;SERPINB2;ZBTB16;SOCS3;HSPA9;WWP1;MAPK7;TPP2;CD8A;MAP2K1;RCHY1;GAN;CTSG;PYGB;CD44;KIR3DL2;CASP10;FLNB;ELANE;MAPKAPK2;PPP2R5A;TNFRSF8;EIF4A2;CD55;HLA-DPA1;PSMD11;TLR3;SOD1;UBE2D4;PPP2R5D;IL2RB;RAB27A;SPTAN1;CCL3;JUNB;CHIT1;SNRPA1;RELA;CDC26;PRKCSH;MPO;KIF2A;CALM1;YWHAZ;SH2D1B;PGAM1;CYLD;BIRC3;HLA-E;NFKB2;PPIE;TREX1;FBXO27;IMPDH2;HLA-A
GO:0044281	small molecule metabolic process	http://amigo.geneontology.org/amigo/term/GO:0044281	1832	142	64.68150486714022	2.1953725457018467	0	0	115;136;191;271;335;435;501;642;654;801;955;960;1036;1040;1152;1407;1491;1583;1609;1716;1717;1739;1743;2194;2260;2308;2639;2673;2683;2762;2875;3036;3067;3242;3418;3487;3565;3615;3631;3632;3635;3707;3939;3992;4047;4124;4353;4363;4597;4725;4864;5096;5138;5141;5150;5151;5169;5223;5236;5264;5321;5336;5467;5826;5860;5903;6319;6482;6615;6647;6652;6675;6720;6721;6776;6799;7040;7374;7376;7416;8013;8140;8310;8514;8529;8644;8720;8811;8864;8871;8877;8942;8974;9060;9261;9435;9583;9619;9945;10352;10841;10993;10999;11001;11046;11277;11315;23169;23171;23175;23236;23475;23498;23530;23541;26061;27230;51268;51422;54205;55066;55326;55501;55576;56895;64768;79001;79369;79602;81034;81693;83667;84433;93010;113026;125061;130589;132158;197257;340485;376497;390916	geneontology_Biological_Process	PER2;AGPAT4;PDE4A;B4GALT1;ITPKB;GALR2;PDE7A;ADIPOR2;NR4A3;CTH;B3GNT7;PAPSS2;GFPT2;AFMID;PDPR;ST3GAL1;MVD;INPP4A;PHYH;CHST2;HAS1;LSS;SLC7A5;SEC14L2;FOXO1;SESN2;INPP5D;PDE2A;NDUFS5;NUDT19;FASN;SREBF2;DHCR7;GCDH;GFPT1;ENPP3;BLMH;ABCC1;RANBP2;BMP6;LDHD;TGFB1;SLC27A1;GMDS;SORD;MAN2A1;ENTPD6;AMN;PPARD;AKR1C3;FGFR1;GALM;LDHA;SLC35D1;SYNJ2;PCCB;AGPAT5;CARD11;IL4;IPPK;ACER2;PDE8A;DGKQ;SCD;KCNAB2;VKORC1;MBTPS1;NR1H2;ACOX3;ADCY9;KYNU;IGFBP4;PRKAG2;ABCD4;CDS1;CYCS;CKB;ASL;DGUOK;GPD1L;PGM1;CYP4F2;SERP1;HDC;FADS1;DLG1;PLCG2;PIPOX;STAT5A;AMPD2;SLC25A32;FTCD;WARS2;VDAC1;CHST12;SLC27A2;UAP1;DLST;CYP11A1;SPHK1;QPRT;SDS;B3GNT4;PLCD3;ABCG1;APOA1;CD44;P4HA2;LPIN1;HAAO;MAPKAPK2;ADORA2B;SOD1;SLC35D2;PLA2G4A;HACL1;GLYCTK;CRY1;SREBF1;SNAI1;CDO1;AHCY;PARK7;NNT;ALDH7A1;STAB2;MPO;CALM1;SLC27A4;INPP5A;IDH2;GPT;PGAM1;NPC1;TREX1;PLCB1;UNG;IMPDH2;ENTPD4;QDPR;HPD;SULT1A2
GO:0006955	immune response	http://amigo.geneontology.org/amigo/term/GO:0006955	1823	157	64.3637463825309	2.4392613672129517	0	0	25;136;191;330;335;462;558;613;639;643;654;673;784;801;814;820;924;925;940;942;960;1118;1233;1235;1277;1493;1511;1540;1604;1739;1778;1938;1991;1997;2069;2099;2113;2317;2359;2683;2889;2956;3002;3113;3118;3127;3133;3384;3543;3551;3565;3575;3594;3615;3635;3662;3669;3676;3702;3716;3802;3804;3805;3809;3811;3812;4092;4353;4772;4791;5133;5169;5223;5236;5294;5295;5336;5338;5588;5591;5621;5657;5717;5734;5770;5834;5873;5970;5996;6198;6348;6709;6810;6993;7040;7057;7098;7128;7133;7293;7374;7376;7410;7430;7525;8013;8398;8477;8514;8638;8651;8744;8767;8792;8942;9020;9021;9261;9437;9482;9984;10125;10155;10396;10450;10458;10663;10788;10892;11001;11277;11315;11331;22933;23529;26999;28514;29072;29851;50852;54941;55718;56253;58191;64333;65010;79888;84174;84433;84876;114548;115650;117157;118460;131450;138050;161882	geneontology_Biological_Process	BCR;SLA2;SIRT2;B4GALT1;NCR1;PIK3R1;RNF125;ABL1;RAPGEF1;IRF4;LPCAT1;HGSNAT;POLR3E;NR4A3;CD7;TNFAIP3;CD86;MALT1;ISG20;CAMP;CCR4;ATP8A1;ORAI1;PDCD1;VAV2;MAP3K14;RGS1;KIR2DL4;NFATC1;CTLA4;IL12RB1;INPP5D;TNFRSF4;DYNLT1;THBS1;YES1;EREG;DYNC1H1;JAK1;PRDM1;RASGRP1;ENPP3;ICAM2;EZR;BMP6;TNFRSF11A;SOCS1;TGFB1;PLD2;CCR6;KIR2DL1;ETS1;PTGER4;CXCR6;PRNP;CD28;CLCF1;CARD11;IL4;ZFPM1;PLA2G6;IGLL1;ITK;ITGA4;KIR3DL1;KCNAB2;TRIM28;CAMK4;GZMB;NR1H2;KYNU;CYFIP2;IL7R;NLRP3;PRKDC;TNFRSF1B;PTPN1;CD200R1;ARHGAP9;BAIAP2;TNFRSF13C;ICOS;RIPK2;SERPINC1;PRKCQ;HLA-DQA2;COL1A1;PGM1;KIR2DL3;DLG1;PLCG2;DLL1;CRTAM;EEF2;IQGAP2;TNFSF9;OASL;SMAD7;TRAT1;PRTN3;SLC27A2;IKBKB;STX4;AXL;CXCL16;STX8;GPR65;KIR2DS4;HLA-DRB5;SLC26A6;SOCS3;CD8A;ESR1;CTSG;PYGB;APOA1;CD44;SETD2;KIR3DL2;ELF1;FLNB;CACNB3;ELANE;MAPKAPK2;PHB2;CXCR5;CD55;ADORA2B;HLA-DPA1;PSMD11;TLR3;FPR3;RPS6KB1;RAB27A;MSH6;SPTAN1;CCL3;CHIT1;AHCY;PARK7;RELA;MPO;CALM1;PIK3CG;SH2D1B;PGAM1;CYLD;BIRC3;HLA-E;NFKB2;THOC1;PPIE;TREX1;BRAF;UNG;IMPDH2;EXOSC6
GO:0006915	apoptotic process	http://amigo.geneontology.org/amigo/term/GO:0006915	1803	153	63.65761641673243	2.403483017623385	0	0	25;330;382;558;578;654;662;673;824;842;843;894;921;940;943;960;1027;1459;1491;1493;1540;1677;2021;2043;2073;2081;2099;2149;2260;2308;2324;2627;2683;2869;2908;2956;3002;3065;3090;3313;3551;3560;3565;3575;3604;3635;3676;3707;3708;3939;4209;4293;4353;4771;4914;4929;5055;5133;5294;5295;5423;5467;5552;5578;5584;5588;5591;5598;5607;5621;5770;5924;5970;5979;6198;6348;6431;6498;6615;6647;6789;6810;7040;7057;7088;7098;7128;7133;7293;7374;7410;7416;7476;7481;7534;7704;7976;8013;8061;8312;8398;8477;8535;8567;8644;8744;8767;8795;8851;8874;8877;9021;9024;9451;9618;9709;9984;10488;10637;10672;10804;10892;11214;11315;11331;22933;23089;23136;23151;23239;23493;23529;23530;26524;26999;27250;28514;29904;51604;54205;56616;64065;64782;64857;83593;83729;84433;92609;114548;116986;121512;133746;340485	geneontology_Biological_Process	WNT11;SIRT2;B4GALT1;MADD;TNFRSF9;GRAMD4;PIK3R1;ITPKB;PDCD4;NTRK1;ABL1;NR4A2;BAK1;TLE1;GRK5;NR4A3;CTH;ERN1;TNFAIP3;PIGT;JMY;MALT1;GNA13;NR3C1;CDKN1B;CDK5R1;ARHGEF7;ARF6;RASSF5;NF2;PDCD1;MEF2D;VAV2;FOXO1;CTLA4;INPP5D;ITPR1;TNFRSF4;HIC1;SKIL;CD5;AEN;THBS1;EPHA4;AKAP13;BMP6;TGFB1;TRAF4;CASP9;AXIN1;PPARD;AKR1C3;FGFR1;LDHA;RET;MAP3K9;PRNP;CD28;CLCF1;TNFRSF10B;AGAP2;CARD11;IL4;PLA2G6;CSNK2A2;ACER2;RASGRF2;ITGA4;GZMB;PLEKHG2;GJB6;SRSF6;CYFIP2;IL7R;NLRP3;FGD4;PRKDC;TNFRSF1B;PTPN1;PHLPP1;PERP;CYCS;RIPK2;PRKCQ;PRKCI;CCND2;MAP2K5;GATA6;DLL1;TNFSF9;LATS2;PRKCA;VDAC1;DFFB;FOSL1;IKBKB;BRSK2;HEY2;STX4;AXL;SPHK1;TIMM50;HDAC1;F2R;LEFTY1;GPR65;EPB41L3;HERPUD1;SERPINB2;ZBTB16;SOCS3;HSPA9;MAPK7;DIABLO;ESR1;WNT7A;INHBE;CD44;CASP10;PEG10;ENDOG;TNFRSF8;PHB2;EEF2K;CREB3;TLR3;SOD1;IL2RB;RPS6KB1;MSH6;CCL3;SNAI1;STK4;POLB;PARK7;RELA;NNT;MPO;YWHAZ;CBX4;FLT4;PIK3CG;SRGN;CYLD;BIRC3;FZD3;THOC1;CAPN2;BNIP1;BRAF;EIF2AK3;ERCC5;UNG
GO:0006468	protein phosphorylation	http://amigo.geneontology.org/amigo/term/GO:0006468	1769	153	62.45719547487503	2.449677716661935	0	0	25;27;136;335;558;578;613;654;673;801;814;864;868;894;900;902;904;960;1027;1028;1326;1407;1453;1455;1459;1511;1540;1609;1716;1739;1839;1844;1846;1847;1850;1855;1991;2043;2069;2081;2149;2254;2260;2308;2324;2869;2889;3487;3551;3560;3565;3595;3702;3707;3716;4092;4216;4293;4771;4914;5021;5151;5187;5294;5295;5525;5527;5528;5576;5578;5584;5588;5591;5598;5604;5607;5621;5734;5770;5922;5924;5979;6198;6348;6482;6647;6709;6711;6776;6789;7016;7040;7057;7098;7128;7293;7430;7476;7481;7525;8312;8317;8398;8567;8651;8661;8767;8792;8795;8851;8877;9020;9021;9024;9261;9451;9618;10000;10125;10155;10637;10892;11171;11214;11315;11331;22933;23043;23171;23235;23236;23239;23291;23387;23529;23530;26524;27148;27250;29904;50855;51332;51422;51429;56937;57521;57731;80824;83667;83729;132158;145957;376497	geneontology_Biological_Process	PPP2R5C;CCNT1;WNT11;BCR;CCNH;SIRT2;DUSP16;MADD;PIK3R1;ITPKB;PDCD4;NTRK1;ABL1;RAPGEF1;BAK1;SPTBN4;IL12RB2;GRK5;MAP3K8;STRAP;ERN1;TNFAIP3;ST3GAL1;PARD6A;CBLB;MALT1;DUSP4;CDKN1B;PMEPA1;CDK5R1;NF2;MAP3K14;FOXO1;PRKAR2A;SIK2;SESN2;DUSP5;SNX9;FGF9;TNFRSF4;SIK3;CCNG1;THBS1;RUNX3;YES1;NRG4;EREG;JAK1;CSNK1D;RASGRP1;EPHA4;AKAP13;EZR;BMP6;TNFRSF11A;SOCS1;TGFB1;SLC27A1;TRAF4;AXIN1;PTGER4;FGFR1;RPTOR;RET;DUSP2;MAP3K9;PRNP;CLCF1;TNFRSF10B;IL4;PLA2G6;CSNK2A2;ITK;PDE8A;DGKQ;RASGRF2;TRIM28;CAMK4;RASA2;IGFBP4;PRKAG2;PRKDC;PTPN1;PHLPP1;TESK1;RIPK2;DGUOK;CDKN1C;FBXW11;PER1;PRKCQ;PRKCI;CCND2;GPD1L;SPTBN5;MAP2K5;DLG1;TNIK;STAT5A;LATS2;SMAD7;PRKCA;IKBKB;BRSK2;AXL;SPHK1;F2R;LEFTY1;AKT3;SOCS3;OXTR;MAPK7;SPTBN1;WNT7A;MAP2K1;CTSG;INHBE;APOA1;CD44;ABL2;ELANE;MAPKAPK2;PPP2R5A;PHB2;STK36;EEF2K;CDC7;ADORA2B;TLR3;SOD1;PPP2R5D;CSNK1G2;IL2RB;RPS6KB1;GLYCTK;CRY1;SPTAN1;CCL3;STK4;DUSP8;HBEGF;PARK7;NNT;CALM1;FLT4;PIK3CG;CYLD;PLCB1;BRAF;EIF2AK3;MAP3K4;EIF3A;DVL1
GO:1902531	regulation of intracellular signal transduction	http://amigo.geneontology.org/amigo/term/GO:1902531	1739	144	61.39800052617732	2.3453532487365765	0	0	25;136;330;335;382;394;558;613;654;673;801;843;940;942;960;1326;1459;1491;1540;1609;1739;1839;1844;1846;1847;1850;1991;2043;2069;2081;2099;2149;2151;2254;2260;2308;2324;2889;3065;3090;3487;3551;3565;3575;3707;3708;4216;4249;4293;4771;4914;5138;5140;5141;5151;5187;5294;5295;5467;5527;5578;5598;5604;5607;5621;5770;5922;5924;5966;5970;5979;6348;6494;6498;6615;6647;6993;7040;7057;7088;7098;7128;7410;7430;7476;7481;8312;8398;8477;8567;8644;8651;8661;8767;8792;8795;8851;8874;8877;9020;9021;9261;9265;9267;9451;9495;9618;9709;10000;10125;10488;10637;10672;10892;11214;11315;11331;23043;23171;23235;23236;23239;23291;23529;27250;29851;50852;51306;54941;57521;64333;64857;80824;83667;83729;84174;84433;91614;114548;116984;121512;133746;145957;197131	geneontology_Biological_Process	PPP2R5C;CYTH3;WNT11;BCR;SLA2;PDE4A;DUSP16;MADD;PIK3R1;ITPKB;PDCD4;NTRK1;RNF125;ABL1;RAPGEF1;TLE1;CTH;MAP3K8;ERN1;TNFAIP3;F2RL2;JMY;CD86;MALT1;REL;DUSP4;GNA13;CDK5R1;ARHGEF7;ARF6;NF2;VAV2;MAP3K14;FOXO1;SIK2;SESN2;ITPR1;DUSP5;FGF9;PDE2A;HIC1;DYNLT1;SKIL;THBS1;SIPA1;NRG4;EREG;RASGRP1;PDE3B;EPHA4;AKAP13;EZR;BMP6;TNFRSF11A;SOCS1;TGFB1;TRAF4;UBR1;AXIN1;PPARD;AKR1C3;FGFR1;RPTOR;RET;DUSP2;MAP3K9;PRNP;CD28;CLCF1;TNFRSF10B;CARD11;IL4;PLA2G6;AKAP5;CSNK2A2;PDE8A;DGKQ;RASGRF2;PLEKHG2;RASA2;IGFBP4;IL7R;NLRP3;FGD4;PTPN1;PHLPP1;ARHGAP9;ICOS;RIPK2;CYTH1;FBXW11;PER1;GPD1L;MAP2K5;DLG1;TNIK;ARHGAP5;TRAT1;PRKCA;MGAT5;IKBKB;AXL;SPHK1;HDAC1;F2R;LEFTY1;GPR65;HERPUD1;AKT3;SOCS3;MAPK7;ESR1;WNT7A;MAP2K1;INHBE;APOA1;CD44;FAM13B;CASP10;ELANE;MAPKAPK2;PHB2;ADORA2B;CREB3;TLR3;SOD1;CCL3;SNAI1;DUSP8;HBEGF;PARK7;RELA;CALM1;DEPDC7;FLT4;PIK3CG;CYLD;ARAP2;BIRC3;PLCB1;BRAF;EIF2AK3;MAP3K4;EIF3A
GO:0031399	regulation of protein modification process	http://amigo.geneontology.org/amigo/term/GO:0031399	1690	132	59.66798210997106	2.2122417305267246	0	0	25;136;330;335;558;578;654;673;801;868;894;900;902;904;960;1027;1028;1326;1407;1408;1453;1540;1609;1739;1839;1844;1846;1847;1850;1855;1991;2043;2069;2081;2149;2254;2260;2308;2324;2889;3487;3551;3565;3707;4092;4216;4249;4293;4771;4914;5151;5187;5294;5525;5527;5528;5576;5578;5591;5604;5607;5621;5770;5970;5979;6348;6497;6647;6720;6789;7016;7040;7057;7098;7128;7293;7430;7476;7481;7525;8312;8398;8567;8651;8661;8767;8792;8795;8851;8864;8877;9020;9021;9261;9451;9618;9709;10125;10267;10637;10892;11171;11214;11315;11331;22933;23043;23171;23236;23239;23529;23530;25898;26524;27250;29904;50855;51422;51429;55844;56937;57521;57599;57731;79139;80824;83593;83667;83729;135112;340485;376497	geneontology_Biological_Process	PPP2R5C;CCNT1;WNT11;PER2;CCNH;SIRT2;DUSP16;MADD;ITPKB;PDCD4;NTRK1;RAMP1;ABL1;RAPGEF1;BAK1;SPTBN4;DERL1;MAP3K8;STRAP;ERN1;TNFAIP3;PARD6A;CBLB;MALT1;DUSP4;CDKN1B;SKI;PMEPA1;CDK5R1;RASSF5;NF2;MAP3K14;FOXO1;PRKAR2A;SESN2;DUSP5;SNX9;FGF9;TNFRSF4;CCNG1;WDR48;THBS1;YES1;EREG;CSNK1D;RASGRP1;EPHA4;AKAP13;EZR;BMP6;TNFRSF11A;SOCS1;TGFB1;SLC27A1;TRAF4;AXIN1;FGFR1;RPTOR;RET;DUSP2;MAP3K9;PRNP;CLCF1;TNFRSF10B;IL4;PLA2G6;ACER2;PDE8A;DGKQ;IGFBP4;PRKAG2;PRKDC;PTPN1;PHLPP1;TESK1;CRY2;RIPK2;CDKN1C;PER1;CCND2;GPD1L;MAP2K5;DLG1;TNIK;LATS2;SMAD7;PRKCA;MGAT5;IKBKB;AXL;SPHK1;F2R;LEFTY1;NCOA7;HERPUD1;SOCS3;WNT7A;MAP2K1;RCHY1;INHBE;APOA1;CD44;ELANE;MAPKAPK2;PPP2R5A;PHB2;EEF2K;ADORA2B;TLR3;SOD1;PPP2R5D;CRY1;CCL3;SREBF1;STK4;DUSP8;HBEGF;PARK7;RELA;PPP2R2D;NNT;CALM1;FLT4;PIK3CG;CYLD;BIRC3;PLCB1;BRAF;EIF2AK3;MAP3K4;EIF3A;DVL1
GO:0044093	positive regulation of molecular function	http://amigo.geneontology.org/amigo/term/GO:0044093	1628	131	57.478979215995786	2.2790940581551613	0	0	25;27;136;335;394;483;578;613;673;784;801;842;843;894;904;943;1027;1326;1491;1609;1739;1847;1991;2043;2069;2081;2099;2149;2260;2769;2775;2889;2956;2962;3191;3359;3551;3565;3662;3702;4216;4293;4791;4914;4929;5294;5336;5576;5584;5588;5604;5607;5621;5657;5770;5867;5903;5905;5922;5970;5979;5981;5996;6118;6348;6494;6497;6647;6720;6789;6810;6904;7040;7057;7098;7376;7410;7481;8061;8312;8477;8567;8651;8767;8792;8795;8811;8851;8874;8877;9020;9261;9451;9495;9618;9709;10125;10155;10672;10681;10892;11214;11315;11331;22933;23043;23129;23151;23198;23236;26577;26999;27148;51306;51422;51429;54205;56616;57521;64065;64333;79139;84433;84876;91614;114548;116984;116986;133746;340485;376497	geneontology_Biological_Process	ATP1B3;CCNT1;WNT11;PLXND1;BCR;SIRT2;MADD;GRAMD4;NTRK1;ABL1;NR4A2;RAPGEF1;IRF4;BAK1;GALR2;CTH;DERL1;MAP3K8;ERN1;GNA15;JMY;MALT1;GNB5;GNA13;CDKN1B;SKI;CDK5R1;ARHGEF7;RFC1;ORAI1;VAV2;MAP3K14;RGS1;PRKAR2A;DUSP5;SNX9;THBS1;SIPA1;EREG;HNRNPL;GNAO1;HTR3A;RASGRP1;EPHA4;AKAP13;RANBP2;TNFRSF11A;SOCS1;TGFB1;PCOLCE2;RANGAP1;SLC27A1;TRAF4;PSME4;CASP9;AXIN1;FGFR1;RPTOR;RPA2;RET;MAP3K9;PRNP;TNFRSF10B;AGAP2;CARD11;IL4;AKAP5;ACER2;ITK;DGKQ;TRIM28;NR1H2;RASA2;CYFIP2;PRKAG2;NLRP3;PTPN1;PERP;ARHGAP9;CYCS;RIPK2;PRKCQ;PRKCI;CCND2;MAP2K5;DLG1;PLCG2;TNIK;ARHGAP5;PRTN3;FOSL1;IKBKB;STX4;SPHK1;TBCD;F2R;GPR65;HERPUD1;DIABLO;ESR1;MAP2K1;APOA1;ABL2;FAM13B;CASP10;GTF2F1;CACNB3;ELANE;MAPKAPK2;TNFRSF8;PHB2;STK36;ADORA2B;TLR3;SOD1;MSH6;CCL3;SREBF1;STK4;PARK7;RELA;CALM1;DEPDC7;PIK3CG;ARAP2;RAB4A;NFKB2;PLCB1;BRAF;EIF2AK3;MAP3K4
