factors	hsq	SE	zscore	pval	qvalues
pwy1_pc1	1e-06	0.695429	1.43796131596468e-06	0.999998852672867	0.99999930179044
pwy1_pc2	1e-06	0.943756	1.05959591250281e-06	0.999999154564781	0.99999930179044
pwy1_pc3	1e-06	0.569204	1.75683937568956e-06	0.999998598244986	0.99999930179044
pwy1_pc4	0.999999	0.712191	1.40411631149509	0.160284217124029	0.99999930179044
pwy1_pc5	0.340634	0.621355	0.548211569875514	0.583546638657725	0.99999930179044
pwy10_pc1	1e-06	0.76133	1.31349086467104e-06	0.999998951985918	0.99999930179044
pwy10_pc2	1e-06	0.814278	1.22808180989785e-06	0.999999020132484	0.99999930179044
pwy10_pc3	1e-06	0.797221	1.25435732375339e-06	0.999998999167658	0.99999930179044
pwy10_pc4	1e-06	0.540548	1.84997447035231e-06	0.999998523933932	0.99999930179044
pwy10_pc5	1e-06	0.60501	1.65286524189683e-06	0.999998681204342	0.99999930179044
pwy100_pc1	1e-06	0.611849	1.63439018450631e-06	0.999998695945305	0.99999930179044
pwy100_pc2	0.009939	0.777029	0.0127910283914757	0.98979451421769	0.99999930179044
pwy100_pc3	0.756753	0.698321	1.08367498614534	0.278508930127784	0.99999930179044
pwy100_pc4	1e-06	1.142758	8.75075912835439e-07	0.99999930179044	0.99999930179044
pwy100_pc5	0.117872	0.728803	0.16173369209512	0.871515571368964	0.99999930179044
pwy101_pc1	1e-06	0.635775	1.57288348865558e-06	0.999998745020548	0.99999930179044
pwy101_pc2	0.999999	0.679418	1.47184649214475	0.141062335596597	0.99999930179044
pwy101_pc3	1e-06	0.99803	1.00197388856046e-06	0.999999200540504	0.99999930179044
pwy101_pc4	0.489369	0.707524	0.69166416969601	0.489148253187396	0.99999930179044
pwy101_pc5	0.220958	0.713398	0.30972612763142	0.756769232179331	0.99999930179044
pwy102_pc1	1e-06	0.660975	1.51291652483074e-06	0.999998792867263	0.99999930179044
pwy102_pc2	0.118975	0.764741	0.155575547799843	0.87636760025355	0.99999930179044
pwy102_pc3	0.005073	0.770798	0.00658149087050044	0.994748767957804	0.99999930179044
pwy102_pc4	1e-06	0.664319	1.50530091717985e-06	0.999998798943639	0.99999930179044
pwy102_pc5	0.137532	0.711766	0.19322642553873	0.846781644112988	0.99999930179044
pwy103_pc1	0.503514	0.761485	0.661226419430455	0.508467120771375	0.99999930179044
pwy103_pc2	1e-06	0.683928	1.46214221380028e-06	0.999998833379302	0.99999930179044
pwy103_pc3	1e-06	0.914086	1.09398896821524e-06	0.999999127123093	0.99999930179044
pwy103_pc4	0.607541	0.75006	0.809989867477269	0.417945999310863	0.99999930179044
pwy103_pc5	1e-06	0.956149	1.04586209889881e-06	0.999999165522779	0.99999930179044
pwy104_pc1	1e-06	0.693844	1.44124615907899e-06	0.999998850051941	0.99999930179044
pwy104_pc2	1e-06	0.868842	1.15095725114578e-06	0.999999081668979	0.99999930179044
pwy104_pc3	0.90677	0.628551	1.4426355220181	0.1491231713468	0.99999930179044
pwy104_pc4	0.247041	0.575505	0.429259519899914	0.667734372271274	0.99999930179044
pwy104_pc5	1e-06	0.768531	1.30118368679988e-06	0.999998961805626	0.99999930179044
