factors	hsq	SE	zscore	pval	qvalues
pwy1_pc1	0.521381	0.967403	0.538949124615078	0.589921959466669	0.999999406061019
pwy1_pc2	1e-06	1.131478	8.83799773393738e-07	0.999999294829806	0.999999406061019
pwy1_pc3	1e-06	0.897897	1.11371348829543e-06	0.999999111385202	0.999999406061019
pwy1_pc4	0.999999	1.234122	0.81029185121082	0.417772457649521	0.999999406061019
pwy1_pc5	0.21902	0.873984	0.2505995533099	0.802123727110001	0.999999406061019
pwy10_pc1	1e-06	0.968992	1.03200026419207e-06	0.999999176582922	0.999999406061019
pwy10_pc2	1e-06	1.010855	9.8926156570428e-07	0.99999921068347	0.999999406061019
pwy10_pc3	1e-06	1.196882	8.35504251881138e-07	0.999999333364057	0.999999406061019
pwy10_pc4	0.413282	0.910499	0.453907143225857	0.649895661999673	0.999999406061019
pwy10_pc5	0.55832	0.978804	0.570410419246346	0.568399364368199	0.999999406061019
pwy100_pc1	0.01752	0.979447	0.01788764476281	0.98572848548962	0.999999406061019
pwy100_pc2	1e-06	1.176791	8.49768565531178e-07	0.999999321982781	0.999999406061019
pwy100_pc3	1e-06	1.130029	8.84933041541412e-07	0.999999293925589	0.999999406061019
pwy100_pc4	0.200183	1.016516	0.196930495929233	0.843881928652702	0.999999406061019
pwy100_pc5	1e-06	0.905745	1.10406350573285e-06	0.999999119084775	0.999999406061019
pwy101_pc1	0.138995	0.901799	0.154130798548235	0.877506604699749	0.999999406061019
pwy101_pc2	1e-06	1.222671	8.17881506963034e-07	0.999999347424973	0.999999406061019
pwy101_pc3	1e-06	0.937352	1.06683508436532e-06	0.999999148788757	0.999999406061019
pwy101_pc4	1e-06	1.040332	9.61231606833203e-07	0.999999233048142	0.999999406061019
pwy101_pc5	0.171238	0.693896	0.246777615089293	0.805080335366191	0.999999406061019
pwy102_pc1	0.54728	1.002413	0.545962592264865	0.585091651280242	0.999999406061019
pwy102_pc2	1e-06	1.213618	8.23982505203449e-07	0.999999342557081	0.999999406061019
pwy102_pc3	1e-06	1.119605	8.93172145533469e-07	0.999999287351735	0.999999406061019
