LVs	Heritability	SE	zscore	pval
75	0.999999	0.321676	3.10871498029073	0.000939514445177703
86	0.515536	0.260623	1.97809095897139	0.023959223163232
32	0.449123	0.155946	2.87999050953535	0.00198843570947627
92	0.418656	0.213427	1.96158873994387	0.0249051921348983
24	0.373383	0.172332	2.16664925840819	0.0151308041934931
25	0.268579	0.160933	1.66888705237583	0.0475698830273487
36	0.253579	0.123365	2.05551817776517	0.0199144908765411
17	0.230138	0.119513	1.9256315212571	0.0270751999700398
30	0.208288	0.127293	1.63628793413621	0.0508896700747129
90	0.198627	0.163103	1.21780102144044	0.111649798040005
28	0.176182	0.112029	1.57264636835105	0.0579003623461474
4	0.172145	0.175344	0.981755862761201	0.163110068596946
88	0.169486	0.144028	1.17675729719221	0.119646195623741
59	0.156741	0.14047	1.11583256211291	0.132246906398713
26	0.154324	0.136395	1.13144910004032	0.128933057734262
6	0.145608	0.175108	0.831532539918222	0.202836426845063
14	0.145451	0.136275	1.0673344340488	0.142910422079734
41	0.142898	0.162159	0.881221517152918	0.18909896763676
43	0.11574	0.114314	1.01247441258289	0.15565563744327
16	0.112086	0.085079	1.31743438451322	0.0938465308381322
37	0.097743	0.078841	1.23974835428267	0.10753424301056
29	0.084437	0.075795	1.11401807507091	0.132635716227621
91	0.069124	0.138247	0.50000361671501	0.308536265407186
20	0.063528	0.066183	0.959883958116132	0.168556810376753
22	0.061351	0.081616	0.751703097431876	0.226114813645836
13	0.051476	0.111019	0.463668381087922	0.321442677025154
1	0.04966	0.080511	0.61681012532449	0.268679986309652
46	0.046819	0.065325	0.716708763872943	0.236776908584045
19	0.044149	0.054487	0.810266669113734	0.208893463739214
9	0.041055	0.06254	0.656459865685961	0.255764141300389
56	0.03578	0.062871	0.569101811646069	0.284643524499308
38	0.028192	0.051742	0.544857175988559	0.292925875602425
40	0.023503	0.043312	0.542644070927226	0.293687444592888
54	0.022797	0.066957	0.34047224338008	0.366750461063194
72	0.01923	0.062565	0.307360345240949	0.379284554077125
53	0.018928	0.048909	0.387004436811221	0.349376461652796
12	0.012589	0.037046	0.339820763375263	0.36699575527004
64	0.005879	0.034533	0.170242956013089	0.432409535374725
77	0.005349	0.044986	0.118903658916107	0.452675841466821
35	0.003839	0.033336	0.115160787137029	0.454158839582602
49	0.000923	0.026316	0.0350737194102447	0.486010478693534
11	0.000681	0.025925	0.026268081002893	0.489521756895844
76	0.000298	0.02887	0.0103221337028057	0.495882137566057
67	0.000203	0.029895	0.00679043318280649	0.497291029919581
96	0.000103	0.034157	0.00301548730860439	0.498796996439769
2	1e-06	0.063538	1.57386131134124e-05	0.499993721201794
3	1e-06	0.073268	1.36485232297865e-05	0.499994555027019
5	1e-06	0.151877	6.58427543340993e-06	0.499997373254144
7	1e-06	0.12461	8.02503811893107e-06	0.499996798472993
8	1e-06	0.08357	1.19660165131028e-05	0.499995226250085
10	1e-06	0.13361	7.48446972531996e-06	0.49999701412858
15	1e-06	0.032183	3.10723052543268e-05	0.499987603943686
18	1e-06	0.062528	1.5992835209826e-05	0.499993619781852
21	1e-06	0.031988	3.12617231461798e-05	0.499987528376881
23	1e-06	0.058516	1.70893430856518e-05	0.499993182338499
27	1e-06	0.034118	2.93100416202591e-05	0.499988306985159
31	1e-06	0.077278	1.29402934858563e-05	0.499994837569808
33	1e-06	0.043192	2.31524356362289e-05	0.499990763514531
34	1e-06	0.120475	8.30047727744345e-06	0.499996688588667
39	1e-06	0.098617	1.01402395124573e-05	0.499995954629725
42	1e-06	0.051477	1.94261514851293e-05	0.499992250086828
44	1e-06	0.109173	9.15977393677924e-06	0.499996345778898
45	1e-06	0.103448	9.66669244451319e-06	0.499996143547672
47	1e-06	0.072142	1.38615508303069e-05	0.499994470041302
48	1e-06	0.036703	2.72457292319429e-05	0.49998913052665
50	1e-06	0.098839	1.01174637541861e-05	0.499995963715938
51	1e-06	0.039798	2.51268907985326e-05	0.499989975820886
52	1e-06	0.056142	1.78119767731823e-05	0.499992894049368
55	1e-06	0.037825	2.64375413086583e-05	0.499989452946983
57	1e-06	0.04239	2.35904694503421e-05	0.499990588764323
58	1e-06	0.079976	1.25037511253376e-05	0.499995011725013
60	1e-06	0.047552	2.10296096904441e-05	0.499991610399555
61	1e-06	0.054308	1.84134934079694e-05	0.49999265407895
62	1e-06	0.120802	8.27800864224102e-06	0.499996697552355
63	1e-06	0.124956	8.00281699158104e-06	0.49999680733794
65	1e-06	0.072272	1.38366172238211e-05	0.499994479988372
66	1e-06	0.138374	7.22679116018905e-06	0.499997116927455
68	1e-06	0.080497	1.24228232108029e-05	0.499995044010579
69	1e-06	0.098188	1.01845439361225e-05	0.499995936954817
70	1e-06	0.052052	1.92115576730961e-05	0.499992335697372
71	1e-06	0.17473	5.72311566416757e-06	0.499997716807186
73	1e-06	0.090764	1.10175840641664e-05	0.499995604619889
74	1e-06	0.062045	1.61173341929245e-05	0.499993570113943
78	1e-06	0.163537	6.11482416823104e-06	0.499997560538102
79	1e-06	0.10007	9.9930048965724e-06	0.499996013367839
80	1e-06	0.161375	6.19674670797831e-06	0.499997527855737
81	1e-06	0.055707	1.79510653957312e-05	0.499992838561036
82	1e-06	0.046014	2.17325161907246e-05	0.499991329980433
83	1e-06	0.059718	1.67453699052212e-05	0.499993319563944
84	1e-06	0.101893	9.81421687456449e-06	0.49999608469394
85	1e-06	0.062435	1.60166573236166e-05	0.499993610278203
87	1e-06	0.11923	8.38715088484442e-06	0.4999966540109
89	1e-06	0.063204	1.58217834314284e-05	0.499993688021638
93	1e-06	0.097658	1.02398165024883e-05	0.499995914904254
94	1e-06	0.173687	5.75748328890475e-06	0.499997703096487
95	1e-06	0.144226	6.93356260313674e-06	0.499997233908724
97	1e-06	0.075586	1.32299632207022e-05	0.499994722008303
98	1e-06	0.074217	1.34740019133083e-05	0.499994624650951
99	1e-06	0.065675	1.52264940997335e-05	0.499993925507722
100	1e-06	0.093266	1.07220208864967e-05	0.499995722532537
