LVs	Heritability	SE	zscore	pval
4	0.470289	0.202452	2.32296544366072	0.0100905044529072
23	0.335175	0.164898	2.03262016519303	0.0210454563030751
52	0.285518	0.178481	1.59971089359652	0.054831367040674
25	0.265348	0.16457	1.61237163517044	0.0534405467157989
32	0.242236	0.128601	1.88362454413263	0.0298078897388265
30	0.202581	0.120615	1.67956721800771	0.0465207751860856
37	0.178161	0.101355	1.7577919194909	0.0393914603744165
16	0.154691	0.095221	1.62454710620556	0.0521295476934754
36	0.141081	0.093742	1.50499242602035	0.0661630119961228
41	0.135564	0.111065	1.22058254175483	0.111122059877516
19	0.114019	0.120736	0.94436622051418	0.172491268507075
57	0.110577	0.118983	0.929351251859509	0.176353541181564
53	0.105128	0.095056	1.10595859282949	0.134372221033138
29	0.098457	0.077521	1.27006875556301	0.102030069979725
21	0.087425	0.098173	0.890519796685443	0.186593421654999
47	0.075311	0.072131	1.0440864538132	0.148222696288236
26	0.075297	0.079574	0.946251288109181	0.172010216162238
38	0.07345	0.071466	1.02776145299863	0.152031026335727
14	0.065398	0.075158	0.870140237898826	0.192111885216481
46	0.064006	0.081943	0.781103938103316	0.217370682953909
31	0.062327	0.066587	0.936023548140027	0.17463053179896
17	0.060458	0.070534	0.857146907874217	0.195681849958146
45	0.05899	0.073623	0.801244176412263	0.211495150594147
39	0.055807	0.061559	0.906561185204438	0.182319447716382
1	0.051424	0.082164	0.625870210797916	0.265700037510306
27	0.046469	0.068235	0.681014142302337	0.247931270930521
24	0.04182	0.07156	0.584404695360537	0.279474034248551
50	0.038552	0.052427	0.735346291033246	0.231064311365181
18	0.037144	0.05375	0.691051162790698	0.244766694711133
60	0.032372	0.088173	0.367141868826058	0.356756598925746
33	0.032225	0.044906	0.717610118915067	0.236498858334375
40	0.031269	0.047332	0.660631285388321	0.254424400245408
10	0.029001	0.048592	0.596826638129733	0.27531156555511
44	0.02848	0.065358	0.435753848036966	0.331507666099079
54	0.027452	0.047085	0.583030689179144	0.279936320464547
51	0.026094	0.041774	0.624646909560971	0.26610141233293
48	0.025337	0.060364	0.419736929295607	0.337338822064384
13	0.016894	0.041343	0.408630239702005	0.341405517675987
8	0.016459	0.042849	0.384116315433266	0.350446119702431
49	0.009443	0.034821	0.27118692742885	0.393123633395824
43	0.007428	0.037751	0.196762999655638	0.422006503513998
15	0.005838	0.041144	0.141891891891892	0.443582699425119
7	0.004803	0.039111	0.122804326148654	0.451131024211353
12	0.000776	0.038157	0.0203370285923946	0.491887258671795
2	1e-06	0.122883	8.1378221560346e-06	0.499996753478672
3	1e-06	0.079035	1.26526222559625e-05	0.499994952334024
5	1e-06	0.126029	7.93468170024359e-06	0.499996834519988
6	1e-06	0.071115	1.4061730999086e-05	0.499994390180969
9	1e-06	0.145756	6.8607810313126e-06	0.49999726294437
11	1e-06	0.106795	9.36373425722178e-06	0.499996264410502
20	1e-06	0.091461	1.09336219809536e-05	0.499995638115914
22	1e-06	0.03117	3.20821302534488e-05	0.499987201081799
28	1e-06	0.031142	3.21109755314366e-05	0.499987189574198
34	1e-06	0.060774	1.64544048441768e-05	0.499993435642209
35	1e-06	0.147725	6.76933491284481e-06	0.499997299426093
42	1e-06	0.086129	1.16104912398844e-05	0.499995368084148
55	1e-06	0.137664	7.26406322640632e-06	0.499997102058051
56	1e-06	0.034953	2.86098475095128e-05	0.499988586322194
58	1e-06	0.168149	5.94710643536387e-06	0.499997627447797
59	1e-06	0.049102	2.03657692151033e-05	0.499991875233588
