LVs	Heritability	SE	zscore	pval
6	0.826231	0.414123	1.9951342958493	0.0230141173706111
25	0.704879	0.409903	1.71962391102285	0.0427504134394562
36	0.624521	0.365302	1.70960191841271	0.0436697553318603
21	0.622603	0.387553	1.60649769192859	0.0540823008321679
23	0.59319	0.342582	1.73152705045799	0.041678902275274
32	0.566108	0.299074	1.89286932331129	0.0291876248546813
29	0.468783	0.350909	1.33591044971773	0.0907892724959236
41	0.448293	0.345481	1.29759089501304	0.0972139762718647
43	0.443911	0.392859	1.12994993114578	0.129248661322609
60	0.423599	0.346754	1.22161243994301	0.110927111035143
53	0.376594	0.328941	1.14486792464302	0.126131936365971
30	0.359295	0.240389	1.49463993776754	0.0675042185983797
16	0.331903	0.222613	1.49094167905738	0.0679884037300291
19	0.30773	0.334188	0.920828994458209	0.178569857321989
37	0.298604	0.185864	1.60657254766926	0.054074084312468
1	0.285969	0.313908	0.910996215451661	0.181148683868925
17	0.267407	0.299334	0.893339881202937	0.18583759344533
46	0.251157	0.30302	0.828846280773546	0.203595698023199
26	0.229975	0.257018	0.894781688442055	0.185451900436631
10	0.20801	0.299906	0.69358398965009	0.243971568539804
57	0.204542	0.236654	0.864308230581355	0.193709294994409
39	0.18566	0.208997	0.888338110116413	0.187179452840636
47	0.1745	0.180012	0.96937981912317	0.166177858778611
38	0.161434	0.166589	0.969055579900233	0.166258729478192
14	0.161064	0.196037	0.821600004080862	0.205652293488322
31	0.149934	0.171995	0.871734643448937	0.191676578151604
45	0.131478	0.170614	0.770616713751509	0.220467075713499
40	0.119262	0.169909	0.701916908462765	0.24136549178845
18	0.089216	0.131751	0.677156150617453	0.249153442893893
51	0.07989	0.114153	0.699850201045965	0.242010429988008
50	0.071621	0.098791	0.724974947110567	0.234233700034704
27	0.064056	0.099251	0.645394001067999	0.259335944979556
33	0.064009	0.088289	0.724994053619364	0.234227839216286
54	0.059267	0.098207	0.603490586210759	0.273091188076323
48	0.058419	0.131582	0.443974099800885	0.328530654807218
49	0.05036	0.107807	0.467131076831746	0.320203050649842
8	0.046681	0.100202	0.465868944731642	0.320654655692158
24	0.040576	0.078036	0.519965144292378	0.301543934610179
13	0.036172	0.077352	0.467628503464681	0.320025138907311
44	0.030326	0.081084	0.37400720240738	0.354199478839242
52	0.018671	0.089007	0.209770018088465	0.416923587257024
15	0.009424	0.060842	0.154893001544985	0.43845283550951
22	0.00705	0.056286	0.125253171303699	0.450161562013403
7	0.006884	0.052662	0.130720443583609	0.447998229737539
2	1e-06	0.15164	6.5945660775521e-06	0.499997369148771
3	1e-06	0.121153	8.25402590113328e-06	0.499996707120085
4	1e-06	0.288466	3.46661304971816e-06	0.499998617021485
5	1e-06	0.214557	4.66076613673756e-06	0.499998140623329
9	1e-06	0.218053	4.5860410083787e-06	0.499998170434342
11	1e-06	0.17204	5.81260172053011e-06	0.499997681107415
12	1e-06	0.051984	1.92366882117575e-05	0.499992325671738
20	1e-06	0.120712	8.28418052886208e-06	0.499996695090129
28	1e-06	0.041906	2.38629313224837e-05	0.499990480067762
34	1e-06	0.09659	1.0353038616834e-05	0.499995869735165
35	1e-06	0.179923	5.55793311583288e-06	0.499997782705488
42	1e-06	0.120782	8.27937937772185e-06	0.499996697005511
55	1e-06	0.200156	4.99610303962909e-06	0.49999800684326
56	1e-06	0.048655	2.05528722638989e-05	0.499991800590271
58	1e-06	0.361763	2.76424067690726e-06	0.499998897227521
59	1e-06	0.067899	1.472775740438e-05	0.499994124474876
