LVs	V(G)/Vlvs	SE	zscore	pval	LV_AUC	pwys
104	0.566678	0.188215	3.01080147703424	0.00130279572931724	0.859888262976099	1.KEGG_ECM_RECEPTOR_INTERACTION,2.PID_FRA_PATHWAY,3.KEGG_TGF_BETA_SIGNALING_PATHWAY,
109	0.387407	0.199922	1.93779073838797	0.026324379084793	0	no-related-pathways
116	0.385306	0.192858	1.99787408352259	0.0228651565062884	0	no-related-pathways
65	0.371206	0.190483	1.94876183176451	0.0256619369247799	0.742056354916067	1.PID_ERBB1_DOWNSTREAM_PATHWAY,2.REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,3.PID_SHP2_PATHWAY,
51	0.342268	0.189556	1.80562999852286	0.03548807680646	0.71801981400338	1.REACTOME_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT,2.REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,
119	0.340245	0.139253	2.443358491379	0.0072756374502676	0.546599626431038	1.REACTOME_GENERIC_TRANSCRIPTION_PATHWAY,2.REACTOME_GPCR_LIGAND_BINDING,
13	0.317717	0.183794	1.72865817164869	0.0419351458619612	0.672641906940348	1.PID_FCER1PATHWAY,2.KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,3.REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,
75	0.306539	0.118445	2.58802819874203	0.00482635391537334	0.839352058255313	1.REACTOME_CELL_CYCLE,2.REACTOME_DESTABILIZATION_OF_MRNA_BY_AUF1_HNRNP_D0,3.KEGG_OXIDATIVE_PHOSPHORYLATION,
94	0.27687	0.130599	2.12000091884318	0.0170029839036309	0	no-related-pathways
30	0.2589	0.148663	1.74152277298319	0.0407959925084865	0.931003584229391	1.REACTOME_NEGATIVE_REGULATORS_OF_RIG_I_MDA5_SIGNALING,2.REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,3.KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,
86	0.256063	0.183312	1.39686981757877	0.0812263611737363	0.623469337774295	1.KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,2.REACTOME_G_ALPHA_I_SIGNALLING_EVENTS,3.REACTOME_GPCR_LIGAND_BINDING,
99	0.25297	0.179688	1.40782912604069	0.0795908368072152	0.395319738033119	1.KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,
37	0.25188	0.179049	1.40676574568973	0.0797484315154764	0.826142528735632	1.REACTOME_CELL_CYCLE,2.REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS,3.REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,
18	0.235155	0.161392	1.45704248042034	0.0725523271806631	0.465472289926879	1.REACTOME_GENERIC_TRANSCRIPTION_PATHWAY,
113	0.225381	0.179394	1.2563463660992	0.104495209079798	0.848267743020518	1.KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,2.REACTOME_BIOLOGICAL_OXIDATIONS,3.REACTOME_PHASE1_FUNCTIONALIZATION_OF_COMPOUNDS,
19	0.214683	0.181586	1.18226625400637	0.118550035554474	0.610420253810344	1.KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,2.REACTOME_NEURONAL_SYSTEM,
3	0.209151	0.161418	1.29571051555589	0.0975376185790511	0.682415865384615	1.PID_ERBB1_DOWNSTREAM_PATHWAY,2.KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,3.REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING,
122	0.19492	0.162325	1.20080086246727	0.114914228619595	0.704706199572729	1.REACTOME_MUSCLE_CONTRACTION,2.KEGG_CARDIAC_MUSCLE_CONTRACTION,3.KEGG_DILATED_CARDIOMYOPATHY,
60	0.193068	0.140341	1.37570631533194	0.0844562879697437	0	no-related-pathways
101	0.190082	0.132079	1.43915383974742	0.0750534702736968	0.548898672919577	1.REACTOME_CELL_CYCLE,2.REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,
77	0.177864	0.180873	0.983364017846776	0.162714156449694	0	no-related-pathways
