LVs	Heritability	SE	zscore	pval	LV_AUC	pwys
36	0.955033	0.443567	2.1530749582363	0.0156563939784333	0.779335362852507	1.REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,2.REACTOME_GLUCOSE_METABOLISM,3.REACTOME_MUSCLE_CONTRACTION,
109	0.869921	0.411253	2.11529399177635	0.0172024491180971	0	no-related-pathways
127	0.859676	0.400507	2.14646935009875	0.0159177757797235	0.534787277007792	1.REACTOME_MUSCLE_CONTRACTION,2.KEGG_CALCIUM_SIGNALING_PATHWAY,
128	0.771297	0.386156	1.99737152860502	0.0228924191658222	0.614381769502251	1.KEGG_LYSOSOME,2.REACTOME_GPCR_LIGAND_BINDING,3.REACTOME_NEURONAL_SYSTEM,
90	0.767664	0.407791	1.88249372840499	0.0298845053058723	0.939211309523809	1.KEGG_GLUTATHIONE_METABOLISM,2.KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,3.REACTOME_BIOLOGICAL_OXIDATIONS,
101	0.75309	0.384002	1.96116166061635	0.0249300838476038	0.548898672919577	1.REACTOME_CELL_CYCLE,2.REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,
18	0.716064	0.392302	1.82528766103665	0.0339788156019444	0.465472289926879	1.REACTOME_GENERIC_TRANSCRIPTION_PATHWAY,
119	0.682811	0.295628	2.30969664578457	0.0104524773247975	0.546599626431038	1.REACTOME_GENERIC_TRANSCRIPTION_PATHWAY,2.REACTOME_GPCR_LIGAND_BINDING,
2	0.667847	0.401923	1.66162921753669	0.0482935706669053	0.609088953215459	1.KEGG_LYSOSOME,2.ST_B_CELL_ANTIGEN_RECEPTOR,3.ST_FAS_SIGNALING_PATHWAY,
37	0.632954	0.41519	1.52449240106939	0.0636928768323672	0.826142528735632	1.REACTOME_CELL_CYCLE,2.REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS,3.REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,
123	0.624483	0.4152	1.50405346820809	0.0662838000530174	0.544102328431373	1.KEGG_AUTOIMMUNE_THYROID_DISEASE,
75	0.59797	0.251174	2.38070023171188	0.00863988359302015	0.839352058255313	1.REACTOME_CELL_CYCLE,2.REACTOME_DESTABILIZATION_OF_MRNA_BY_AUF1_HNRNP_D0,3.KEGG_OXIDATIVE_PHOSPHORYLATION,
77	0.591476	0.461635	1.28126333575227	0.100050593190582	0	no-related-pathways
11	0.549909	0.411994	1.33475002063137	0.0909790881216268	0.594514248272431	1.KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,
92	0.546726	0.460528	1.18717211548483	0.117579868684668	1	1.REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION,2.REACTOME_PEPTIDE_CHAIN_ELONGATION,3.KEGG_OXIDATIVE_PHOSPHORYLATION,
33	0.544995	0.36926	1.47591128202351	0.0699838551997884	0	no-related-pathways
94	0.541087	0.274877	1.96846953364596	0.0245070191106438	0	no-related-pathways
5	0.5374	0.396897	1.35400368357534	0.0878676012618932	0	no-related-pathways
72	0.50476	0.460141	1.09696810325531	0.136327667884886	0.694699231117142	1.KEGG_LYSOSOME,2.REACTOME_METABOLISM_OF_LIPIDS_AND_LIPOPROTEINS,
1	0.504112	0.334786	1.50577383761567	0.0660626208182207	0	no-related-pathways
91	0.502983	0.378504	1.32887102910405	0.0919452616568617	0	no-related-pathways
13	0.496384	0.401254	1.23708174871777	0.108028367418586	0.672641906940348	1.PID_FCER1PATHWAY,2.KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,3.REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,
82	0.495073	0.375018	1.32013130036425	0.0933955919984906	0	no-related-pathways
57	0.46314	0.31626	1.46442800227661	0.0715385208427382	0	no-related-pathways
30	0.42927	0.287249	1.49441773513572	0.0675332344697623	0.931003584229391	1.REACTOME_NEGATIVE_REGULATORS_OF_RIG_I_MDA5_SIGNALING,2.REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,3.KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,
104	0.424274	0.231704	1.83110347684977	0.0335425498421779	0.859888262976099	1.KEGG_ECM_RECEPTOR_INTERACTION,2.PID_FRA_PATHWAY,3.KEGG_TGF_BETA_SIGNALING_PATHWAY,
122	0.38778	0.335271	1.15661658777526	0.123714521046959	0.704706199572729	1.REACTOME_MUSCLE_CONTRACTION,2.KEGG_CARDIAC_MUSCLE_CONTRACTION,3.KEGG_DILATED_CARDIOMYOPATHY,
115	0.381452	0.334656	1.13983314209218	0.127177911670657	0.841934777850733	1.KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,2.KEGG_CELL_ADHESION_MOLECULES_CAMS,3.REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,
55	0.366039	0.267264	1.36957839439655	0.0854092739021149	0.478992859827133	1.REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT,
116	0.3435	0.368428	0.932339561596839	0.175580534236739	0	no-related-pathways
103	0.333601	0.295206	1.13006171961274	0.129225109262802	0.570511045048039	1.KEGG_FOCAL_ADHESION,2.KEGG_AXON_GUIDANCE,
7	0.32616	0.380779	0.856559841797998	0.19584409373336	0.989500488349379	1.REACTOME_CELL_CYCLE,2.PID_ATR_PATHWAY,3.PID_FANCONI_PATHWAY,
95	0.322195	0.23316	1.38186224052153	0.0835070019067417	0.828467664303842	1.REACTOME_CELL_CYCLE,2.KEGG_OXIDATIVE_PHOSPHORYLATION,3.KEGG_RIBOSOME,
17	0.316965	0.283869	1.11658898999186	0.132085050663047	0.707144924540004	1.KEGG_LYSOSOME,2.REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,3.KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,
19	0.307117	0.410874	0.747472461143805	0.227389210008039	0.610420253810344	1.KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,2.REACTOME_NEURONAL_SYSTEM,
62	0.303445	0.34606	0.87685661445992	0.19028226195437	0	no-related-pathways
69	0.291911	0.225405	1.29505113018788	0.0976512958959711	0	no-related-pathways
24	0.287937	0.385355	0.747199335677492	0.227471622519711	0	no-related-pathways
79	0.285557	0.289604	0.986025745500753	0.162060239642165	0	no-related-pathways
118	0.266306	0.271675	0.980237416030183	0.163484469615012	0.549019060642425	1.REACTOME_METABOLISM_OF_LIPIDS_AND_LIPOPROTEINS,
52	0.263527	0.194523	1.35473440158747	0.0877510965913593	0.570514307289841	1.REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,
73	0.257304	0.229766	1.11985237154322	0.131388338712537	0.765763390974272	1.REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,2.KEGG_CELL_ADHESION_MOLECULES_CAMS,3.KEGG_LYSOSOME,
43	0.256563	0.318769	0.804855553708171	0.210451519621048	0.565255540479421	1.KEGG_LYSOSOME,2.REACTOME_METABOLISM_OF_LIPIDS_AND_LIPOPROTEINS,
41	0.256417	0.316487	0.810197575255856	0.208913315431559	0.658135879916357	1.REACTOME_GENERIC_TRANSCRIPTION_PATHWAY,
67	0.250255	0.180594	1.38573263785065	0.082914279121449	0.995371432943157	1.REACTOME_REGULATION_OF_APOPTOSIS,2.REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT,3.MIPS_28S_RIBOSOMAL_SUBUNIT_MITOCHONDRIAL,
