LVs	V(G)/Vlvs	SE	zscore	pval	LV_AUC	pwys
26	0.4741	0.197843	2.39634457625491	0.00827975737743769	0.622895622895623	1.REACTOME_CELL_CYCLE_MITOTIC,
38	0.41138	0.186073	2.21085272984259	0.0135230184884433	0	no-related-pathways
80	0.333798	0.189365	1.7627227840414	0.0389736280403621	0.332225913621262	1.KEGG_PRIMARY_IMMUNODEFICIENCY,
54	0.313052	0.194231	1.6117509563355	0.0535080721585145	0.331034482758621	1.KEGG_PATHWAYS_IN_CANCER,
88	0.282202	0.190059	1.48481261082085	0.0687967351795605	0	no-related-pathways
35	0.258327	0.166696	1.54968925469117	0.0606080592178839	0	no-related-pathways
85	0.250376	0.165707	1.51095608513823	0.0653998199528725	1	1.REACTOME_GASTRIN_CREB_SIGNALLING_PATHWAY_VIA_PKC_AND_MAPK,2.REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS,
42	0.226743	0.169749	1.33575455525511	0.0908147556213947	0.61026936026936	1.REACTOME_CELL_CYCLE_MITOTIC,
50	0.219483	0.184647	1.18866269151408	0.117286213702807	0.840753424657534	1.REACTOME_AXON_GUIDANCE,2.KEGG_FOCAL_ADHESION,
69	0.216827	0.177234	1.22339393118702	0.110590472222538	0	no-related-pathways
70	0.216653	0.178514	1.21364710891023	0.112441254807283	0.607744107744108	1.REACTOME_GENERIC_TRANSCRIPTION_PATHWAY,
30	0.210038	0.167121	1.25680195786287	0.104412678465002	0.63953488372093	1.KEGG_CELL_ADHESION_MOLECULES_CAMS,
103	0.206408	0.147248	1.40177116157775	0.0804917963542482	0.930232558139535	1.REACTOME_METABOLISM_OF_PROTEINS,
99	0.201508	0.14229	1.41617822756343	0.0783616644132655	0.602787456445993	1.REACTOME_NEURONAL_SYSTEM,2.REACTOME_CLASS_A1_RHODOPSIN_LIKE_RECEPTORS,
93	0.201067	0.161693	1.24351085080987	0.10683982247405	0.308833922261484	1.REACTOME_SIGNALING_BY_GPCR,
48	0.199018	0.129364	1.53843418570854	0.061971244496528	0.935606060606061	1.REACTOME_HEMOSTASIS,2.REACTOME_GPCR_LIGAND_BINDING,3.PID_CMYB_PATHWAY,
92	0.182783	0.151536	1.20620182662866	0.113869839902352	0.485690235690236	1.REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,
4	0.181152	0.171796	1.05445994086009	0.14583619588394	1	1.REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,2.KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,3.KEGG_CELL_ADHESION_MOLECULES_CAMS,
113	0.178136	0.177548	1.00331178047627	0.157855226961878	0.358333333333333	1.REACTOME_AXON_GUIDANCE,
53	0.172953	0.116417	1.48563354149308	0.0686880390300419	0.257575757575758	1.REACTOME_GENERIC_TRANSCRIPTION_PATHWAY,
90	0.167045	0.141991	1.17644780302977	0.11970798947829	0	no-related-pathways
66	0.16182	0.17126	0.944879131145626	0.172360293425508	0.361774744027304	1.KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,
34	0.143312	0.149847	0.956388849960293	0.169437907921917	0.661003861003861	1.REACTOME_IMMUNE_SYSTEM,2.REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,
37	0.136391	0.131859	1.03437004679241	0.150481600888007	0.572390572390572	1.REACTOME_CELL_CYCLE_MITOTIC,
13	0.133563	0.137903	0.968528603438649	0.166390220462683	0	no-related-pathways
78	0.13052	0.152794	0.854222024425043	0.196490991071303	0.627986348122867	1.REACTOME_GPCR_LIGAND_BINDING,2.REACTOME_CLASS_A1_RHODOPSIN_LIKE_RECEPTORS,
19	0.129948	0.127025	1.02301121826412	0.153151270853707	0.573529411764706	1.REACTOME_GPCR_DOWNSTREAM_SIGNALING,
83	0.123749	0.110809	1.11677751807164	0.132044731870267	0.733449477351916	1.REACTOME_METABOLISM_OF_PROTEINS,2.REACTOME_CELL_CYCLE_MITOTIC,
32	0.113324	0.101195	1.11985770047927	0.131387203096328	0	no-related-pathways
89	0.100488	0.114619	0.87671328488296	0.190321194566404	0.685763888888889	1.REACTOME_GENERIC_TRANSCRIPTION_PATHWAY,2.PID_P53DOWNSTREAMPATHWAY,
39	0.09605	0.099408	0.966220022533398	0.166967047932783	0.502824858757062	1.PID_TCR_PATHWAY,
21	0.094069	0.086803	1.08370678432773	0.139247413301078	0.632205513784461	1.REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,2.KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,3.REACTOME_GPCR_LIGAND_BINDING,
43	0.09343	0.131759	0.709097670747349	0.239131934156158	0.851239669421488	1.REACTOME_IMMUNE_SYSTEM,2.REACTOME_ADAPTIVE_IMMUNE_SYSTEM,3.PID_P53DOWNSTREAMPATHWAY,
111	0.091418	0.09289	0.984153299601679	0.162520071824255	0.222996515679443	1.REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,2.REACTOME_GENERIC_TRANSCRIPTION_PATHWAY,
55	0.09133	0.089795	1.01709449301186	0.154554239903318	0.396825396825397	1.KEGG_MAPK_SIGNALING_PATHWAY,
87	0.088055	0.118989	0.740026388993941	0.229641991104992	0.511029411764706	1.REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,2.REACTOME_ADAPTIVE_IMMUNE_SYSTEM,
77	0.08798	0.08097	1.08657527479313	0.13861227853858	0.506644518272425	1.KEGG_WNT_SIGNALING_PATHWAY,
49	0.086144	0.101963	0.844855486794229	0.199095765063974	0.240802675585284	1.REACTOME_METABOLISM_OF_LIPIDS_AND_LIPOPROTEINS,
84	0.085021	0.081361	1.0449846978282	0.148015020957915	0.549469964664311	1.PID_TCR_PATHWAY,2.KEGG_JAK_STAT_SIGNALING_PATHWAY,
109	0.081488	0.10155	0.802442146725751	0.211148620656208	0.51097972972973	1.REACTOME_CELL_CYCLE,2.REACTOME_CELL_CYCLE_MITOTIC,
114	0.076657	0.100489	0.76283971379952	0.222779496660738	0	no-related-pathways
67	0.075258	0.079662	0.944716426903668	0.172401834144687	0	no-related-pathways
12	0.073609	0.10344	0.711610595514308	0.238352972020166	0.673913043478261	1.REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS,
74	0.073245	0.130349	0.561914552470675	0.287087119095309	0	no-related-pathways
25	0.072739	0.110069	0.660849103744015	0.254354544373408	0	no-related-pathways
