factors	hsq	SE	zscore	pval	qvalues
pwy1_pc1	0.019754	0.688046	0.0287102897190013	0.977095649742697	0.999999225989033
pwy1_pc2	0.600597	0.642692	0.934502063196679	0.350044972212719	0.867052866208202
pwy1_pc3	0.639163	0.605328	1.05589531625829	0.291016044225609	0.80408721354985
pwy1_pc4	0.999999	0.754774	1.32489857891236	0.185204792273593	0.726367484530263
pwy1_pc5	0.999999	0.722731	1.3836392793446	0.16646893469433	0.726367484530263
pwy10_pc1	0.152026	0.673892	0.225594012096894	0.821517198462383	0.999999225989033
pwy10_pc2	1e-06	0.647784	1.54372445136033e-06	0.999998768286094	0.999999225989033
pwy10_pc3	0.999999	0.785681	1.27277991958568	0.203096148665496	0.728775171124779
pwy10_pc4	0.999999	0.606878	1.6477759945162	0.0993986468268092	0.726367484530263
pwy10_pc5	0.324915	0.622427	0.522013023213967	0.601661263083685	0.999999225989033
pwy100_pc1	0.683683	0.721442	0.947661766295835	0.343301670982636	0.859788676046066
pwy100_pc2	0.776104	0.577468	1.34397750178365	0.178955662251992	0.726367484530263
pwy100_pc3	1e-06	0.519484	1.92498710258641e-06	0.999998464082511	0.999999225989033
pwy100_pc4	0.999999	0.672796	1.4863331529914	0.137191021668793	0.726367484530263
pwy100_pc5	0.297334	0.643625	0.461967760730239	0.644104440016689	0.999999225989033
pwy101_pc1	0.999999	0.596581	1.67621664116021	0.0936957657597849	0.726367484530263
pwy101_pc2	0.081402	0.720894	0.112918126659398	0.910095465247127	0.999999225989033
pwy101_pc3	1e-06	0.704302	1.4198454640197e-06	0.999998867127226	0.999999225989033
pwy101_pc4	0.999999	0.807235	1.23879539415412	0.215421280030392	0.735103432848614
pwy101_pc5	1e-06	0.696764	1.43520618172007e-06	0.999998854871146	0.999999225989033
pwy102_pc1	1e-06	0.755066	1.32438753698352e-06	0.999998943291632	0.999999225989033
pwy102_pc2	0.686213	0.639714	1.07268716957891	0.283411498965978	0.794529478135656
pwy102_pc3	0.285739	0.677239	0.421917520993327	0.673085220789733	0.999999225989033
pwy102_pc4	0.481299	0.555121	0.867016380212602	0.385933034801263	0.896965935547524
pwy102_pc5	0.395172	0.622291	0.635027663906436	0.525410372753957	0.999999225989033
pwy103_pc1	0.999999	0.617195	1.62023185541036	0.105182480902127	0.726367484530263
pwy103_pc2	1e-06	0.69744	1.43381509520532e-06	0.999998855981073	0.999999225989033
pwy103_pc3	0.468043	0.552488	0.847155051331432	0.396908703558832	0.908976833784028
pwy103_pc4	0.667517	0.590898	1.12966535679593	0.258617260117981	0.770340837930466
pwy103_pc5	1e-06	0.737046	1.35676742021529e-06	0.999998917456223	0.999999225989033
pwy104_pc1	0.547402	0.724929	0.755111190199316	0.450182269448206	0.959267031737452
pwy104_pc2	1e-06	0.667835	1.49737584882493e-06	0.999998805266929	0.999999225989033
pwy104_pc3	0.250225	0.633935	0.394717123995362	0.693051663711853	0.999999225989033
pwy104_pc4	0.999999	0.923072	1.08333802780281	0.278658411948201	0.790225468427015
pwy104_pc5	1e-06	0.883112	1.13235920245677e-06	0.999999096508075	0.999999225989033
pwy105_pc1	0.999999	0.655208	1.5262313646964	0.126952254887409	0.726367484530263
pwy105_pc2	0.540815	0.606539	0.891640933229355	0.372585422574141	0.879279966771486
pwy105_pc3	1e-06	0.723425	1.38231330130974e-06	0.999998897073559	0.999999225989033
pwy105_pc4	1e-06	0.66049	1.51402746445821e-06	0.999998791980862	0.999999225989033
pwy105_pc5	0.999999	0.683301	1.46348241843638	0.143335421026223	0.726367484530263
pwy106_pc1	0.555437	0.761514	0.729385145906707	0.465766101463878	0.974691996113598
pwy106_pc2	0.898267	0.534906	1.67929879268507	0.0930938261847964	0.726367484530263
pwy106_pc3	0.006394	0.635131	0.0100672144801624	0.991967660674218	0.999999225989033
pwy106_pc4	0.389077	0.582281	0.668194565853943	0.504009403771026	0.999999225989033
pwy106_pc5	1e-06	0.738798	1.35354995546821e-06	0.999998920023388	0.999999225989033
pwy107_pc1	1e-06	0.739468	1.35232356234482e-06	0.999998921001908	0.999999225989033
pwy107_pc2	0.999999	0.744723	1.3427797986634	0.179343286536532	0.726367484530263
pwy107_pc3	1e-06	0.6257	1.59821000479463e-06	0.999998724812912	0.999999225989033
pwy107_pc4	1e-06	0.673593	1.48457599767218e-06	0.999998815479732	0.999999225989033
pwy107_pc5	0.999999	0.792191	1.2623205767296	0.206833455405923	0.728960270655968
pwy108_pc1	0.999999	0.678285	1.47430504876269	0.140399476432585	0.726367484530263
pwy108_pc2	0.333819	0.637783	0.523405296158725	0.600692239394609	0.999999225989033
pwy108_pc3	0.999999	0.645224	1.54984780479337	0.121178049902344	0.726367484530263
pwy108_pc4	1e-06	0.633281	1.57907785011709e-06	0.999998740078163	0.999999225989033
pwy108_pc5	1e-06	0.767508	1.30291801518681e-06	0.999998960421832	0.999999225989033
pwy109_pc1	0.529406	0.712558	0.742965484914912	0.457502577177108	0.963599987681319
pwy109_pc2	0.457945	0.748811	0.611562864327581	0.540827014107601	0.999999225989033
pwy109_pc3	0.412177	0.708117	0.582074713641955	0.560516356598352	0.999999225989033
pwy109_pc4	0.67414	0.690331	0.976546033714262	0.328793947354329	0.840595846537954
pwy109_pc5	1e-06	0.870307	1.14901982863518e-06	0.999999083214819	0.999999225989033
pwy11_pc1	0.574609	0.584696	0.982748299971267	0.325731332594983	0.836712712163417
