factors	hsq	SE	zscore	pval	qvalues
pwy1_pc1	1e-06	1.313587	7.61274281794811e-07	0.999999392591004	0.999999495060585
pwy1_pc2	0.378201	0.906038	0.417422889547679	0.676369115355891	0.999999495060585
pwy1_pc3	0.999999	1.431866	0.698388676035327	0.484934156223165	0.999999495060585
pwy1_pc4	0.775912	1.162734	0.667316858370014	0.504569760255352	0.999999495060585
pwy1_pc5	0.999999	1.328348	0.752814021626863	0.451561679702713	0.999999495060585
pwy10_pc1	0.51118	0.932416	0.54823169057588	0.583532824633511	0.999999495060585
pwy10_pc2	0.77617	1.149636	0.675144132577616	0.499584197017928	0.999999495060585
pwy10_pc3	1e-06	1.208268	8.27630956046175e-07	0.999999339646038	0.999999495060585
pwy10_pc4	1e-06	1.220504	8.19333652327235e-07	0.999999346266329	0.999999495060585
pwy10_pc5	0.70864	1.291185	0.548829176299291	0.583122685599975	0.999999495060585
pwy100_pc1	0.999999	1.384865	0.72209132298094	0.470238332606401	0.999999495060585
pwy100_pc2	0.999999	1.09197	0.915775158658205	0.359784835212901	0.999999495060585
pwy100_pc3	0.856944	0.908187	0.943576598211602	0.345386055526792	0.999999495060585
pwy100_pc4	1e-06	1.396971	7.15834473299732e-07	0.999999428846726	0.999999495060585
pwy100_pc5	0.999999	1.066547	0.937604249976794	0.348447826482622	0.999999495060585
pwy101_pc1	0.999999	1.245559	0.802851571061668	0.42206053036416	0.999999495060585
pwy101_pc2	0.999999	1.149496	0.869945610946015	0.384330127922817	0.999999495060585
pwy101_pc3	1e-06	1.342459	7.44901706495319e-07	0.999999405654429	0.999999495060585
pwy101_pc4	0.521095	1.187749	0.438724848431781	0.660860919933307	0.999999495060585
pwy101_pc5	1e-06	1.401279	7.13633758873144e-07	0.999999430602642	0.999999495060585
pwy102_pc1	0.59075	1.073604	0.550249440203278	0.582148297344072	0.999999495060585
pwy102_pc2	0.999999	1.123654	0.889952779058322	0.373491242118611	0.999999495060585
pwy102_pc3	0.999999	1.280813	0.78075331840011	0.434947594671013	0.999999495060585
pwy102_pc4	0.999999	1.391722	0.718533586449018	0.472428346558007	0.999999495060585
pwy102_pc5	0.999999	1.143128	0.874791799343556	0.381687200082126	0.999999495060585
pwy103_pc1	0.999999	1.040147	0.961401609580184	0.336350275296428	0.999999495060585
pwy103_pc2	0.999999	1.362982	0.73368467081737	0.46314094326904	0.999999495060585
pwy103_pc3	1e-06	1.330982	7.51324961569728e-07	0.999999400529413	0.999999495060585
pwy103_pc4	1e-06	1.103994	9.05802024286364e-07	0.99999927727455	0.999999495060585
pwy103_pc5	0.999999	1.058697	0.944556374486751	0.344885408090881	0.999999495060585
pwy104_pc1	0.999999	1.270026	0.787384667715464	0.431056719357318	0.999999495060585
pwy104_pc2	0.030548	1.196813	0.025524455366043	0.979636642278404	0.999999495060585
pwy104_pc3	1e-06	1.215111	8.22970082568588e-07	0.999999343364877	0.999999495060585
pwy104_pc4	1e-06	1.2851	7.78149560345498e-07	0.99999937912648	0.999999495060585
pwy104_pc5	1e-06	1.277222	7.82949244532274e-07	0.999999375296886	0.999999495060585
pwy105_pc1	0.999999	1.277618	0.782705785297327	0.43379990414145	0.999999495060585
pwy105_pc2	0.999999	1.174895	0.851139037956583	0.394692122170706	0.999999495060585
pwy105_pc3	0.999999	1.251374	0.799120806409595	0.424220366196845	0.999999495060585
pwy105_pc4	0.357185	1.427724	0.250177905533563	0.802449770899118	0.999999495060585
