factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
baso_wb_lv57 2 2 0.95 0.05 0.006 0.866
baso_wb_lv81 2 2 0.246 -0.664 0.858 0.387
eo_wb_lv25 2 2 0.652 -0.136 0.27 0.611
eo_wb_lv26 2 2 0.073 -0.397 0.987 0.156
EUR.CD_wb_lv71 2 2 0.04 2.375 0.996 0.138
EUR.UC_wb_lv10 2 2 0.019 0.922 0.999 0.086
EUR.UC_wb_lv34 2 2 0.931 0.166 0.012 0.759
EUR.UC_wb_lv46 2 2 0.007 1.818 1 0.016
EUR.UC_wb_lv73 3 3 0.589 0.838 0.169 0.506
EUR.UC_wb_lv90 2 2 0.817 -0.258 0.081 0.601
gran_wb_lv38 2 2 0.017 -0.462 0.999 0.055
lymph_wb_lv41 3 3 0.308 0.708 0.48 0.265
mch_wb_lv46 2 2 0.317 -0.588 0.772 0.454
mch_wb_lv93 3 3 0.543 -0.203 0.209 0.471
mchc_wb_lv54 2 2 0.42 -0.229 0.624 0.421
mcv_wb_lv46 2 2 0.322 -0.626 0.765 0.428
mcv_wb_lv93 3 3 0.679 -0.138 0.103 0.663
mono_wb_lv77 2 2 0.402 -1.818 0.652 0.455
myeloid_wbc_wb_lv77 2 2 0.161 -0.812 0.937 0.255
neut_wb_lv39 2 2 0.821 0.055 0.077 0.682
pct_wb_lv29 2 2 0.841 0.104 0.061 0.726
pdw_wb_lv20 2 2 0.899 -0.054 0.025 0.809
pdw_wb_lv41 3 3 0.64 -0.581 0.129 0.644
rbc_wb_lv32 2 2 0.002 -0.439 1 0.015
rbc_wb_lv46 2 2 0.203 0.463 0.902 0.378
rbc_wb_lv80 2 2 0.743 -0.144 0.154 0.764
ret_wb_lv68 2 2 0.048 0.322 0.994 0.056
ret_wb_lv73 2 2 0.033 -0.651 0.997 0.036
ukb.allasthma_wb_lv1 2 2 0.037 -0.373 0.997 0.092
ukb.allasthma_wb_lv35 2 2 0.041 0.44 0.996 0.004
wbc_wb_lv38 3 3 0.013 -0.552 0.974 0.075
