factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting pval_in_resampling IVW_estimate IVW_pval IVW_resampling_pval
pwy15_peer3 3 3 0.463 -0.142 0.352 -0.0932833642788484 3.29090995331814e-05 0.672
pwy203_peer4 2 2 0.709 -0.076 0.573 -0.0130889569404699 0.513340687336413 0.915
pwy280_peer4 2 2 0.233 -0.363 0.431 -0.38264558590726 8.00834740464236e-46 0.099
pwy321_peer3 2 2 0.944 0.019 0.856 -0.0356664920837254 0.102135990367396 0.873
pwy327_peer3 2 2 0.025 0.199 0.017 0.202453580192337 3.34046018540668e-22 0.081
pwy63_peer4 2 2 0.86 -0.047 0.735 -0.000762254931787422 0.976711881721134 0.994
pwy99_peer4 2 2 0.014 0.215 0.016 0.212704067147007 7.93031150649768e-22 0.105
pwy15_peer4 2 2 0.075 -5.378 0.159 -5.48802293701902 0 0
pwy264_peer4 2 2 0.001 -1347.375 0.005 -1347.21461417598 0 0
pwy321_peer5 19 19 0.09 0.8 0.124 1.0792964720654 0.0152296480644706 0.086
pwy331_peer5 2 2 0.106 3.83 0.088 4.11760607019432 0 0
pwy99_peer3 2 2 0.047 -5.988 0.354 -6.03916009108898 0 0
pwy134_peer3 2 2 0.757 0.119 0.576 0.230065663284635 4.16833641894459e-61 0.053
pwy146_peer4 2 2 0.763 -0.107 0.583 -0.209553797492 9.39879130109793e-60 0.055
pwy238_peer3 2 2 0.735 0.058 0.57 0.0149524431752423 0.3235872684783 0.833
pwy242_peer3 2 2 0.83 -0.029 0.641 0.0110815847248066 0.394173989221897 0.931
pwy320_peer2 3 3 0.665 0.069 0.645 0.140969805671999 7.73876247732227e-59 0.061
pwy329_peer5 3 3 0.284 0.072 0.269 0.0313642064856902 0.00182248843701073 0.736
pwy59_peer5 2 2 0.116 0.249 0.161 0.275156208033401 7.37205960431428e-29 0.131
pwy109_peer5 2 2 0.003 7.774 0.007 7.7725248129228 1.92645733949228e-15 0.582
pwy114_peer4 3 3 0.008 -0.172 0.025 -0.163538616976373 1.07653020306316e-44 0.247
pwy139_peer3 2 2 0.084 0.158 0.165 0.157600990548866 3.16655775244453e-27 0.441
pwy165_peer4 4 4 0.034 -0.173 0.079 -0.187955016096266 2.55108683242601e-05 0.073
pwy169_peer4 3 3 0.001 -0.175 0.005 -0.179021509267035 1.95474957815124e-54 0.149
pwy178_peer4 2 2 0.941 0.015 0.881 0.0106873490974022 0.43745718698077 0.92
pwy188_peer4 3 3 0.058 0.207 0.162 0.201405611951467 4.63018000627693e-70 0.168
pwy190_peer3 2 2 0.689 -0.055 0.695 0.0163529404078478 0.220601531947309 0.861
pwy203_peer3 2 2 0.129 0.175 0.228 0.156815628934282 1.53544336864532e-27 0.337
pwy206_peer3 2 2 0.094 -0.143 0.182 -0.14251503721208 4.04851144789816e-27 0.439
pwy211_peer3 2 2 0.156 -0.218 0.276 -0.240992039749908 6.13962276466697e-67 0.069
