factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting pval_in_resampling IVW_estimate IVW_pval IVW_resampling_pval
EUR.CD_pwy101_peer2 3 3 0.943 -0.663 0.942 -5.7566500202372 1.24803124930854e-09 0.582
EUR.CD_pwy107_peer3 2 2 0.995 -0.034 0.991 -0.478983893807206 0.308721891521828 0.882
EUR.CD_pwy114_peer3 3 3 0.282 5.467 0.226 3.74708192241238 1.34430514623039e-09 0.494
EUR.CD_pwy115_peer4 2 2 0.066 -4.144 0.163 -4.1307839807532 5.04597197795086e-21 0.508
EUR.CD_pwy155_peer5 2 2 0.001 -7.13 0.001 -7.13251139807689 1.04381177904526e-48 0.138
EUR.CD_pwy159_peer3 2 2 0.99 0.086 0.977 -0.885293471099508 0.176490145288454 0.864
EUR.CD_pwy165_peer1 2 2 0.893 12.418 0.874 -34.5194434587974 2.1776990856759e-07 0.654
EUR.CD_pwy166_peer5 3 3 0.262 -3.193 0.265 0.123085976467069 0.665843116681239 0.974
EUR.CD_pwy167_peer2 2 2 0.011 4.093 0 4.16490446911679 7.99620651032458e-22 0.232
EUR.CD_pwy168_peer4 2 2 0.114 6.599 0.275 6.69960552493423 3.98344936214983e-30 0.406
EUR.CD_pwy185_peer2 3 3 0.036 6.751 0.06 8.01649373045808 2.8941815667649e-43 0.172
EUR.CD_pwy198_peer1 2 2 0.944 1.253 0.85 1.80736618600165 0.212377383215518 0.839
EUR.CD_pwy203_peer1 2 2 0.2 -9.146 0.314 -9.79827358532971 1.237271839734e-48 0.041
EUR.CD_pwy20_peer3 2 2 0.422 5.953 0.431 2.78149789094194 1.53508162767455e-08 0.552
EUR.CD_pwy238_peer2 2 2 0.009 -2.421 0 -2.4563337174344 7.91360156997739e-22 0.232
EUR.CD_pwy278_peer2 2 2 0.835 -1.137 0.712 -0.237057844415082 0.63986204222104 0.943
EUR.CD_pwy324_peer2 2 2 0.025 4.126 0.068 4.14574707259085 1.2175844439905e-17 0.548
EUR.CD_pwy325_peer2 2 2 0.026 -2.157 0.005 -2.24608166125573 9.40590555393033e-22 0.226
EUR.CD_pwy326_peer2 2 2 0.014 2.569 0.006 2.51244656559442 8.11058168761698e-22 0.243
EUR.CD_pwy7_peer4 4 4 0.004 4.634 0.007 5.47870852498127 2.08988556327914e-07 0.009
EUR.CD_pwy7_peer5 4 4 0.004 34.453 0.007 40.7507329643293 2.68457957369067e-07 0.009
EUR.CD_pwy85_peer2 2 2 0.057 2.851 0.057 2.71044928204218 1.11614080068428e-52 0.083
EUR.IBD_pwy107_peer1 3 3 0.215 -1.722 0.113 -1.56893054259584 3.16068717348868e-12 0.395
EUR.IBD_pwy107_peer3 2 2 0.991 0.042 0.982 -0.181711489563361 0.596306829935201 0.934
EUR.IBD_pwy117_peer3 2 2 0.99 0.058 0.979 0.302038037248151 0.529161483390303 0.912
EUR.IBD_pwy120_peer1 2 2 0.068 81.253 0.095 85.8553465683604 7.24799950216088e-39 0.247
EUR.IBD_pwy155_peer5 2 2 0.062 -4.518 0.097 -4.39880466105525 1.92128301435154e-33 0.286
EUR.IBD_pwy165_peer1 3 3 0.431 31.308 0.376 3.93458650468704 0.30721179762542 0.914
EUR.IBD_pwy225_peer4 2 2 0.024 -3.939 0.008 -3.61405038923131 1.87655321882874e-26 0.299
EUR.IBD_pwy246_peer3 2 2 0.956 -0.183 0.934 0.629195709026853 0.0171182363785858 0.696
EUR.IBD_pwy246_peer5 2 2 0.08 -2.593 0.174 -2.60766287506481 4.75256172837946e-18 0.527
EUR.IBD_pwy252_peer1 2 2 0.049 -4.051 0.021 -4.53952058436854 5.81589788083644e-29 0.216
EUR.IBD_pwy266_peer3 2 2 0.229 -1.382 0.099 -1.60481794787746 1.83153853368545e-21 0.243
EUR.IBD_pwy281_peer2 2 2 0.95 -0.165 0.898 0.269033140266337 0.192720058230642 0.854
EUR.IBD_pwy284_peer4 2 2 0.059 4.624 0.142 4.57154501829643 9.65017247520676e-16 0.581
EUR.IBD_pwy292_peer1 2 2 0.114 93.909 0.247 96.3094401950275 1.61622053513833e-37 0.228
EUR.IBD_pwy301_peer4 2 2 0.768 1.716 0.708 -0.188819399632118 0.696259653626899 0.946
EUR.IBD_pwy325_peer5 6 6 0.058 1.87 0.066 0.88921609217746 0.00761925720371693 0.087
EUR.IBD_pwy99_peer4 2 2 0.134 -3.088 0.224 -3.26668177048163 2.06685128734596e-28 0.385
EUR.UC_pwy107_peer1 2 2 0.656 -1.691 0.603 -1.71151805394076 1.42392445782365e-08 0.41
EUR.UC_pwy118_peer1 2 2 0.039 -65.926 0.07 -64.9938949693868 1.36083913084127e-21 0.335
EUR.UC_pwy120_peer1 3 3 0.677 21.778 0.634 17.5602547277425 0.00281065729866519 0.795
EUR.UC_pwy162_peer3 3 3 0.868 -0.986 0.889 1.8531235406386 0.00270111318666173 0.783
EUR.UC_pwy174_peer3 2 2 0.038 -3.462 0.075 -3.46587604239361 8.82342593335723e-23 0.521
EUR.UC_pwy176_peer2 2 2 0.083 8.68 0.147 8.69293687005829 2.35749620169727e-17 0.505
EUR.UC_pwy182_peer4 2 2 0.986 -0.056 0.979 -0.176499223138724 0.573028730854143 0.945
EUR.UC_pwy183_peer5 2 2 0.02 -3.443 0.033 -3.53676292838136 5.1586715948282e-16 0.257
EUR.UC_pwy185_peer2 3 3 0.039 10.686 0.088 10.4886151714893 2.01519267316716e-81 0.137
EUR.UC_pwy186_peer2 5 5 0.797 1.713 0.795 -6.21105476220874 0.237754059887392 0.298
EUR.UC_pwy203_peer4 2 2 0.14 1.229 0.249 1.22654334303914 1.98036956727229e-23 0.526
EUR.UC_pwy204_peer4 2 2 0.891 0.799 0.789 0.237399005777939 0.633356952169481 0.944
EUR.UC_pwy225_peer4 3 3 0.065 -3.901 0.15 -3.91139648050249 2.33376116035537e-42 0.335
EUR.UC_pwy232_peer5 2 2 0.934 0.322 0.902 -0.162138216831948 0.540882642970815 0.846
EUR.UC_pwy246_peer3 3 3 0.009 4.018 0.031 3.83071979607231 4.10957919834148e-36 0.267
EUR.UC_pwy246_peer5 3 3 0.754 0.699 0.763 -0.219370421103821 0.399430859909393 0.928
EUR.UC_pwy264_peer3 2 2 0.33 191.41 0.249 70.0734729310676 0.000277321805445528 0.659
EUR.UC_pwy275_peer4 2 2 0.013 4.56 0.027 4.49376508918298 1.27571211344716e-16 0.447
EUR.UC_pwy278_peer5 2 2 0.922 0.255 0.849 -0.183129435537181 0.475187278271307 0.927
EUR.UC_pwy292_peer1 2 2 0.046 113.927 0.067 114.069736773737 5.13674185130782e-38 0.218
EUR.UC_pwy311_peer1 2 2 0.072 -22.157 0.108 -22.7326444559332 2.64133389804393e-22 0.32
EUR.UC_pwy325_peer2 2 2 0.221 -4.796 0.332 -4.5571935895341 9.31649080634663e-53 0.228
EUR.UC_pwy326_peer2 3 3 0.415 2.555 0.309 2.23857038415249 7.78287602414364e-21 0.498
EUR.UC_pwy332_peer4 2 2 0.037 6.616 0.027 6.9951059626672 1.10341158614446e-27 0.296
EUR.UC_pwy48_peer2 2 2 0.114 2899.651 0.205 2973.128007727 1.41785934595896e-22 0.491
EUR.UC_pwy49_peer2 2 2 0.956 0.199 0.905 -0.499121609448293 0.103587784042214 0.862
EUR.UC_pwy6_peer3 3 3 0.436 1.598 0.448 0.837038482008479 0.00379260087713844 0.805
EUR.UC_pwy89_peer4 2 2 0.829 1.671 0.693 0.399885269012859 0.526374541658347 0.904
EUR.UC_pwy92_peer5 2 2 0.478 3.553 0.503 0.325707857175392 0.271219109291222 0.95
HDL_pwy123_peer1 2 2 0.762 -4.298 0.619 -0.0157626541574755 0.986025522477715 0.999
HDL_pwy137_peer5 2 2 0.093 -1.266 0.19 -1.26937495763844 1.63232717467688e-21 0.289
HDL_pwy141_peer1 2 2 0.044 -2.017 0.073 -2.0374499333825 3.49596012748379e-32 0.396
HDL_pwy164_peer2 2 2 0.297 2.644 0.408 2.505605496225 0 0
HDL_pwy16_peer5 2 2 0.089 -1.18 0.134 -1.13219348580678 2.74833008662612e-73 0.163
HDL_pwy174_peer2 2 2 0.112 0.513 0.168 0.518177242445761 4.24157651189123e-28 0.504
HDL_pwy192_peer1 2 2 0.789 2.476 0.708 -0.309419295640789 0.626398823773863 0.957
HDL_pwy202_peer1 3 3 0.655 -3.063 0.658 -0.166696116190523 0.716338709962552 0.991
HDL_pwy207_peer3 2 2 0.106 0.645 0.169 0.633550222127984 4.85643621407983e-34 0.431
HDL_pwy220_peer1 3 3 0.949 0.09 0.951 0.651008390759397 1.05161330055623e-06 0.59
HDL_pwy238_peer2 2 2 0.184 0.441 0.277 0.448511774576059 9.82192406751329e-27 0.511
HDL_pwy241_peer2 2 2 0.225 1.371 0.358 1.19852494546693 1.35525127997546e-48 0.291
HDL_pwy248_peer2 2 2 0.712 0.719 0.572 0.399996042342997 4.76587102389033e-06 0.693
HDL_pwy278_peer3 3 3 0.01 0.741 0.011 0.516085104716375 9.61780715653084e-27 0.489
HDL_pwy279_peer5 2 2 0.118 0.422 0.223 0.426409077952568 2.87273378642685e-28 0.529
HDL_pwy289_peer2 2 2 0.049 2.377 0.103 2.39262157476198 3.91605141643883e-21 0.625
HDL_pwy293_peer3 2 2 0.198 -3.15 0.216 -1.85428204483996 4.21706283755695e-41 0.241
HDL_pwy311_peer5 2 2 0.847 -0.155 0.73 -0.155099220491897 0.0227049174963463 0.818
HDL_pwy326_peer2 2 2 0.15 -0.39 0.235 -0.394722324485852 1.87474833402505e-27 0.508
HDL_pwy41_peer3 2 2 0.124 0.826 0.128 0.955797601970831 2.9881228570484e-43 0.226
HDL_pwy44_peer3 2 2 0.096 -0.739 0.107 -0.829243591063202 3.12947009336654e-44 0.233
HDL_pwy48_peer4 3 3 0.008 -121031.763 0.017 -122868.261272213 1.66277960078779e-28 0.199
HDL_pwy63_peer4 2 2 0.702 -0.285 0.569 -0.00770972235756908 0.854303134755324 0.996
HDL_pwy66_peer5 2 2 0.979 -0.014 0.951 0.00981784920437804 0.820367572568098 0.983
HDL_pwy6_peer1 2 2 0.957 -0.097 0.913 -0.166407866721051 0.288259128744801 0.882
HDL_pwy71_peer4 2 2 0.033 -0.793 0.055 -0.806746389805228 4.36507587833698e-58 0.237
HDL_pwy71_peer5 3 3 0.425 -113.015 0.35 -89.6802967952032 2.81747206224311e-16 0.549
HDL_pwy87_peer2 3 3 0.735 0.285 0.743 -0.285456253244233 5.58305173677744e-05 0.726
HDL_pwy87_peer5 2 2 0.05 -0.262 0.098 -0.255170102215556 1.36399807329932e-35 0.388
HDL_pwy96_peer2 2 2 0.208 -2.348 0.344 -2.53155432940795 1.66243965291318e-58 0.258
HDL_pwy97_peer4 2 2 0.95 0.06 0.93 0.00903629307886173 0.91169151830233 0.991
HDL_pwy97_peer5 2 2 0.83 -0.253 0.723 0.185108335935535 0.0300891447539881 0.78
LDL_pwy113_peer5 2 2 0.983 -0.037 0.975 0.640669073946249 3.32226137577448e-12 0.651
LDL_pwy118_peer5 3 3 0.098 -4.806 0.11 -2.5141259606135 5.89809508512811e-254 0.068
LDL_pwy122_peer5 2 2 0.755 -0.364 0.737 -0.0486452487799177 0.650827714398967 0.942
LDL_pwy126_peer5 2 2 0.773 -0.366 0.761 0.481215401754456 2.05505159603487e-07 0.684
LDL_pwy144_peer4 3 3 0.208 -0.929 0.221 -0.403163278576103 2.98662530669514e-05 0.755
LDL_pwy148_peer5 2 2 0.429 1.042 0.482 1.4585255957249 1.44096624256094e-170 0.044
LDL_pwy158_peer4 2 2 0.64 -1.171 0.567 -1.17133114264232 1.11559561794661e-47 0.357
LDL_pwy180_peer5 2 2 0.541 -1.446 0.487 -1.16796185720371 6.50965599032111e-54 0.307
LDL_pwy200_peer5 2 2 0.391 -0.779 0.365 -0.177559077519353 0.0300968675083828 0.872
LDL_pwy202_peer4 2 2 0.023 -0.647 0.053 -0.648564850581398 1.17726572530067e-15 0.647
LDL_pwy209_peer1 4 4 0.179 0.822 0.187 0.211249334038414 0.760856825531904 0.832
LDL_pwy240_peer4 3 3 0.404 0.749 0.291 0.443276435561978 1.34900707933554e-21 0.284
LDL_pwy252_peer5 2 2 0.078 -0.499 0.117 -0.511794633524054 9.41808000139428e-26 0.349
LDL_pwy260_peer5 2 2 0.005 -0.611 0.012 -0.611190325443177 1.43457583084707e-23 0.396
LDL_pwy265_peer3 2 2 0.199 1.874 0.339 1.90530454706528 2.03018888013238e-50 0.408
LDL_pwy265_peer5 2 2 0.209 -2.696 0.29 -2.49389791278115 5.21734935893549e-304 0.046
LDL_pwy272_peer5 2 2 0.137 -0.636 0.182 -0.682667759848268 2.77007950746846e-49 0.261
LDL_pwy281_peer3 2 2 0.167 0.501 0.203 0.545448322130211 4.75733276831148e-48 0.262
LDL_pwy296_peer5 2 2 0.361 -2.252 0.433 -2.25170169684672 1.83150301750929e-95 0.167
LDL_pwy297_peer2 2 2 0.912 -0.07 0.859 0.0588865558057476 0.261245075687159 0.872
LDL_pwy308_peer4 2 2 0.037 0.755 0.031 0.811821632597196 3.4051916831951e-27 0.27
LDL_pwy310_peer1 2 2 0.035 -7.017 0.075 -7.05485950265918 1.60560162095915e-26 0.586
LDL_pwy31_peer5 2 2 0.557 0.569 0.554 0.157321755588583 0.00129824502783509 0.832
LDL_pwy45_peer5 2 2 0.931 0.061 0.858 -0.0586993214788199 0.232940974480052 0.902
