factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting pval_in_resampling IVW_estimate IVW_pval IVW_resampling_pval
pwy110_pc3 2 0 0.002 -0.081 0.006 -0.0813506101935952 1.12139285033474e-24 0.012
pwy131_pc4 2 2 0.006 -0.062 0.002 -0.0615381154987521 6.64285946236432e-19 0.078
pwy15_pc3 2 2 0.068 -0.154 0.155 -0.152907308113028 5.87616762682854e-22 0.33
pwy175_pc2 2 0 0.767 0.048 0.639 0.0149366403403435 0.336459021475319 0.82
pwy193_pc4 2 0 0.265 0.189 0.445 0.174401973298881 1.04044574593753e-39 0.177
pwy193_pc5 11 0 0.003 -0.084 0.004 -0.0530936174814658 0.00844691721325376 0.074
pwy196_pc4 2 0 0.034 -0.051 0.087 -0.0509269982701013 1.3023198608419e-24 0.014
pwy238_pc3 2 0 0.236 0.179 0.428 0.166337779948849 2.94561735516591e-41 0.166
pwy238_pc5 10 0 0.004 0.075 0.002 0.0454662124433364 0.0158220931408882 0.114
pwy26_pc4 3 0 0.111 -0.077 0.153 -0.0446069620862074 1.44713216314581e-09 0.382
pwy310_pc3 2 2 0.048 0.086 0.098 0.0849609587117936 5.89546714276481e-18 0.413
pwy320_pc3 11 0 0.002 0.075 0.003 0.0477610541521655 0.00790482772108312 0.065
pwy321_pc5 9 0 0.008 0.076 0.015 0.0466719847345705 0.0278837043601672 0.131
pwy324_pc4 3 3 0.936 0.009 0.926 0.0743950272737523 7.14991187444256e-14 0.404
pwy325_pc3 2 0 0.239 0.177 0.43 0.164187358146676 4.13598517755673e-41 0.166
pwy325_pc4 9 0 0.006 0.075 0.013 0.0456549858947212 0.0254233919938983 0.13
pwy325_pc5 2 0 0.331 -0.126 0.453 -0.114330643789238 5.50204899542378e-36 0.208
pwy326_pc4 11 0 0.002 -0.073 0.004 -0.0471465126654325 0.00941175182643396 0.071
pwy327_pc3 2 2 0.045 -0.101 0.023 -0.10434281768036 4.36824499753733e-22 0.077
pwy33_pc5 2 2 0.009 0.164 0.022 0.164943484206628 3.68075995587834e-20 0.397
pwy331_pc5 3 0 0.054 0.132 0.077 0.145229630759095 5.36460539897215e-49 0.079
pwy35_pc1 2 0 0.096 -0.151 0.217 -0.158702984557976 8.06961768862173e-23 0.351
pwy39_pc4 2 0 0.997 0.001 0.991 0.00871230739810326 0.607914453699355 0.947
pwy45_pc3 2 0 0.426 -0.074 0.416 -0.0305614752646033 0.00169775168480956 0.619
