factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting pval_in_resampling IVW_estimate IVW_pval IVW_resampling_pval
allergy_pwy162_pc3 2 2 0.929 0.057 0.876 -0.0898141556141258 0.108242501901586 0.759
allergy_pwy170_pc4 2 2 0.115 0.425 0.237 0.375778502561459 1.38156997771716e-19 0.375
allergy_pwy172_pc3 2 0 0.037 0.167 0.076 0.169962091167006 6.82124852664011e-18 0.304
allergy_pwy181_pc5 2 2 0.016 0.344 0.057 0.343367307715444 8.73714673260739e-17 0.509
allergy_pwy185_pc5 4 0 0.018 -0.464 0.071 -0.443121303269181 5.56336066319968e-06 0.075
allergy_pwy186_pc5 5 0 0.004 -0.466 0.033 -0.453658660502984 3.10265970777072e-09 0.037
allergy_pwy193_pc4 2 0 0.201 0.329 0.384 0.308737924096592 6.74870912409983e-43 0.155
allergy_pwy193_pc5 11 0 0.001 -0.091 0.003 -0.0584741890387779 0.00560794159949147 0.052
allergy_pwy211_pc3 2 2 0.996 0.003 0.995 0.0167481150136466 0.76382148333225 0.943
allergy_pwy220_pc1 3 0 0.618 -0.205 0.613 -0.129282267631833 0.00487891645038629 0.777
allergy_pwy221_pc2 4 0 0.783 -0.094 0.756 -0.0104457451671482 0.973825591360855 0.97
allergy_pwy237_pc2 2 2 0.877 0.091 0.745 0.0202738824232559 0.732899832382287 0.935
allergy_pwy238_pc1 3 0 0.015 -0.375 0.065 -0.38492324691362 5.62219993443906e-37 0.163
allergy_pwy238_pc3 4 4 0.898 0.031 0.875 0.126372618157224 0.499385978256574 0.574
allergy_pwy238_pc4 2 0 0.222 0.447 0.407 0.417083780396402 6.19980796243838e-42 0.163
allergy_pwy238_pc5 11 0 0.002 0.082 0.005 0.0519836614120907 0.00855909960287376 0.069
allergy_pwy252_pc4 3 3 0.454 -0.12 0.424 -0.0872507426664383 8.4628626265984e-05 0.649
allergy_pwy253_pc5 2 2 0.067 0.42 0.156 0.416672244397334 1.79915030059452e-29 0.299
allergy_pwy256_pc5 2 0 0.877 -0.112 0.731 -0.127924535023972 0.0148200795226449 0.719
allergy_pwy260_pc2 3 3 0.537 -0.204 0.462 -0.208056601095708 1.87672987659179e-07 0.583
allergy_pwy275_pc3 3 0 0.098 -0.522 0.2 -0.486081681425089 1.49805764123143e-53 0.143
allergy_pwy275_pc5 2 0 0.399 -0.298 0.453 -0.26674386990291 7.52480842134589e-32 0.233
allergy_pwy279_pc5 3 0 0.035 0.446 0.122 0.426198371112479 4.71320272907207e-59 0.101
allergy_pwy282_pc5 2 0 0.25 0.524 0.435 0.484721257993964 1.61024182320586e-40 0.169
allergy_pwy292_pc5 2 0 0 0.361 0 0.361203344630548 1.61964941787124e-19 0.247
allergy_pwy300_pc2 2 0 0.011 -0.599 0.026 -0.595135771064266 3.44656890373718e-19 0.276
allergy_pwy303_pc4 2 2 0.98 -0.017 0.937 0.0835431032735052 0.167695746156268 0.856
allergy_pwy304_pc5 2 2 0.005 -0.386 0.012 -0.385916820644429 5.08606553611543e-21 0.47
allergy_pwy306_pc3 2 2 0.016 0.527 0.035 0.531536146432299 6.09922447548846e-18 0.389
allergy_pwy308_pc3 2 2 0.036 -0.566 0.077 -0.573272973084454 5.73104571137457e-18 0.366
allergy_pwy314_pc2 2 0 0.702 0.218 0.558 -0.0190362083527777 0.735072000096753 0.983
allergy_pwy315_pc5 2 2 0.729 0.276 0.57 0.140897314557739 0.0230533517748856 0.74
