factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting pval_in_resampling IVW_estimate IVW_pval IVW_resampling_pval
EUR.CD_pwy101_peer2 3 3 0.943 -0.663 0.942 -5.7566500202372 1.24803124930854e-09 0.582
EUR.CD_pwy107_peer3 2 2 0.995 -0.034 0.991 -0.478983893807206 0.308721891521828 0.882
EUR.CD_pwy114_peer3 3 3 0.282 5.467 0.226 3.74708192241238 1.34430514623039e-09 0.494
EUR.CD_pwy115_peer4 2 2 0.066 -4.144 0.163 -4.1307839807532 5.04597197795086e-21 0.508
EUR.CD_pwy155_peer5 2 2 0.001 -7.13 0.001 -7.13251139807689 1.04381177904526e-48 0.138
EUR.CD_pwy159_peer3 2 2 0.99 0.086 0.977 -0.885293471099508 0.176490145288454 0.864
EUR.CD_pwy164_peer2 2 0 0.073 -3.942 0.063 -3.55172242184327 1.21347106178806e-18 0.196
EUR.CD_pwy165_peer1 2 2 0.893 12.418 0.874 -34.5194434587974 2.1776990856759e-07 0.654
EUR.CD_pwy166_peer5 3 3 0.262 -3.193 0.265 0.123085976467069 0.665843116681239 0.974
EUR.CD_pwy167_peer2 2 2 0.011 4.093 0 4.16490446911679 7.99620651032458e-22 0.232
EUR.CD_pwy168_peer4 2 2 0.114 6.599 0.275 6.69960552493423 3.98344936214983e-30 0.406
EUR.CD_pwy185_peer2 3 3 0.036 6.751 0.06 8.01649373045808 2.8941815667649e-43 0.172
EUR.CD_pwy192_peer4 2 0 0.065 3.836 0.117 3.84332036523118 6.9806712969512e-20 0.484
EUR.CD_pwy193_peer4 2 0 0.045 -2.627 0.098 -2.62699770900189 5.99113779342375e-21 0.528
EUR.CD_pwy193_peer5 3 0 0.105 -1.439 0.068 -0.662592470740438 2.50138892289588e-11 0.579
EUR.CD_pwy198_peer1 2 2 0.944 1.253 0.85 1.80736618600165 0.212377383215518 0.839
EUR.CD_pwy203_peer1 2 2 0.2 -9.146 0.314 -9.79827358532971 1.237271839734e-48 0.041
EUR.CD_pwy20_peer3 2 2 0.422 5.953 0.431 2.78149789094194 1.53508162767455e-08 0.552
EUR.CD_pwy238_peer2 2 2 0.009 -2.421 0 -2.4563337174344 7.91360156997739e-22 0.232
EUR.CD_pwy238_peer5 3 0 0.106 1.406 0.068 0.639250192314607 4.15940208667593e-11 0.583
EUR.CD_pwy256_peer5 2 0 0.947 0.425 0.884 0.267007363424825 0.655645793445093 0.93
EUR.CD_pwy278_peer2 2 2 0.835 -1.137 0.712 -0.237057844415082 0.63986204222104 0.943
EUR.CD_pwy320_peer3 2 0 0.838 0.333 0.69 0.543647231602914 1.30384287913888e-07 0.649
EUR.CD_pwy324_peer2 2 2 0.025 4.126 0.068 4.14574707259085 1.2175844439905e-17 0.548
EUR.CD_pwy325_peer2 2 2 0.026 -2.157 0.005 -2.24608166125573 9.40590555393033e-22 0.226
EUR.CD_pwy325_peer4 2 0 0.871 0.258 0.756 0.465731724724725 4.13952557729597e-06 0.657
EUR.CD_pwy325_peer5 3 0 0.215 2.502 0.231 0.342859900647629 0.0788681191293853 0.72
EUR.CD_pwy326_peer2 2 2 0.014 2.569 0.006 2.51244656559442 8.11058168761698e-22 0.243
EUR.CD_pwy326_peer4 2 0 0.863 -0.274 0.73 -0.481119911721432 1.76980962736224e-06 0.656
EUR.CD_pwy7_peer4 4 4 0.004 4.634 0.007 5.47870852498127 2.08988556327914e-07 0.009
EUR.CD_pwy7_peer5 4 4 0.004 34.453 0.007 40.7507329643293 2.68457957369067e-07 0.009
EUR.CD_pwy85_peer2 2 2 0.057 2.851 0.057 2.71044928204218 1.11614080068428e-52 0.083
EUR.IBD_pwy107_peer1 3 3 0.215 -1.722 0.113 -1.56893054259584 3.16068717348868e-12 0.395
EUR.IBD_pwy107_peer3 2 2 0.991 0.042 0.982 -0.181711489563361 0.596306829935201 0.934
EUR.IBD_pwy117_peer3 2 2 0.99 0.058 0.979 0.302038037248151 0.529161483390303 0.912
EUR.IBD_pwy120_peer1 2 2 0.068 81.253 0.095 85.8553465683604 7.24799950216088e-39 0.247
EUR.IBD_pwy155_peer5 2 2 0.062 -4.518 0.097 -4.39880466105525 1.92128301435154e-33 0.286
EUR.IBD_pwy165_peer1 3 3 0.431 31.308 0.376 3.93458650468704 0.30721179762542 0.914
EUR.IBD_pwy193_peer3 2 0 0.067 2.164 0.145 2.09271316468271 2.67578503208239e-53 0.127
EUR.IBD_pwy193_peer4 5 0 0.099 2.253 0.088 0.852492162878858 0.223742006547895 0.298
EUR.IBD_pwy193_peer5 7 0 0.021 -0.463 0.026 -0.295899516118623 0.00210439889617158 0.043
EUR.IBD_pwy198_peer3 2 0 0.05 -1.263 0.063 -1.32223853710261 1.73090836770796e-18 0.476
EUR.IBD_pwy225_peer4 2 2 0.024 -3.939 0.008 -3.61405038923131 1.87655321882874e-26 0.299
EUR.IBD_pwy238_peer3 3 0 0.005 -1.575 0.004 -1.67693982437578 2.02405599112101e-59 0.081
EUR.IBD_pwy238_peer5 8 0 0.027 0.643 0.032 0.305441107997268 0.00326846113554968 0.063
EUR.IBD_pwy246_peer3 2 2 0.956 -0.183 0.934 0.629195709026853 0.0171182363785858 0.696
EUR.IBD_pwy246_peer5 2 2 0.08 -2.593 0.174 -2.60766287506481 4.75256172837946e-18 0.527
EUR.IBD_pwy252_peer1 2 2 0.049 -4.051 0.021 -4.53952058436854 5.81589788083644e-29 0.216
EUR.IBD_pwy266_peer3 2 2 0.229 -1.382 0.099 -1.60481794787746 1.83153853368545e-21 0.243
EUR.IBD_pwy269_peer5 2 0 0.189 10.998 0.269 6.07638324749813 1.67520689488443e-17 0.159
EUR.IBD_pwy281_peer2 2 2 0.95 -0.165 0.898 0.269033140266337 0.192720058230642 0.854
EUR.IBD_pwy284_peer4 2 2 0.059 4.624 0.142 4.57154501829643 9.65017247520676e-16 0.581
EUR.IBD_pwy292_peer1 2 2 0.114 93.909 0.247 96.3094401950275 1.61622053513833e-37 0.228
EUR.IBD_pwy301_peer4 2 2 0.768 1.716 0.708 -0.188819399632118 0.696259653626899 0.946
EUR.IBD_pwy320_peer3 7 0 0.021 0.459 0.026 0.292421500754619 0.00204512853901577 0.042
EUR.IBD_pwy320_peer4 3 0 0.037 -1.716 0.117 -1.67771254056649 7.07333981454924e-57 0.11
EUR.IBD_pwy321_peer3 4 0 0.126 1.767 0.144 0.926035084062731 0.0566614550119285 0.221
EUR.IBD_pwy321_peer4 7 0 0.04 -0.879 0.041 -0.399521732932632 0.00459454279734169 0.122
EUR.IBD_pwy321_peer5 5 0 0.041 0.698 0.053 0.454752855101899 0.000120951690555912 0.034
EUR.IBD_pwy325_peer2 2 0 0.166 -1.502 0.116 -1.96102836103676 5.89900273748363e-24 0.174
EUR.IBD_pwy325_peer3 3 0 0.013 -1.936 0.009 -2.21857986592633 5.90646648389202e-58 0.08
EUR.IBD_pwy325_peer4 7 0 0.018 0.485 0.025 0.306909436632588 0.00187915963382797 0.042
EUR.IBD_pwy325_peer5 6 6 0.058 1.87 0.066 0.88921609217746 0.00761925720371693 0.087
EUR.IBD_pwy326_peer4 7 0 0.018 -0.477 0.025 -0.301382928450307 0.00193624303540742 0.041
EUR.IBD_pwy326_peer5 3 0 0.027 -1.223 0.063 -1.08815671703693 1.4696249379691e-59 0.089
EUR.IBD_pwy99_peer4 2 2 0.134 -3.088 0.224 -3.26668177048163 2.06685128734596e-28 0.385
EUR.UC_pwy107_peer1 2 2 0.656 -1.691 0.603 -1.71151805394076 1.42392445782365e-08 0.41
EUR.UC_pwy118_peer1 2 2 0.039 -65.926 0.07 -64.9938949693868 1.36083913084127e-21 0.335
EUR.UC_pwy120_peer1 3 3 0.677 21.778 0.634 17.5602547277425 0.00281065729866519 0.795
EUR.UC_pwy123_peer5 2 0 0.136 -3.115 0.137 -3.37879187561127 2.84214427783583e-18 0.311
EUR.UC_pwy142_peer5 2 0 0.817 1.931 0.727 1.42848325191478 0.0417957505739845 0.712
EUR.UC_pwy146_peer4 2 0 0.935 0.87 0.906 1.76150579291619 0.013572300419022 0.542
EUR.UC_pwy162_peer1 2 0 0.142 -38.491 0.059 -45.5610249918182 5.08512609529948e-17 0.369
EUR.UC_pwy162_peer3 3 3 0.868 -0.986 0.889 1.8531235406386 0.00270111318666173 0.783
EUR.UC_pwy167_peer3 3 0 0.11 -3.599 0.1 -5.32497180280301 6.47531787582714e-68 0.039
EUR.UC_pwy171_peer1 2 0 0.107 20.433 0.087 21.3504041516551 1.33167773364397e-34 0.242
EUR.UC_pwy174_peer1 2 0 0.17 -21.416 0.284 -25.1559237242029 2.19397522540367e-57 0.079
EUR.UC_pwy174_peer3 2 2 0.038 -3.462 0.075 -3.46587604239361 8.82342593335723e-23 0.521
EUR.UC_pwy176_peer2 2 2 0.083 8.68 0.147 8.69293687005829 2.35749620169727e-17 0.505
EUR.UC_pwy182_peer3 3 0 0.031 -4.129 0.086 -4.40390799368217 1.92726912282841e-79 0.067
EUR.UC_pwy182_peer4 2 2 0.986 -0.056 0.979 -0.176499223138724 0.573028730854143 0.945
EUR.UC_pwy183_peer5 2 2 0.02 -3.443 0.033 -3.53676292838136 5.1586715948282e-16 0.257
EUR.UC_pwy185_peer2 3 3 0.039 10.686 0.088 10.4886151714893 2.01519267316716e-81 0.137
EUR.UC_pwy186_peer2 5 5 0.797 1.713 0.795 -6.21105476220874 0.237754059887392 0.298
EUR.UC_pwy186_peer5 2 0 0.067 4.112 0.133 4.14786119700763 3.3228168779813e-73 0.102
EUR.UC_pwy193_peer3 3 0 0.024 2.209 0.056 2.47580282892628 6.86764897735309e-83 0.044
EUR.UC_pwy193_peer4 12 0 0.003 1.991 0.004 1.68290443558842 3.57325678286443e-06 0.004
EUR.UC_pwy193_peer5 13 0 0 -0.503 0 -0.374319690612025 3.68026718485911e-12 0
EUR.UC_pwy199_peer5 2 0 0.573 2.255 0.652 1.86695085384836 1.63763053962835e-11 0.547
EUR.UC_pwy203_peer4 2 2 0.14 1.229 0.249 1.22654334303914 1.98036956727229e-23 0.526
EUR.UC_pwy204_peer4 2 2 0.891 0.799 0.789 0.237399005777939 0.633356952169481 0.944
EUR.UC_pwy219_peer4 2 0 0.632 3.857 0.631 0.13579291245511 0.839727433018209 0.985
EUR.UC_pwy225_peer4 3 3 0.065 -3.901 0.15 -3.91139648050249 2.33376116035537e-42 0.335
EUR.UC_pwy228_peer5 2 0 0.438 4.466 0.469 1.54609683018218 6.28026610399449e-05 0.659
EUR.UC_pwy232_peer5 2 2 0.934 0.322 0.902 -0.162138216831948 0.540882642970815 0.846
EUR.UC_pwy238_peer3 5 0 0.005 -1.758 0.011 -1.70145367779968 5.05571947573012e-06 0.024
EUR.UC_pwy238_peer4 3 0 0.037 3.198 0.09 3.5606124741092 2.48249817753605e-79 0.061
EUR.UC_pwy238_peer5 13 0 0 0.499 0 0.370853905183172 4.57048963728248e-12 0
EUR.UC_pwy246_peer3 3 3 0.009 4.018 0.031 3.83071979607231 4.10957919834148e-36 0.267
EUR.UC_pwy246_peer5 3 3 0.754 0.699 0.763 -0.219370421103821 0.399430859909393 0.928
EUR.UC_pwy260_peer4 2 0 0.526 -2.375 0.491 -0.478314112195423 0.167515167355445 0.916
EUR.UC_pwy261_peer2 2 0 0.437 -3.152 0.499 -1.86548749836467 1.09258572260767e-06 0.626
EUR.UC_pwy264_peer3 2 2 0.33 191.41 0.249 70.0734729310676 0.000277321805445528 0.659
EUR.UC_pwy271_peer5 3 0 0.011 8.286 0.027 7.5331121169105 1.43114861696168e-31 0.314
EUR.UC_pwy275_peer1 2 0 0.153 -36.675 0.246 -37.4019974044094 6.10047446144248e-70 0.134
EUR.UC_pwy275_peer2 2 0 0.252 3.584 0.196 4.68925850324485 2.68676116812931e-27 0.104
EUR.UC_pwy275_peer4 2 2 0.013 4.56 0.027 4.49376508918298 1.27571211344716e-16 0.447
EUR.UC_pwy278_peer5 2 2 0.922 0.255 0.849 -0.183129435537181 0.475187278271307 0.927
EUR.UC_pwy279_peer1 2 0 0.137 -77.338 0.236 -78.7221713617231 1.03458461030389e-70 0.13
EUR.UC_pwy279_peer2 2 0 0.569 10.76 0.544 2.98402238818762 0.00741768374268019 0.726
EUR.UC_pwy27_peer2 2 0 0.718 1.119 0.72 0.424793076940497 0.188178347618702 0.78
EUR.UC_pwy281_peer1 2 0 0.054 -15.343 0.112 -15.450279295728 1.82457958647603e-73 0.098
EUR.UC_pwy281_peer4 2 0 0.19 -2.967 0.298 -3.03898130967973 9.72821264421206e-68 0.139
EUR.UC_pwy287_peer1 2 0 0.18 -44.645 0.193 -55.7260886479185 5.2253812938906e-32 0.105
EUR.UC_pwy287_peer4 2 0 0.337 4.153 0.34 6.20165129914914 3.06714478392075e-38 0.079
EUR.UC_pwy292_peer1 2 2 0.046 113.927 0.067 114.069736773737 5.13674185130782e-38 0.218
EUR.UC_pwy300_peer2 2 0 0.108 -12.149 0.213 -11.5511343360066 1.12376327331699e-22 0.529
EUR.UC_pwy306_peer5 2 0 0.049 -3.446 0.058 -3.64481459811374 1.40131349015652e-23 0.204
EUR.UC_pwy308_peer4 2 0 0.612 3.051 0.627 -0.256522478722671 0.630912216937528 0.972
EUR.UC_pwy311_peer1 2 2 0.072 -22.157 0.108 -22.7326444559332 2.64133389804393e-22 0.32
EUR.UC_pwy320_peer3 13 0 0 0.494 0 0.367976851506146 4.51483659996474e-12 0
