factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting pval_in_resampling
pwy110_pc3 2 0 0.002 -0.081 0.006
pwy131_pc4 2 2 0.006 -0.062 0.002
pwy15_pc3 2 2 0.068 -0.154 0.155
pwy175_pc2 2 0 0.767 0.048 0.639
pwy193_pc4 2 0 0.265 0.189 0.445
pwy193_pc5 11 0 0.003 -0.084 0.004
pwy196_pc4 2 0 0.034 -0.051 0.087
pwy238_pc3 2 0 0.236 0.179 0.428
pwy238_pc5 10 0 0.004 0.075 0.002
pwy26_pc4 3 0 0.111 -0.077 0.153
pwy310_pc3 2 2 0.048 0.086 0.098
pwy320_pc3 11 0 0.002 0.075 0.003
pwy321_pc5 9 0 0.008 0.076 0.015
pwy324_pc4 3 3 0.936 0.009 0.926
pwy325_pc3 2 0 0.239 0.177 0.43
pwy325_pc4 9 0 0.006 0.075 0.013
pwy325_pc5 2 0 0.331 -0.126 0.453
pwy326_pc4 11 0 0.002 -0.073 0.004
pwy327_pc3 2 2 0.045 -0.101 0.023
pwy33_pc5 2 2 0.009 0.164 0.022
pwy331_pc5 3 0 0.054 0.132 0.077
pwy35_pc1 2 0 0.096 -0.151 0.217
pwy39_pc4 2 0 0.997 0.001 0.991
pwy45_pc3 2 0 0.426 -0.074 0.416
pwy76_pc3 2 2 0.985 0.006 0.97
pwy77_pc4 2 0 0.038 -0.157 0.013
pwy80_pc4 2 2 0.1 -0.353 0.26
pwy82_pc5 2 2 0.607 -0.283 0.496
pwy95_pc4 2 0 0.062 0.061 0.149
pwy97_pc4 2 0 0.041 0.088 0.108
pwy99_pc4 3 0 0 -0.118 0
pwy185_pc5 2 0 0.011 -2.157 0.076
pwy186_pc5 2 0 0.003 -2.03 0.026
pwy193_pc4 2 0 0.144 -1.881 0.104
pwy193_pc5 23 0 0.04 0.493 0.067
pwy21_pc3 2 2 0.18 -1.334 0.673
pwy238_pc3 2 0 0.091 -2.587 0.122
pwy238_pc4 3 0 0.481 1.583 0.125
pwy238_pc5 27 0 0.015 -0.513 0.035
pwy279_pc5 3 3 0.013 -2.717 0.09
pwy320_pc3 27 0 0.038 -0.426 0.051
pwy321_pc3 4 0 0.995 0.014 1
pwy321_pc5 27 0 0.006 -0.632 0.017
pwy325_pc3 6 0 0.36 1.174 0.256
pwy325_pc4 25 0 0.009 -0.574 0.028
pwy325_pc5 10 0 0.266 0.789 0.328
pwy326_pc3 3 0 0.577 -1.061 0.206
pwy326_pc4 29 0 0.021 0.478 0.035
pwy331_pc5 2 0 0.889 0.479 0.724
pwy50_pc4 3 0 0.568 -1.057 0.848
pwy64_pc3 2 2 0.885 -0.812 0.57
pwy99_pc3 2 2 0.051 -2.894 0.359
pwy107_pc4 2 2 0.949 -0.009 0.858
pwy131_pc3 2 2 0.858 -0.007 0.673
pwy134_pc3 2 2 0.32 -0.154 0.474
