factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting pval_in_resampling
pwy15_peer3 3 3 0.463 -0.142 0.352
pwy203_peer4 2 2 0.709 -0.076 0.573
pwy280_peer4 2 2 0.233 -0.363 0.431
pwy321_peer3 2 2 0.944 0.019 0.856
pwy327_peer3 2 2 0.025 0.199 0.017
pwy63_peer4 2 2 0.86 -0.047 0.735
pwy99_peer4 2 2 0.014 0.215 0.016
pwy15_peer4 2 2 0.075 -5.378 0.159
pwy264_peer4 2 2 0.001 -1347.375 0.005
pwy321_peer5 19 19 0.09 0.8 0.124
pwy331_peer5 2 2 0.106 3.83 0.088
pwy99_peer3 2 2 0.047 -5.988 0.354
pwy134_peer3 2 2 0.757 0.119 0.576
pwy146_peer4 2 2 0.763 -0.107 0.583
pwy238_peer3 2 2 0.735 0.058 0.57
pwy242_peer3 2 2 0.83 -0.029 0.641
pwy320_peer2 3 3 0.665 0.069 0.645
pwy329_peer5 3 3 0.284 0.072 0.269
pwy59_peer5 2 2 0.116 0.249 0.161
pwy109_peer5 2 2 0.003 7.774 0.007
pwy114_peer4 3 3 0.008 -0.172 0.025
pwy139_peer3 2 2 0.084 0.158 0.165
pwy165_peer4 4 4 0.034 -0.173 0.079
pwy169_peer4 3 3 0.001 -0.175 0.005
pwy178_peer4 2 2 0.941 0.015 0.881
pwy188_peer4 3 3 0.058 0.207 0.162
pwy190_peer3 2 2 0.689 -0.055 0.695
pwy203_peer3 2 2 0.129 0.175 0.228
pwy206_peer3 2 2 0.094 -0.143 0.182
pwy211_peer3 2 2 0.156 -0.218 0.276
pwy216_peer4 3 3 0.597 -0.062 0.524
pwy23_peer3 2 2 0.965 -0.007 0.932
pwy235_peer4 2 2 0.033 0.176 0.073
pwy242_peer3 2 2 0.9 0.024 0.812
pwy274_peer3 3 3 0.937 0.01 0.913
pwy284_peer3 2 2 0.179 0.245 0.309
pwy285_peer4 2 2 0.933 -0.018 0.868
pwy288_peer4 2 2 0.082 -0.154 0.159
pwy294_peer4 2 2 0.074 -0.155 0.147
pwy301_peer3 3 3 0.397 -0.126 0.306
pwy305_peer4 2 2 0.127 0.234 0.217
pwy311_peer4 3 3 0.049 0.222 0.123
pwy313_peer4 3 3 0.003 -0.186 0.008
pwy315_peer4 3 3 0.849 0.02 0.849
pwy316_peer4 2 2 0.249 -0.228 0.435
pwy321_peer4 8 8 0.033 0.075 0.046
pwy332_peer4 2 2 0.894 -0.025 0.789
pwy40_peer4 2 2 0.068 -0.156 0.138
pwy47_peer3 2 2 0.011 0.155 0.013
pwy58_peer2 2 2 0.852 0.036 0.712
pwy59_peer3 2 2 0.97 0.008 0.941
pwy97_peer3 2 2 0.907 0.021 0.815
pwy178_peer3 2 2 0.877 0.165 0.693
