factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
allergy_bcell_lv14 2 2 0.932 -0.077 0.011 0.856
allergy_bcell_lv57 2 1 0.003 -0.712 1 0.004
eo_bcell_lv105 2 2 0.08 -0.33 0.984 0.194
eo_bcell_lv38 2 2 0.159 0.42 0.939 0.332
eo_bcell_lv84 2 2 0.88 0.042 0.035 0.817
eo_bcell_lv92 2 2 0.92 0.044 0.016 0.814
eo_bcell_lv98 2 2 0.825 0.08 0.074 0.687
EUR.CD_bcell_lv104 2 1 0.482 -1.675 0.528 0.48
EUR.CD_bcell_lv36 2 2 0.032 1.77 0.997 0.019
EUR.CD_bcell_lv40 2 2 0.054 2.037 0.993 0.132
EUR.CD_bcell_lv49 2 2 0.026 -0.75 0.998 0.016
EUR.CD_bcell_lv60 2 2 0.339 -1.562 0.743 0.365
EUR.CD_bcell_lv96 2 2 0.006 2.013 1 0
EUR.IBD_bcell_lv25 2 2 0.023 -0.976 0.999 0.011
EUR.IBD_bcell_lv60 2 2 0.366 -1.214 0.705 0.422
EUR.IBD_bcell_lv62 2 2 0.931 -0.23 0.012 0.892
EUR.IBD_bcell_lv96 2 2 0.048 1.625 0.994 0.011
EUR.UC_bcell_lv40 2 2 0.894 0.307 0.028 0.691
gran_bcell_lv39 2 2 0.653 0.088 0.269 0.6
gran_bcell_lv72 2 2 0.298 0.692 0.796 0.46
gran_bcell_lv83 2 2 0.026 0.373 0.998 0.026
hct_bcell_lv27 2 2 0.781 0.089 0.113 0.612
hct_bcell_lv51 2 2 0.508 0.238 0.487 0.501
hct_bcell_lv86 2 2 0.033 -0.251 0.997 0.049
hgb_bcell_lv20 2 2 0.095 -0.156 0.978 0.09
lymph_bcell_lv99 2 2 0.067 -0.193 0.989 0.168
mch_bcell_lv131 2 2 0.959 0.007 0.004 0.914
mchc_bcell_lv116 4 4 0.976 0.007 0 0.973
mchc_bcell_lv12 4 4 0.241 0.158 0.415 0.285
mchc_bcell_lv47 3 3 0.744 -0.096 0.066 0.802
mono_bcell_lv127 2 2 0.184 -0.197 0.919 0.292
mpv_bcell_lv113 2 2 0.956 0.02 0.005 0.901
mpv_bcell_lv30 2 2 0.156 -0.271 0.941 0.179
mpv_bcell_lv45 2 2 0.616 -0.739 0.322 0.627
mpv_bcell_lv61 2 2 0.129 0.357 0.96 0.184
myeloid_wbc_bcell_lv30 2 2 0.059 -0.273 0.992 0.094
myeloid_wbc_bcell_lv72 2 2 0.292 0.682 0.804 0.494
myeloid_wbc_bcell_lv83 2 2 0.033 0.376 0.997 0.031
neut_bcell_lv135 2 2 0.018 0.151 0.999 0.013
neut_bcell_lv39 2 2 0.646 0.095 0.278 0.559
neut_bcell_lv72 2 2 0.306 0.689 0.786 0.507
neut_bcell_lv83 2 2 0.022 0.374 0.999 0.015
pct_bcell_lv113 2 2 0.995 0.003 0 0.994
pct_bcell_lv83 2 2 0.238 -0.467 0.866 0.414
pct_bcell_lv84 2 2 0.504 0.402 0.494 0.512
pct_bcell_lv96 2 2 0.033 -0.698 0.997 0.032
pdw_bcell_lv51 3 3 0.764 -0.051 0.056 0.792
plt_bcell_lv84 3 3 0.234 0.544 0.587 0.252
rbc_bcell_lv45 2 2 0.478 -0.257 0.534 0.474
rbc_bcell_lv51 4 4 0.955 -0.012 0.001 0.958
rbc_bcell_lv83 2 2 0.07 -0.376 0.988 0.151
rdw_bcell_lv34 2 2 0.892 -0.07 0.029 0.859
ret_bcell_lv20 2 2 0.094 -0.154 0.978 0.156
T1D_bcell_lv14 2 2 0.981 -0.082 0.001 0.978
T1D_bcell_lv26 2 2 0.986 0.042 0 0.95
T1D_bcell_lv9 2 2 0.973 0.112 0.002 0.905
ukb.allasthma_bcell_lv102 2 2 0.906 -0.097 0.022 0.786
ukb.allasthma_bcell_lv14 2 2 0.959 0.057 0.004 0.895
wbc_bcell_lv72 2 2 0.328 0.606 0.758 0.477
wbc_bcell_lv83 2 2 0.035 0.464 0.997 0.029
