factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
EUR.CD_pwy102_pc2 2 2 0.936 0.134 0.01 0.794
EUR.CD_pwy133_pc3 2 2 0.034 1.534 0.997 0.106
EUR.CD_pwy159_pc2 2 2 0.012 -0.924 1 0.016
EUR.CD_pwy164_pc2 2 1 0.018 -0.859 0.999 0.005
EUR.CD_pwy262_pc3 2 2 0.108 1.148 0.972 0.281
EUR.CD_pwy26_pc3 2 2 0.991 -0.016 0 0.972
EUR.CD_pwy8_pc5 2 1 0.035 0.937 0.997 0.032
EUR.IBD_pwy101_pc3 2 2 0.952 -0.044 0.006 0.876
EUR.IBD_pwy103_pc1 2 2 0.577 -0.581 0.381 0.458
EUR.IBD_pwy104_pc4 2 2 0.994 0.005 0 0.986
EUR.IBD_pwy131_pc4 3 3 0.299 0.336 0.491 0.288
EUR.IBD_pwy136_pc5 2 2 0.933 -0.04 0.011 0.814
EUR.IBD_pwy137_pc5 2 2 0.583 0.217 0.372 0.496
EUR.IBD_pwy144_pc5 2 2 0.591 -0.329 0.358 0.496
EUR.IBD_pwy152_pc1 2 2 0.021 -0.353 0.999 0.002
EUR.IBD_pwy154_pc3 3 3 0.646 -0.141 0.125 0.687
EUR.IBD_pwy157_pc3 2 2 0.156 -0.732 0.941 0.359
EUR.IBD_pwy159_pc2 3 3 0 -0.81 0.999 0.001
EUR.IBD_pwy167_pc3 2 2 0.573 -0.296 0.386 0.495
EUR.IBD_pwy171_pc1 3 3 0.493 -0.458 0.257 0.504
EUR.IBD_pwy17_pc3 2 2 0.465 1.637 0.555 0.463
EUR.IBD_pwy185_pc4 2 2 0.538 0.469 0.44 0.493
EUR.IBD_pwy191_pc1 2 2 0.114 1.007 0.968 0.359
EUR.IBD_pwy202_pc3 2 2 0.532 0.348 0.45 0.493
EUR.IBD_pwy205_pc3 2 2 0.907 0.119 0.021 0.763
EUR.IBD_pwy211_pc5 2 2 0.542 -0.159 0.434 0.493
EUR.IBD_pwy218_pc1 4 4 0.445 -0.558 0.204 0.437
EUR.IBD_pwy221_pc2 2 2 0.392 -0.611 0.666 0.461
EUR.IBD_pwy226_pc3 3 3 0.594 -0.212 0.165 0.654
EUR.IBD_pwy234_pc4 2 2 0.21 0.838 0.895 0.444
EUR.IBD_pwy236_pc3 2 2 0.516 -0.416 0.476 0.492
EUR.IBD_pwy246_pc3 2 2 0.662 -0.264 0.256 0.592
EUR.IBD_pwy248_pc4 2 2 0.9 -0.137 0.024 0.816
EUR.IBD_pwy257_pc3 2 2 0.058 -0.791 0.992 0.025
EUR.IBD_pwy258_pc4 2 2 0.945 -0.065 0.007 0.853
EUR.IBD_pwy265_pc1 2 2 0.049 0.38 0.994 0.019
EUR.IBD_pwy26_pc3 2 2 0.949 -0.086 0.006 0.82
