factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
EUR.CD_pwy1006_pc4 2 2 0.828 0.305 0.071 0.635
EUR.CD_pwy1029_pc4 3 3 0.661 -0.406 0.115 0.67
EUR.CD_pwy1039_pc4 2 2 0.053 1.067 0.993 0.173
EUR.CD_pwy1040_pc4 2 2 0.053 1.067 0.993 0.173
EUR.CD_pwy1043_pc3 2 2 0.372 -0.497 0.696 0.427
EUR.CD_pwy1096_pc3 2 2 0.956 -0.078 0.005 0.861
EUR.CD_pwy1112_pc5 2 2 0.028 -1.075 0.998 0.011
EUR.CD_pwy1114_pc4 2 2 0.038 0.904 0.996 0.107
EUR.CD_pwy1120_pc4 2 2 0.18 -1.195 0.922 0.384
EUR.CD_pwy1141_pc3 2 1 0.118 1.079 0.966 0.327
EUR.CD_pwy1162_pc1 2 2 0.908 0.14 0.021 0.766
EUR.CD_pwy1167_pc4 2 2 0.116 -1.158 0.967 0.308
EUR.CD_pwy1171_pc4 2 2 0.053 1.066 0.993 0.172
EUR.CD_pwy1203_pc2 2 2 0.92 0.169 0.016 0.762
EUR.CD_pwy12_pc4 2 2 0.053 1.066 0.993 0.172
EUR.CD_pwy139_pc4 2 2 0.95 -0.09 0.006 0.906
EUR.CD_pwy160_pc2 2 2 0.052 -1.811 0.993 0.054
EUR.CD_pwy161_pc2 2 2 0.079 -1.493 0.985 0.242
EUR.CD_pwy17_pc3 2 2 0.873 0.193 0.039 0.658
EUR.CD_pwy198_pc2 2 2 0.795 -0.602 0.1 0.594
EUR.CD_pwy19_pc3 2 2 0.864 0.208 0.045 0.652
EUR.CD_pwy200_pc4 2 2 0.109 1.234 0.971 0.289
EUR.CD_pwy203_pc3 2 2 0.839 0.256 0.062 0.631
EUR.CD_pwy208_pc4 2 2 0.109 -0.778 0.971 0.282
EUR.CD_pwy212_pc4 2 2 0.905 -0.098 0.022 0.786
EUR.CD_pwy218_pc2 2 2 0.964 0.083 0.003 0.865
EUR.CD_pwy27_pc4 2 2 0.053 1.066 0.993 0.172
EUR.CD_pwy288_pc5 2 2 0.383 2.333 0.68 0.437
EUR.CD_pwy307_pc3 2 2 0.969 0.045 0.002 0.911
EUR.CD_pwy317_pc2 2 2 0.05 0.975 0.994 0.144
EUR.CD_pwy329_pc1 3 3 0.004 1.099 0.992 0.019
EUR.CD_pwy392_pc5 2 2 0.939 0.104 0.009 0.809
EUR.CD_pwy393_pc5 2 2 0.958 0.063 0.004 0.881
EUR.CD_pwy413_pc4 3 3 0.201 -0.846 0.638 0.266
EUR.CD_pwy41_pc3 2 2 0.873 0.193 0.039 0.658
EUR.CD_pwy437_pc3 2 2 0.105 1.384 0.973 0.273
EUR.CD_pwy460_pc1 2 1 0.83 0.236 0.07 0.679
EUR.CD_pwy468_pc1 2 2 0.188 -1.622 0.916 0.391
EUR.CD_pwy46_pc1 2 2 0.188 -1.622 0.916 0.391
EUR.CD_pwy482_pc3 3 3 0.677 -0.356 0.104 0.68
EUR.CD_pwy4_pc1 2 2 0.908 -0.293 0.021 0.738
EUR.CD_pwy4_pc5 2 2 0.962 0.065 0.004 0.886
EUR.CD_pwy501_pc2 3 3 0.507 0.899 0.243 0.387
EUR.CD_pwy501_pc5 3 2 0.813 0.235 0.035 0.786
EUR.CD_pwy557_pc2 2 2 0.921 0.165 0.015 0.814
EUR.CD_pwy560_pc1 2 2 0.348 -1.036 0.73 0.427
EUR.CD_pwy573_pc1 2 1 0.179 -3.354 0.923 0.176
EUR.CD_pwy573_pc2 2 2 0.927 -0.107 0.013 0.775
EUR.CD_pwy62_pc1 2 1 0.151 -1.798 0.945 0.099
EUR.CD_pwy645_pc3 2 2 0.925 0.148 0.014 0.771
EUR.CD_pwy64_pc4 4 4 0.922 0.116 0.004 0.906
EUR.CD_pwy656_pc4 2 2 0.956 0.075 0.005 0.862
EUR.CD_pwy662_pc2 2 2 0.001 -1.234 1 0.005
EUR.CD_pwy665_pc3 2 1 0.5 -0.565 0.501 0.516
EUR.CD_pwy66_pc2 2 2 0.06 1.068 0.991 0.189
EUR.CD_pwy697_pc4 2 2 0.981 0.034 0.001 0.947
EUR.CD_pwy713_pc5 2 2 0.881 0.163 0.034 0.713
EUR.CD_pwy716_pc3 2 2 0.944 0.086 0.008 0.824
EUR.CD_pwy716_pc5 2 2 0.018 0.966 0.999 0.009
EUR.CD_pwy717_pc5 2 2 0.949 -0.079 0.006 0.844
EUR.CD_pwy719_pc4 2 1 0.062 1.315 0.991 0.032
EUR.CD_pwy722_pc2 2 2 0.363 -1.289 0.709 0.281
EUR.CD_pwy725_pc1 2 1 0.839 0.227 0.062 0.688
EUR.CD_pwy737_pc1 2 1 0.921 -0.126 0.015 0.764
EUR.CD_pwy741_pc2 3 3 0.566 -0.578 0.188 0.438
EUR.CD_pwy755_pc2 3 3 0.507 0.899 0.243 0.387
EUR.CD_pwy755_pc5 3 2 0.813 0.235 0.035 0.786
EUR.CD_pwy759_pc2 2 2 0.181 -3.399 0.922 0.183
EUR.CD_pwy760_pc1 2 2 0.188 1.25 0.915 0.351
EUR.CD_pwy766_pc4 2 2 0.919 -0.131 0.016 0.768
EUR.CD_pwy769_pc2 2 2 0.945 0.085 0.008 0.828
EUR.CD_pwy777_pc4 2 2 0.923 -0.176 0.015 0.87
EUR.CD_pwy789_pc3 2 2 0.034 -1.034 0.997 0.011
EUR.CD_pwy912_pc3 2 2 0.805 -0.653 0.091 0.587
EUR.CD_pwy915_pc1 2 2 0.17 3.799 0.931 0.151
EUR.CD_pwy917_pc5 2 2 0.683 0.709 0.228 0.579
EUR.CD_pwy931_pc5 3 3 0.777 -0.233 0.05 0.842
EUR.CD_pwy946_pc1 2 1 0.015 -0.951 0.999 0.014
EUR.CD_pwy953_pc3 2 2 0.658 -1.883 0.261 0.546
EUR.CD_pwy95_pc2 2 1 0.043 -0.746 0.995 0.033
EUR.CD_pwy963_pc1 2 2 1 0 0 1
EUR.CD_pwy964_pc4 2 2 0.73 0.577 0.17 0.559
EUR.CD_pwy973_pc2 2 2 0.895 0.205 0.027 0.696
EUR.CD_pwy978_pc4 2 2 0.88 0.196 0.035 0.678
EUR.CD_pwy992_pc5 2 2 0.065 1.27 0.99 0.202
EUR.IBD_pwy1000_pc5 2 2 0.953 -0.046 0.006 0.864
EUR.IBD_pwy1014_pc3 2 2 0.88 0.141 0.035 0.712
EUR.IBD_pwy1034_pc3 3 3 0.557 0.195 0.196 0.407
EUR.IBD_pwy1038_pc4 3 3 0.701 0.172 0.089 0.707
EUR.IBD_pwy1039_pc4 2 2 0.12 1.009 0.965 0.382
EUR.IBD_pwy1040_pc4 2 2 0.12 1.009 0.965 0.382
EUR.IBD_pwy1043_pc3 2 2 0.335 -0.4 0.748 0.409
EUR.IBD_pwy1044_pc3 2 1 0.798 0.266 0.097 0.521
EUR.IBD_pwy1059_pc1 3 3 0.307 1.18 0.48 0.273
EUR.IBD_pwy1064_pc4 4 4 0.897 -0.057 0.007 0.87
EUR.IBD_pwy1071_pc5 3 3 0.396 -0.446 0.364 0.326
EUR.IBD_pwy1074_pc5 2 2 0.984 0.019 0.001 0.973
EUR.IBD_pwy1076_pc4 2 2 0.129 -0.715 0.959 0.06
EUR.IBD_pwy1081_pc2 2 2 0.951 -0.083 0.006 0.81
EUR.IBD_pwy1082_pc4 3 3 0.755 -0.142 0.06 0.79
EUR.IBD_pwy1083_pc4 4 4 0.476 -0.28 0.181 0.497
EUR.IBD_pwy1098_pc1 2 2 0.013 1.217 1 0.065
EUR.IBD_pwy110_pc3 2 2 0.564 -0.303 0.4 0.495
EUR.IBD_pwy1117_pc1 2 2 0.023 0.625 0.999 0.056
EUR.IBD_pwy1117_pc4 4 4 0.47 0.242 0.185 0.476
EUR.IBD_pwy1118_pc4 3 3 0.379 0.283 0.386 0.336
EUR.IBD_pwy1129_pc3 2 2 0.02 -0.944 0.999 0.04
EUR.IBD_pwy1136_pc3 3 3 0.566 0.189 0.188 0.435
EUR.IBD_pwy1140_pc4 2 2 0.078 -0.756 0.985 0.01
EUR.IBD_pwy1141_pc4 2 2 0.059 -0.788 0.991 0.204
EUR.IBD_pwy1145_pc4 2 2 0.959 -0.045 0.004 0.877
EUR.IBD_pwy1152_pc5 2 2 0.888 -0.114 0.031 0.623
EUR.IBD_pwy1158_pc5 2 2 0.07 0.467 0.988 0.089
EUR.IBD_pwy1161_pc2 2 2 0.807 0.182 0.089 0.594
EUR.IBD_pwy1171_pc4 2 2 0.12 1.008 0.965 0.382
EUR.IBD_pwy1174_pc3 4 4 0.15 0.589 0.553 0.144
EUR.IBD_pwy1175_pc3 2 2 0.435 0.719 0.601 0.462
