factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
EUR.CD_pwy1006_pc4 2 2 0.824 0.309 0.074 0.668
EUR.CD_pwy101_pc1 3 3 0.001 -1.391 0.997 0.017
EUR.CD_pwy1024_pc4 2 1 0.023 1.342 0.999 0.019
EUR.CD_pwy1029_pc4 3 3 0.659 -0.405 0.117 0.643
EUR.CD_pwy102_pc3 2 2 0.05 1.337 0.994 0.191
EUR.CD_pwy1035_pc3 2 2 0.049 -0.957 0.994 0.141
EUR.CD_pwy1039_pc4 3 3 0.002 1.057 0.995 0.047
EUR.CD_pwy1040_pc4 3 3 0.002 1.057 0.995 0.047
EUR.CD_pwy1043_pc3 2 2 0.368 -0.497 0.702 0.393
EUR.CD_pwy1081_pc4 2 2 0.107 1.005 0.972 0.277
EUR.CD_pwy1082_pc3 3 3 0.738 0.478 0.069 0.799
EUR.CD_pwy1112_pc5 2 2 0.029 -1.079 0.998 0.004
EUR.CD_pwy111_pc3 3 3 0.463 -0.561 0.288 0.373
EUR.CD_pwy1141_pc3 2 1 0.111 1.059 0.97 0.347
EUR.CD_pwy1155_pc1 3 3 0.008 -1.446 0.985 0.09
EUR.CD_pwy1165_pc1 2 2 0.077 -1.739 0.986 0.259
EUR.CD_pwy1167_pc4 2 2 0.046 -0.988 0.995 0.18
EUR.CD_pwy1171_pc4 3 3 0.002 1.056 0.995 0.046
EUR.CD_pwy12_pc4 3 3 0.002 1.056 0.995 0.046
EUR.CD_pwy134_pc3 2 2 0.045 -1.086 0.995 0.171
EUR.CD_pwy136_pc4 2 2 0.007 1.101 1 0.046
EUR.CD_pwy139_pc4 3 3 0.646 -0.463 0.125 0.697
EUR.CD_pwy160_pc2 2 2 0.05 -1.796 0.994 0.052
EUR.CD_pwy161_pc2 2 2 0.08 -1.48 0.984 0.267
EUR.CD_pwy17_pc3 2 2 0.874 0.192 0.039 0.624
EUR.CD_pwy198_pc2 2 2 0.797 -0.602 0.099 0.623
EUR.CD_pwy19_pc3 2 2 0.862 0.211 0.046 0.61
EUR.CD_pwy1_pc1 2 2 0.128 -2.087 0.96 0.376
EUR.CD_pwy200_pc4 2 2 0.109 1.176 0.971 0.331
EUR.CD_pwy203_pc3 2 2 0.834 0.263 0.066 0.582
EUR.CD_pwy208_pc4 2 2 0.111 -0.778 0.97 0.258
EUR.CD_pwy212_pc4 2 2 0.912 -0.09 0.019 0.791
EUR.CD_pwy218_pc2 2 2 0.955 0.103 0.005 0.866
EUR.CD_pwy27_pc4 3 3 0.002 1.056 0.995 0.046
EUR.CD_pwy290_pc2 2 2 0.044 -0.938 0.995 0.117
EUR.CD_pwy290_pc4 2 2 0.093 -0.582 0.979 0.198
EUR.CD_pwy307_pc3 2 2 0.964 0.051 0.003 0.892
EUR.CD_pwy317_pc2 2 2 0.034 0.946 0.997 0.088
EUR.CD_pwy329_pc1 2 2 0.011 1.117 1 0.04
EUR.CD_pwy32_pc3 3 3 0.688 0.388 0.097 0.713
EUR.CD_pwy358_pc3 2 2 0.003 -1.389 1 0.009
EUR.CD_pwy364_pc3 2 2 0.988 -0.02 0 0.97
EUR.CD_pwy37_pc5 2 2 0.823 -0.559 0.076 0.588
EUR.CD_pwy38_pc5 2 2 0.823 -0.559 0.076 0.588
EUR.CD_pwy392_pc5 2 2 0.945 0.094 0.008 0.825
EUR.CD_pwy393_pc5 2 2 0.962 0.057 0.004 0.887
EUR.CD_pwy394_pc2 2 1 0.015 -0.979 0.999 0.012
EUR.CD_pwy403_pc4 2 1 0.43 0.887 0.609 0.411
EUR.CD_pwy417_pc2 4 4 0.358 -0.615 0.281 0.29
EUR.CD_pwy41_pc3 2 2 0.874 0.191 0.039 0.624
EUR.CD_pwy448_pc5 2 2 0.827 0.351 0.072 0.582
EUR.CD_pwy460_pc1 2 1 0.832 0.235 0.068 0.632
EUR.CD_pwy466_pc5 2 2 0.911 0.127 0.019 0.699
EUR.CD_pwy474_pc3 2 2 0.025 0.957 0.998 0.074
EUR.CD_pwy482_pc3 3 3 0.664 -0.376 0.113 0.643
EUR.CD_pwy4_pc5 2 2 0.961 0.065 0.004 0.888
EUR.CD_pwy526_pc4 4 4 0.005 -1.124 0.946 0.088
EUR.CD_pwy531_pc4 2 2 0.039 -1.084 0.996 0.123
EUR.CD_pwy557_pc2 2 2 0.91 0.184 0.02 0.818
EUR.CD_pwy560_pc1 2 2 0.346 -1.038 0.732 0.393
EUR.CD_pwy571_pc2 2 1 0.046 -0.883 0.995 0.023
EUR.CD_pwy62_pc1 2 1 0.151 -1.814 0.945 0.076
EUR.CD_pwy632_pc3 2 2 0.002 1.718 1 0.006
EUR.CD_pwy634_pc4 2 2 0.084 -1.013 0.983 0.12
EUR.CD_pwy64_pc4 3 3 0.781 -0.48 0.048 0.851
EUR.CD_pwy665_pc3 2 1 0.5 -0.57 0.5 0.469
