factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
allergy_pwy115_pc1 2 2 0.037 -0.285 0.997 0.02
allergy_pwy136_pc4 2 2 0.097 -0.234 0.977 0.223
allergy_pwy148_pc5 3 3 0.736 -0.055 0.07 0.763
allergy_pwy177_pc5 2 2 0.751 -0.061 0.145 0.579
allergy_pwy193_pc4 2 0 0.2 0.209 0.904 0.382
allergy_pwy193_pc5 11 0 0.002 -0.081 0.64 0.002
allergy_pwy238_pc1 2 2 0.813 0.043 0.083 0.657
allergy_pwy238_pc3 2 0 0.242 0.232 0.862 0.432
allergy_pwy238_pc5 11 0 0.002 0.076 0.639 0.004
allergy_pwy243_pc4 2 2 0.032 -0.224 0.997 0.088
allergy_pwy251_pc3 2 2 0.219 0.397 0.886 0.379
allergy_pwy26_pc3 2 2 0.727 0.175 0.173 0.549
allergy_pwy263_pc1 2 2 0.755 0.174 0.141 0.557
allergy_pwy277_pc4 2 2 0.278 0.315 0.822 0.456
allergy_pwy289_pc1 2 2 0.765 -0.074 0.131 0.645
allergy_pwy292_pc1 2 2 0.783 -0.063 0.111 0.646
allergy_pwy320_pc3 11 0 0.002 0.075 0.647 0.003
allergy_pwy320_pc4 2 0 0.184 -0.34 0.919 0.364
allergy_pwy321_pc1 2 2 0.755 -0.047 0.141 0.645
allergy_pwy321_pc5 9 0 0.008 0.077 0.602 0.015
allergy_pwy322_pc4 2 0 0.369 0.187 0.7 0.453
allergy_pwy325_pc1 2 2 0.8 -0.041 0.095 0.652
allergy_pwy325_pc3 2 0 0.217 0.219 0.888 0.406
allergy_pwy325_pc4 9 0 0.006 0.076 0.627 0.013
allergy_pwy325_pc5 4 4 0.032 -0.137 0.829 0.06
allergy_pwy326_pc1 3 3 0.592 -0.058 0.166 0.541
allergy_pwy326_pc4 11 0 0.002 -0.074 0.641 0.003
allergy_pwy326_pc5 2 0 0.212 -0.317 0.894 0.395
allergy_pwy331_pc4 2 0 0.247 -0.265 0.857 0.434
allergy_pwy331_pc5 2 0 0.253 0.194 0.85 0.436
allergy_pwy48_pc2 2 2 0.02 0.319 0.999 0.025
allergy_pwy68_pc2 2 0 0.899 0.037 0.025 0.772
allergy_pwy80_pc5 2 2 0.237 -0.464 0.868 0.409
asthma_2_pwy118_pc3 2 0 0.412 -1.384 0.636 0.698
asthma_2_pwy140_pc1 2 0 0.076 3.919 0.986 0.124
asthma_2_pwy140_pc4 3 0 0.581 1.546 0.176 0.15
asthma_2_pwy15_pc3 2 0 0.008 3.742 1 0.03
asthma_2_pwy150_pc5 2 2 0.974 -0.159 0.002 0.895
asthma_2_pwy154_pc1 2 2 0.346 3.167 0.733 0.664
asthma_2_pwy167_pc1 3 0 0.536 1.998 0.215 0.125
asthma_2_pwy174_pc4 2 2 0.043 -3.25 0.995 0.181
asthma_2_pwy178_pc3 2 2 0.997 -0.02 0 0.97
asthma_2_pwy182_pc3 2 2 0.05 4.316 0.994 0.376
asthma_2_pwy185_pc5 2 0 0.02 -2.156 0.999 0.094
asthma_2_pwy186_pc5 2 0 0.009 -2.016 1 0.071
asthma_2_pwy193_pc4 2 0 0.134 -2.349 0.956 0.104
asthma_2_pwy193_pc5 24 0 0.036 0.494 0.178 0.059
asthma_2_pwy206_pc2 2 0 0.184 -5.183 0.918 0.108
asthma_2_pwy213_pc5 2 2 0.969 0.238 0.002 0.672
asthma_2_pwy23_pc4 2 0 0.967 0.245 0.003 0.887
asthma_2_pwy238_pc1 3 0 0.491 -1.73 0.259 0.125
asthma_2_pwy238_pc3 6 0 0.982 0.033 0 0.996
asthma_2_pwy238_pc4 2 0 0.011 3.061 1 0.051
asthma_2_pwy238_pc5 27 0 0.018 -0.502 0.198 0.041
asthma_2_pwy275_pc1 2 0 0.006 4.357 1 0.044
asthma_2_pwy275_pc3 2 0 0.925 -0.354 0.014 0.726
asthma_2_pwy279_pc1 3 0 0.005 4.86 0.99 0.056
asthma_2_pwy279_pc5 2 2 0.029 -3.437 0.998 0.208
asthma_2_pwy281_pc1 2 0 0.058 3.519 0.992 0.177
asthma_2_pwy285_pc3 2 2 0.951 -0.211 0.006 0.845
asthma_2_pwy287_pc1 2 0 0.048 4.987 0.994 0.123
asthma_2_pwy287_pc3 2 2 0.989 0.052 0 0.953
asthma_2_pwy288_pc4 4 0 0.001 3.29 0.985 0.079
asthma_2_pwy319_pc4 2 2 0.929 -0.456 0.012 0.572
asthma_2_pwy320_pc2 2 0 0.978 -0.174 0.001 0.893
asthma_2_pwy320_pc3 28 0 0.035 -0.434 0.154 0.071
asthma_2_pwy321_pc1 3 0 0.004 3.216 0.992 0.082
asthma_2_pwy321_pc3 4 0 0.992 0.025 0 0.998
asthma_2_pwy321_pc5 26 0 0.003 -0.658 0.295 0.02
asthma_2_pwy322_pc2 2 0 0.047 -3.898 0.995 0.18
asthma_2_pwy322_pc4 5 0 0.002 -2.872 0.931 0.047
asthma_2_pwy324_pc3 3 3 0.551 2.521 0.202 0.198
asthma_2_pwy325_pc1 2 0 0.022 3.053 0.999 0.1
asthma_2_pwy325_pc3 8 8 0.336 1.152 0.132 0.31
asthma_2_pwy325_pc4 24 0 0.011 -0.559 0.249 0.032
asthma_2_pwy325_pc5 11 0 0.273 0.815 0.119 0.328
asthma_2_pwy326_pc3 3 0 0.492 -1.244 0.258 0.127
asthma_2_pwy326_pc4 28 0 0.026 0.46 0.17 0.044
asthma_2_pwy326_pc5 5 0 0.966 0.079 0 0.989
asthma_2_pwy327_pc5 2 0 0.862 -0.592 0.046 0.997
asthma_2_pwy330_pc1 2 0 0.781 0.984 0.114 0.519
asthma_2_pwy331_pc1 2 0 0.014 3.514 1 0.078
asthma_2_pwy331_pc4 5 0 0.452 -1.222 0.147 0.301
asthma_2_pwy331_pc5 2 0 0.886 0.537 0.032 0.724
bmi_pwy118_pc2 3 3 0.502 -0.026 0.248 0.413
bmi_pwy119_pc2 3 3 0.487 -0.035 0.263 0.406
bmi_pwy121_pc3 3 3 0.011 -0.119 0.977 0.045
bmi_pwy13_pc3 2 2 0.95 -0.008 0.006 0.873
