factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
allergy_bcell_lv14 3 3 0.739 0.194 0.068 0.751
allergy_bcell_lv9 2 2 0.662 -0.445 0.256 0.512
baso_bcell_lv22 3 3 0.243 -0.29 0.572 0.242
eo_bcell_lv22 2 2 0.534 -0.287 0.447 0.48
eo_bcell_lv92 2 2 0.898 0.059 0.025 0.758
eo_bcell_lv98 2 2 0.874 0.059 0.038 0.746
EUR.CD_bcell_lv128 2 2 0.955 0.059 0.005 0.872
EUR.CD_bcell_lv49 3 3 0.004 -0.767 0.991 0.009
EUR.CD_bcell_lv50 2 2 0.153 -1.682 0.943 0.196
EUR.CD_bcell_lv94 2 2 0.951 -0.177 0.006 0.835
EUR.CD_bcell_lv96 2 2 0.01 2.096 1 0
EUR.IBD_bcell_lv59 3 3 0.521 0.714 0.229 0.468
EUR.IBD_bcell_lv96 2 2 0.044 1.693 0.995 0.009
EUR.UC_bcell_lv127 2 2 0.412 -1.231 0.637 0.495
EUR.UC_bcell_lv40 2 2 0.957 0.132 0.005 0.869
EUR.UC_bcell_lv80 2 2 0 1.459 1 0.007
gran_bcell_lv128 2 2 0.985 -0.003 0.001 0.965
gran_bcell_lv72 2 2 0.316 0.707 0.773 0.495
gran_bcell_lv83 2 2 0.943 0.038 0.008 0.831
hct_bcell_lv51 2 2 0.523 0.232 0.465 0.486
hct_bcell_lv52 2 2 0.891 -0.062 0.029 0.699
hct_bcell_lv86 2 2 0.033 -0.266 0.997 0.047
hct_bcell_lv92 2 2 0.035 0.357 0.997 0.092
hgb_bcell_lv13 2 2 0.162 0.186 0.937 0.369
hgb_bcell_lv50 2 2 0.034 -0.277 0.997 0.02
hgb_bcell_lv94 2 2 0.99 0.005 0 0.966
lymph_bcell_lv127 2 2 0.926 -0.014 0.013 0.804
lymph_bcell_lv67 2 2 0.258 0.544 0.844 0.462
mch_bcell_lv2 2 2 0.602 0.09 0.343 0.581
mchc_bcell_lv116 3 3 0.487 -0.164 0.263 0.408
mchc_bcell_lv12 2 2 0.857 0.076 0.049 0.685
mchc_bcell_lv127 3 3 0.51 -0.059 0.24 0.401
mchc_bcell_lv81 2 2 0.053 0.381 0.993 0.066
mcv_bcell_lv133 2 2 0.119 0.333 0.965 0.26
mcv_bcell_lv56 2 2 0.087 -0.137 0.981 0.069
mono_bcell_lv127 2 2 0.927 -0.026 0.013 0.84
mono_bcell_lv129 2 2 0.593 0.271 0.356 0.566
mpv_bcell_lv113 2 2 0.932 0.034 0.011 0.868
mpv_bcell_lv30 2 2 0.138 -0.304 0.954 0.183
mpv_bcell_lv45 2 2 0.603 -0.817 0.341 0.623
myeloid_wbc_bcell_lv128 2 2 0.998 0 0 0.99
myeloid_wbc_bcell_lv42 2 2 0.243 -0.38 0.862 0.444
myeloid_wbc_bcell_lv83 2 2 0.937 0.042 0.01 0.824
neut_bcell_lv128 2 2 0.947 -0.011 0.007 0.817
neut_bcell_lv72 2 2 0.324 0.704 0.763 0.469
neut_bcell_lv83 2 2 0.923 0.049 0.014 0.82
pct_bcell_lv83 2 2 0.24 -0.488 0.864 0.396
pct_bcell_lv84 3 3 0.231 0.302 0.591 0.265
pct_bcell_lv89 2 2 0.569 0.196 0.392 0.547
pdw_bcell_lv51 2 2 0.929 0.026 0.012 0.852
pdw_bcell_lv7 2 2 0.464 -0.168 0.557 0.469
plt_bcell_lv22 2 2 0.03 0.155 0.998 0.071
plt_bcell_lv38 2 2 0.385 0.298 0.677 0.365
plt_bcell_lv84 3 3 0.217 0.519 0.614 0.204
rbc_bcell_lv15 3 3 0.008 0.668 0.985 0.031
rbc_bcell_lv25 2 2 0.099 -0.221 0.976 0.251
rbc_bcell_lv45 2 2 0.451 -0.262 0.577 0.468
rbc_bcell_lv51 2 2 0.891 -0.056 0.029 0.725
rdw_bcell_lv132 2 2 0.59 0.065 0.36 0.552
rdw_bcell_lv2 2 2 0.327 0.309 0.758 0.474
rdw_bcell_lv96 2 2 0.725 0.229 0.175 0.558
ret_bcell_lv20 2 2 0.081 -0.154 0.984 0.124
ret_bcell_lv42 2 2 0.615 -0.51 0.323 0.557
T1D_bcell_lv26 2 2 0.985 0.043 0.001 0.961
T1D_bcell_lv9 2 2 0.974 0.101 0.002 0.923
ukb.allasthma_bcell_lv131 2 2 0.581 0.273 0.374 0.526
ukb.allasthma_bcell_lv14 2 2 0.934 0.086 0.011 0.835
ukb.allasthma_bcell_lv9 2 2 0.61 -0.614 0.331 0.512
wbc_bcell_lv72 2 2 0.345 0.619 0.733 0.445
