factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
allergy_bcell_lv102 2 2 0.934 -0.056 0.011 0.792
allergy_bcell_lv14 2 2 0.973 -0.032 0.002 0.92
allergy_bcell_lv26 2 2 0.921 -0.062 0.015 0.793
allergy_bcell_lv9 3 3 0.391 -0.534 0.371 0.294
baso_bcell_lv13 2 1 0.403 -0.427 0.65 0.448
baso_bcell_lv22 3 3 0.235 -0.288 0.586 0.238
baso_bcell_lv6 2 2 0.051 0.117 0.994 0.113
eo_bcell_lv84 2 2 0.869 0.046 0.042 0.793
eo_bcell_lv92 2 2 0.891 0.06 0.029 0.727
eo_bcell_lv98 2 2 0.889 0.053 0.03 0.74
EUR.CD_bcell_lv104 2 1 0.472 -1.674 0.544 0.466
EUR.CD_bcell_lv49 3 3 0.002 -0.781 0.996 0.008
EUR.CD_bcell_lv50 2 2 0.119 -1.935 0.966 0.16
EUR.CD_bcell_lv55 2 2 0.151 -3.755 0.945 0.312
EUR.CD_bcell_lv94 2 2 0.969 -0.116 0.002 0.899
EUR.CD_bcell_lv96 2 2 0.008 2.107 1 0
EUR.CD_bcell_lv98 2 2 0.159 -6.901 0.939 0.172
EUR.IBD_bcell_lv59 2 2 0.612 0.823 0.327 0.455
EUR.IBD_bcell_lv60 2 2 0.358 -1.233 0.716 0.399
EUR.IBD_bcell_lv96 2 2 0.046 1.701 0.995 0.009
EUR.UC_bcell_lv40 2 2 0.915 0.256 0.018 0.727
gran_bcell_lv115 2 2 0.787 0.101 0.107 0.555
hct_bcell_lv51 2 2 0.525 0.226 0.461 0.503
hgb_bcell_lv94 2 2 0.995 0.003 0 0.99
lymph_bcell_lv111 2 2 0.111 0.139 0.97 0.251
mch_bcell_lv2 2 2 0.586 0.089 0.366 0.605
mchc_bcell_lv116 2 2 0.007 -0.296 1 0.012
mchc_bcell_lv12 3 3 0.999 0 0 1
mchc_bcell_lv127 3 3 0.522 -0.058 0.229 0.428
mchc_bcell_lv81 2 2 0.05 0.364 0.994 0.064
mcv_bcell_lv133 2 2 0.122 0.317 0.963 0.265
mono_bcell_lv115 2 2 0.812 0.094 0.085 0.656
mono_bcell_lv12 2 2 0.906 0.039 0.022 0.876
mono_bcell_lv127 2 2 0.216 -0.191 0.889 0.324
mono_bcell_lv129 2 2 0.595 0.263 0.352 0.557
mpv_bcell_lv3 2 2 0.824 -0.037 0.074 0.72
mpv_bcell_lv30 2 2 0.129 -0.281 0.959 0.181
mpv_bcell_lv45 2 2 0.622 -0.74 0.312 0.648
neut_bcell_lv115 2 2 0.782 0.103 0.112 0.574
pct_bcell_lv113 2 2 0.977 0.016 0.001 0.975
pct_bcell_lv29 2 2 0.965 -0.019 0.003 0.898
pct_bcell_lv83 2 2 0.229 -0.482 0.876 0.395
pct_bcell_lv84 3 3 0.243 0.307 0.573 0.254
pct_bcell_lv89 2 2 0.554 0.194 0.416 0.531
pdw_bcell_lv51 2 2 0.927 0.026 0.013 0.873
plt_bcell_lv29 2 2 0.733 -0.229 0.166 0.58
plt_bcell_lv84 3 3 0.23 0.536 0.593 0.222
rbc_bcell_lv25 2 2 0.114 -0.23 0.968 0.269
rbc_bcell_lv45 3 3 0.44 -0.19 0.313 0.432
rbc_bcell_lv51 2 2 0.877 -0.061 0.037 0.728
rbc_bcell_lv74 2 2 0.994 -0.003 0 0.986
rdw_bcell_lv2 2 2 0.356 0.287 0.719 0.489
ret_bcell_lv20 2 2 0.09 -0.154 0.98 0.148
ret_bcell_lv34 2 2 0.618 0.243 0.319 0.579
ret_bcell_lv66 2 2 0.046 -0.313 0.995 0.102
T1D_bcell_lv14 2 2 0.87 0.597 0.041 0.766
T1D_bcell_lv26 2 2 1 0 0 0.998
T1D_bcell_lv9 2 2 0.993 0.026 0 0.983
ukb.allasthma_bcell_lv102 2 2 0.929 -0.07 0.012 0.825
ukb.allasthma_bcell_lv131 2 2 0.627 0.229 0.306 0.501
ukb.allasthma_bcell_lv14 2 2 0.968 0.043 0.003 0.914
