factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
EUR.CD_pwy106_pc3 2 2 0.087 -0.633 0.982 0.015
EUR.CD_pwy129_pc1 2 2 0.967 -0.031 0.003 0.896
EUR.CD_pwy139_pc5 2 2 0.065 -0.261 0.99 0.21
EUR.CD_pwy147_pc1 2 2 0.09 0.793 0.98 0.302
EUR.CD_pwy152_pc5 2 0 0.033 0.536 0.997 0.039
EUR.CD_pwy156_pc5 3 3 0.187 -0.386 0.661 0.224
EUR.CD_pwy162_pc4 2 2 0.118 0.607 0.966 0.292
EUR.CD_pwy180_pc1 2 2 0.005 -0.493 1 0.002
EUR.CD_pwy190_pc3 2 2 0.971 0.02 0.002 0.901
EUR.CD_pwy201_pc1 2 2 0.082 -0.532 0.983 0.085
EUR.CD_pwy218_pc1 2 2 0.173 2.571 0.928 0.179
EUR.CD_pwy240_pc3 2 2 0.068 0.46 0.989 0.07
EUR.CD_pwy257_pc1 2 1 0.085 0.865 0.982 0.209
EUR.CD_pwy298_pc5 2 2 0.033 0.328 0.997 0.032
EUR.CD_pwy321_pc5 2 1 0.059 0.711 0.991 0.022
EUR.CD_pwy323_pc3 2 2 0.861 0.284 0.047 0.691
EUR.CD_pwy42_pc2 3 3 0.002 -0.768 0.996 0.001
EUR.CD_pwy55_pc1 2 2 0.965 -0.046 0.003 0.867
EUR.CD_pwy85_pc3 2 2 0.281 -0.874 0.818 0.477
EUR.IBD_pwy122_pc2 2 2 0.652 -0.312 0.27 0.478
EUR.IBD_pwy156_pc5 3 3 0.012 -0.392 0.977 0.016
EUR.IBD_pwy167_pc4 2 1 0.96 0.048 0.004 0.872
EUR.IBD_pwy174_pc4 2 1 0.17 0.455 0.93 0.249
EUR.IBD_pwy174_pc5 2 1 0.201 -0.168 0.904 0.312
EUR.IBD_pwy193_pc4 2 1 0.211 0.167 0.894 0.312
EUR.IBD_pwy238_pc3 2 1 0.021 0.24 0.999 0.091
EUR.IBD_pwy238_pc5 2 1 0.056 0.487 0.992 0.119
EUR.IBD_pwy281_pc5 2 1 0.187 -0.196 0.916 0.311
EUR.IBD_pwy315_pc2 2 2 0.12 0.668 0.965 0.297
EUR.IBD_pwy320_pc2 2 1 0.212 0.156 0.893 0.312
EUR.IBD_pwy321_pc2 2 1 0.04 -0.29 0.996 0.129
