factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
EUR.CD_pwy121_pc3 2 2 0.032 -0.487 0.998 0.089
EUR.CD_pwy139_pc5 2 2 0.162 -0.247 0.937 0.243
EUR.CD_pwy151_pc3 2 2 0.011 0.575 1 0.03
EUR.CD_pwy152_pc5 2 0 0.032 0.508 0.998 0.028
EUR.CD_pwy154_pc4 2 2 0.073 0.278 0.987 0.094
EUR.CD_pwy156_pc5 2 2 0.408 -0.374 0.643 0.415
EUR.CD_pwy180_pc1 2 2 0.008 -0.478 1 0.011
EUR.CD_pwy185_pc4 2 1 0.018 -0.339 0.999 0.041
EUR.CD_pwy190_pc3 2 2 0.946 0.038 0.007 0.837
EUR.CD_pwy201_pc1 2 2 0.089 -0.51 0.98 0.102
EUR.CD_pwy208_pc3 2 2 0.249 1.186 0.854 0.489
EUR.CD_pwy210_pc4 2 2 0.063 0.415 0.99 0.084
EUR.CD_pwy214_pc1 2 2 0.994 0.008 0 0.986
EUR.CD_pwy240_pc3 2 2 0.048 0.466 0.994 0.056
EUR.CD_pwy257_pc1 2 1 0.066 0.87 0.989 0.171
EUR.CD_pwy259_pc5 2 2 0.106 0.358 0.973 0.114
EUR.CD_pwy267_pc2 2 2 0.026 -0.568 0.998 0.071
EUR.CD_pwy275_pc4 2 0 0.083 0.713 0.983 0.098
EUR.CD_pwy298_pc5 2 2 0.064 0.286 0.99 0.091
EUR.CD_pwy321_pc2 2 1 0.069 0.325 0.988 0.18
EUR.CD_pwy321_pc5 3 1 0.02 0.664 0.959 0.028
EUR.CD_pwy323_pc3 2 1 0.129 0.995 0.96 0.093
EUR.CD_pwy324_pc2 2 1 0.43 1.39 0.609 0.537
EUR.CD_pwy325_pc2 2 1 0.055 0.378 0.993 0.139
EUR.CD_pwy328_pc5 2 2 0.217 -1.363 0.889 0.294
EUR.CD_pwy42_pc2 3 3 0.002 -0.746 0.996 0.004
EUR.CD_pwy69_pc4 2 2 0.995 -0.005 0 0.989
EUR.IBD_pwy104_pc3 2 2 0.566 0.343 0.397 0.509
EUR.IBD_pwy122_pc2 2 2 0.643 -0.315 0.283 0.526
EUR.IBD_pwy127_pc3 2 2 0.25 -0.544 0.853 0.422
EUR.IBD_pwy156_pc5 2 2 0.014 -0.374 1 0.008
EUR.IBD_pwy162_pc4 2 2 0.11 0.4 0.971 0.29
EUR.IBD_pwy174_pc4 2 1 0.122 0.471 0.964 0.214
EUR.IBD_pwy174_pc5 2 1 0.21 -0.162 0.895 0.284
EUR.IBD_pwy185_pc4 2 1 0.173 0.353 0.928 0.241
EUR.IBD_pwy193_pc4 2 1 0.219 0.164 0.887 0.284
EUR.IBD_pwy208_pc3 3 3 0.038 0.587 0.926 0.16
EUR.IBD_pwy238_pc3 2 1 0.042 0.249 0.996 0.167
EUR.IBD_pwy238_pc5 2 1 0.032 0.52 0.998 0.054
EUR.IBD_pwy261_pc5 2 2 0.879 0.117 0.036 0.674
EUR.IBD_pwy281_pc5 2 1 0.185 -0.188 0.918 0.281
EUR.IBD_pwy320_pc2 2 1 0.229 0.15 0.877 0.284
EUR.IBD_pwy321_pc5 2 1 0.169 0.664 0.931 0.42
