factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
allergy_cd14_lv20 2 2 0.987 -0.007 0 0.958
baso_cd14_lv12 2 2 0.656 -0.258 0.264 0.575
baso_cd14_lv37 2 2 0.787 0.076 0.108 0.626
eo_cd14_lv69 2 2 0.16 -0.611 0.938 0.377
eo_cd14_lv78 2 2 0.881 0.064 0.035 0.723
EUR.CD_cd14_lv78 2 2 0.993 -0.026 0 0.967
EUR.IBD_cd14_lv78 2 2 0.942 0.195 0.008 0.822
EUR.UC_cd14_lv78 2 2 0.868 0.432 0.042 0.68
gran_cd14_lv15 2 2 0.239 0.772 0.866 0.323
gran_cd14_lv18 2 2 0.226 3.996 0.879 0.323
gran_cd14_lv29 2 2 0.134 -0.197 0.956 0.255
gran_cd14_lv34 2 2 0.119 -0.203 0.965 0.335
gran_cd14_lv5 2 2 0.228 3.023 0.877 0.323
gran_cd14_lv51 2 2 0.685 -0.097 0.226 0.536
gran_cd14_lv61 2 2 0.906 0.03 0.022 0.711
gran_cd14_lv81 2 2 0.153 0.213 0.943 0.332
mch_cd14_lv59 2 2 0.649 -0.169 0.274 0.595
mcv_cd14_lv59 2 2 0.61 -0.212 0.331 0.531
myeloid_wbc_cd14_lv15 2 2 0.262 0.731 0.84 0.357
myeloid_wbc_cd14_lv18 2 2 0.249 3.788 0.854 0.357
myeloid_wbc_cd14_lv29 2 2 0.192 -0.197 0.912 0.364
myeloid_wbc_cd14_lv47 2 2 0.648 -0.194 0.276 0.536
myeloid_wbc_cd14_lv5 2 2 0.251 2.866 0.852 0.357
myeloid_wbc_cd14_lv51 2 2 0.683 -0.09 0.228 0.52
myeloid_wbc_cd14_lv71 2 2 0.307 0.348 0.785 0.357
neut_cd14_lv15 2 2 0.234 0.806 0.87 0.364
neut_cd14_lv18 2 2 0.222 4.167 0.883 0.363
neut_cd14_lv29 2 2 0.108 -0.2 0.971 0.241
neut_cd14_lv5 2 2 0.223 3.153 0.882 0.364
neut_cd14_lv51 2 2 0.69 -0.099 0.22 0.557
neut_cd14_lv61 2 2 0.913 0.027 0.018 0.767
plt_cd14_lv18 2 2 0.887 -1.174 0.031 0.805
plt_cd14_lv5 3 3 0.927 0.332 0.005 0.944
plt_cd14_lv71 3 3 0.967 0.021 0.001 0.969
plt_cd14_lv79 2 2 0.126 -0.123 0.961 0.236
T1D_cd14_lv69 2 2 0.641 -1.475 0.285 0.6
