factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
EUR.CD_pwy101_pc5 2 2 0.124 0.39 0.963 0.307
EUR.CD_pwy111_pc2 3 2 0.778 0.102 0.049 0.84
EUR.CD_pwy112_pc2 2 1 0.01 -0.519 1 0.016
EUR.CD_pwy12_pc1 2 2 0.378 -0.592 0.688 0.398
EUR.CD_pwy133_pc2 2 2 0.933 -0.061 0.011 0.789
EUR.CD_pwy135_pc3 2 2 0.926 0.07 0.013 0.779
EUR.CD_pwy13_pc3 3 3 0.543 0.4 0.209 0.43
EUR.CD_pwy149_pc1 3 3 0.426 -0.6 0.329 0.341
EUR.CD_pwy172_pc4 2 2 0.872 0.112 0.04 0.675
EUR.CD_pwy177_pc5 2 2 0.04 -0.258 0.996 0.124
EUR.CD_pwy234_pc4 2 2 0.019 -0.309 0.999 0.052
EUR.CD_pwy236_pc5 2 2 0.063 -0.304 0.99 0.181
EUR.CD_pwy238_pc3 2 0 0.146 0.371 0.949 0.275
EUR.CD_pwy241_pc3 2 2 0.983 0.018 0.001 0.962
EUR.CD_pwy260_pc4 2 2 0.188 0.576 0.916 0.358
EUR.CD_pwy265_pc2 2 2 0.926 0.081 0.013 0.782
EUR.CD_pwy269_pc5 2 2 0.187 0.317 0.916 0.361
EUR.CD_pwy278_pc3 4 4 0.334 0.272 0.305 0.381
EUR.CD_pwy281_pc5 2 0 0.034 0.473 0.997 0.04
EUR.CD_pwy305_pc5 2 2 0.085 0.563 0.982 0.152
EUR.CD_pwy310_pc2 2 1 0.035 -0.515 0.997 0.084
EUR.CD_pwy317_pc2 3 2 0.796 -0.141 0.042 0.868
EUR.CD_pwy320_pc5 2 2 0.052 -0.395 0.993 0.047
EUR.CD_pwy322_pc5 2 0 0.039 -0.368 0.996 0.046
EUR.CD_pwy323_pc4 2 0 0.127 0.362 0.961 0.206
EUR.CD_pwy326_pc2 2 0 0.954 0.029 0.005 0.865
EUR.CD_pwy330_pc4 2 2 0.069 -0.406 0.988 0.21
EUR.CD_pwy63_pc1 2 2 0.046 0.629 0.995 0.106
EUR.CD_pwy63_pc3 3 2 0.701 -0.206 0.09 0.744
EUR.CD_pwy64_pc4 2 2 0.085 0.592 0.982 0.161
EUR.CD_pwy91_pc5 2 2 0.045 -0.537 0.995 0.059
EUR.IBD_pwy121_pc1 2 2 0.047 -0.556 0.995 0.042
EUR.IBD_pwy149_pc1 2 2 0.789 -0.211 0.106 0.629
EUR.IBD_pwy157_pc5 3 2 0.557 -0.226 0.196 0.561
EUR.IBD_pwy210_pc4 2 2 0.143 0.425 0.951 0.391
EUR.IBD_pwy238_pc3 2 1 0.549 -0.105 0.424 0.47
EUR.IBD_pwy255_pc4 2 2 0.122 -0.305 0.964 0.321
EUR.IBD_pwy265_pc1 2 2 0.103 -0.793 0.974 0.283
EUR.IBD_pwy281_pc4 2 1 0.506 -0.131 0.49 0.443
EUR.IBD_pwy297_pc3 2 2 0.588 -0.255 0.363 0.501
EUR.IBD_pwy299_pc1 2 2 0.048 -0.424 0.994 0.05
EUR.IBD_pwy311_pc5 2 2 0.067 -0.353 0.989 0.147
EUR.IBD_pwy323_pc2 2 1 0.706 0.233 0.199 0.491
EUR.IBD_pwy324_pc1 2 1 0.242 -0.46 0.862 0.486
EUR.IBD_pwy325_pc2 2 1 0.584 0.114 0.369 0.478
EUR.IBD_pwy331_pc2 2 1 0.19 -0.579 0.914 0.442
EUR.IBD_pwy42_pc1 4 4 0.243 0.432 0.412 0.277
EUR.IBD_pwy89_pc2 2 2 0.008 0.429 1 0.017
EUR.IBD_pwy98_pc2 2 2 0.093 0.634 0.979 0.257
EUR.UC_pwy115_pc5 2 2 0.019 -0.301 0.999 0.01
EUR.UC_pwy116_pc5 2 2 0.003 -0.349 1 0.013
EUR.UC_pwy132_pc2 2 2 0.098 0.706 0.976 0.235
EUR.UC_pwy137_pc4 2 2 0.111 -0.249 0.97 0.341
EUR.UC_pwy138_pc5 3 3 0.008 -0.263 0.985 0.006
EUR.UC_pwy140_pc5 2 1 0.241 0.848 0.863 0.44
EUR.UC_pwy142_pc4 2 2 0.05 -0.269 0.994 0.059
EUR.UC_pwy145_pc1 2 2 0.03 -0.69 0.998 0.133
EUR.UC_pwy153_pc3 2 2 0.002 -0.297 1 0
EUR.UC_pwy154_pc3 2 2 0.004 -0.276 1 0.007
EUR.UC_pwy156_pc1 2 2 0.872 0.158 0.04 0.726
EUR.UC_pwy157_pc4 2 2 0.1 -0.313 0.976 0.017
EUR.UC_pwy162_pc1 2 2 0.99 0.007 0 0.965
EUR.UC_pwy163_pc5 2 2 0.697 0.069 0.209 0.835
EUR.UC_pwy167_pc3 2 1 0.221 -0.606 0.884 0.417
EUR.UC_pwy168_pc3 2 2 0.049 -0.389 0.994 0.055
EUR.UC_pwy176_pc4 2 2 0.019 0.26 0.999 0.047
EUR.UC_pwy177_pc3 2 2 0.102 -0.287 0.974 0.237
EUR.UC_pwy179_pc1 3 3 0.207 -0.289 0.63 0.247
EUR.UC_pwy180_pc1 2 2 0.089 -0.753 0.981 0.234
EUR.UC_pwy182_pc1 2 1 0.185 1.113 0.918 0.378
EUR.UC_pwy184_pc1 2 2 0.034 0.68 0.997 0.113
EUR.UC_pwy185_pc1 2 2 0.934 -0.047 0.011 0.792
EUR.UC_pwy186_pc1 2 1 0.71 0.502 0.194 0.529
EUR.UC_pwy195_pc4 2 2 0.02 -0.392 0.999 0.018
EUR.UC_pwy200_pc4 2 2 0.027 0.331 0.998 0.027
EUR.UC_pwy201_pc3 2 2 0.024 -0.324 0.999 0.022
EUR.UC_pwy201_pc4 2 2 0.021 0.508 0.999 0.022
EUR.UC_pwy203_pc4 2 2 0.009 -0.365 1 0.015
EUR.UC_pwy205_pc4 2 2 0.01 0.346 1 0.04
EUR.UC_pwy214_pc1 2 2 0.988 -0.012 0 0.971
EUR.UC_pwy23_pc4 2 2 0.833 -0.134 0.067 0.745
EUR.UC_pwy23_pc5 2 2 0.012 -0.333 1 0.002
EUR.UC_pwy242_pc3 2 2 0.409 0.298 0.64 0.466
EUR.UC_pwy253_pc4 2 2 0.947 -0.047 0.007 0.903
EUR.UC_pwy256_pc4 2 2 0.911 -0.072 0.019 0.755
EUR.UC_pwy261_pc3 2 2 0.92 -0.056 0.016 0.743
EUR.UC_pwy265_pc1 2 2 0.118 -0.996 0.966 0.328
EUR.UC_pwy274_pc3 2 2 0.022 0.271 0.999 0.055
EUR.UC_pwy275_pc1 2 1 0.183 -0.941 0.919 0.373
EUR.UC_pwy282_pc1 2 2 0.078 -0.555 0.985 0.279
EUR.UC_pwy293_pc1 2 2 0.994 0.004 0 0.975
EUR.UC_pwy294_pc1 2 2 0.009 0.504 1 0.034
EUR.UC_pwy29_pc2 2 2 0.119 -0.414 0.965 0.066
EUR.UC_pwy311_pc5 2 2 0.056 -0.35 0.992 0.057
EUR.UC_pwy319_pc1 4 3 0.751 -0.129 0.039 0.73
EUR.UC_pwy320_pc5 2 1 0.498 0.39 0.503 0.462
EUR.UC_pwy321_pc3 2 0 0.126 -0.657 0.961 0.076
EUR.UC_pwy324_pc5 2 1 0.2 0.628 0.905 0.39
EUR.UC_pwy325_pc3 2 0 0.108 0.653 0.972 0.071
EUR.UC_pwy330_pc1 2 2 0.105 0.564 0.973 0.237
EUR.UC_pwy331_pc2 2 2 0.9 0.077 0.024 0.718
EUR.UC_pwy331_pc4 2 1 0.244 -0.603 0.86 0.437
EUR.UC_pwy331_pc5 2 1 0.84 -0.126 0.062 0.608
EUR.UC_pwy39_pc4 2 2 0.093 -0.358 0.979 0.323
EUR.UC_pwy49_pc2 4 4 0.003 0.525 0.965 0.023
EUR.UC_pwy56_pc2 2 2 0.087 0.527 0.981 0.066
EUR.UC_pwy58_pc4 2 2 0.009 -0.412 1 0.018
EUR.UC_pwy62_pc1 2 2 0.08 0.711 0.984 0.165
EUR.UC_pwy63_pc1 2 2 0.011 0.553 1 0.05
EUR.UC_pwy64_pc4 3 2 0.12 0.8 0.774 0.218
EUR.UC_pwy71_pc2 2 2 0.939 -0.085 0.009 0.864
EUR.UC_pwy74_pc3 2 2 0.001 -0.58 1 0.003
EUR.UC_pwy91_pc4 2 2 0.002 0.704 1 0.002
EUR.UC_pwy91_pc5 2 2 0.028 -0.343 0.998 0.018
T1D_pwy17_pc5 2 2 0.078 0.531 0.985 0.123
T1D_pwy249_pc1 3 3 0.25 -0.717 0.562 0.22
T1D_pwy260_pc4 2 2 0.103 -0.505 0.974 0.098
T1D_pwy27_pc3 2 2 0.069 -0.396 0.988 0.201
T1D_pwy297_pc3 2 2 0.942 -0.036 0.008 0.829
T1D_pwy34_pc3 2 2 0.381 -1.288 0.683 0.463
T1D_pwy39_pc2 3 3 0.955 -0.024 0.002 0.975
T1D_pwy39_pc5 3 3 0.282 -0.64 0.515 0.219
T1D_pwy58_pc4 2 2 0.67 0.249 0.246 0.579
T1D_pwy79_pc1 2 2 0.783 0.177 0.112 0.629
T1D_pwy87_pc2 2 2 0.522 0.622 0.465 0.494
allergy_pwy130_pc5 2 2 0.878 0.021 0.036 0.734
allergy_pwy13_pc4 2 1 0.067 0.138 0.989 0.131
allergy_pwy148_pc2 3 2 0.003 -0.158 0.994 0.011
allergy_pwy167_pc3 2 2 0.023 0.095 0.999 0.041
allergy_pwy177_pc3 2 2 0.051 0.132 0.994 0.092
allergy_pwy181_pc4 2 2 0.258 0.163 0.845 0.455
allergy_pwy183_pc3 2 2 0.017 0.211 0.999 0.038
allergy_pwy186_pc3 2 2 0.198 -0.133 0.906 0.396
allergy_pwy192_pc1 2 2 0.91 0.032 0.02 0.774
allergy_pwy206_pc2 2 2 0.002 0.317 1 0.003
allergy_pwy219_pc2 2 2 0.895 0.049 0.027 0.73
allergy_pwy220_pc1 2 2 0.878 -0.051 0.036 0.704
allergy_pwy244_pc3 2 2 0.902 -0.038 0.023 0.744
allergy_pwy250_pc1 2 2 0.081 -0.333 0.984 0.176
allergy_pwy268_pc2 2 2 0.022 0.13 0.999 0.075
allergy_pwy275_pc1 2 2 0.152 0.165 0.944 0.329
allergy_pwy275_pc2 3 3 0.457 -0.104 0.295 0.372
