factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
EUR.CD_cd14_lv11 2 2 0.813 -0.358 0.084 0.626
EUR.CD_cd14_lv75 2 2 0.006 1.706 1 0.004
EUR.IBD_cd14_lv36 2 1 0.473 -1.665 0.543 0.484
T1D_cd14_lv69 2 2 0.701 -1.385 0.204 0.599
allergy_cd14_lv20 2 2 0.985 -0.008 0.001 0.942
allergy_cd14_lv34 2 2 0.207 0.665 0.898 0.414
baso_cd14_lv39 2 2 0.024 0.223 0.999 0.062
eo_cd14_lv31 2 2 0.907 -0.047 0.021 0.764
eo_cd14_lv67 2 2 0.905 -0.014 0.022 0.756
eo_cd14_lv78 2 2 0.918 0.041 0.017 0.811
eo_cd14_lv84 2 2 0.99 -0.003 0 0.976
gran_cd14_lv15 2 2 0.251 0.798 0.853 0.337
gran_cd14_lv18 2 2 0.243 4.168 0.862 0.337
gran_cd14_lv34 3 3 0.009 -0.21 0.982 0.085
gran_cd14_lv51 2 2 0.7 -0.098 0.206 0.541
gran_cd14_lv81 3 3 0.509 0.088 0.241 0.364
gran_cd14_lv9 2 2 0.394 0.131 0.663 0.394
mch_cd14_lv59 2 2 0.984 -0.013 0.001 0.975
mch_cd14_lv73 2 2 0.868 0.035 0.042 0.725
mchc_cd14_lv11 2 2 0.104 0.178 0.974 0.243
mcv_cd14_lv7 2 2 0.012 -0.089 1 0.01
myeloid_wbc_cd14_lv15 2 2 0.274 0.755 0.826 0.386
myeloid_wbc_cd14_lv18 2 2 0.266 3.946 0.835 0.386
myeloid_wbc_cd14_lv51 2 2 0.698 -0.091 0.209 0.555
myeloid_wbc_cd14_lv6 2 2 0.91 -0.064 0.02 0.767
neut_cd14_lv15 2 2 0.246 0.832 0.858 0.346
neut_cd14_lv18 2 2 0.238 4.347 0.866 0.346
neut_cd14_lv34 2 2 0.049 -0.203 0.994 0.164
neut_cd14_lv51 3 3 0.894 -0.027 0.011 0.899
neut_cd14_lv79 2 2 0.02 -0.095 0.999 0.058
neut_cd14_lv81 2 2 0.181 0.196 0.921 0.392
pdw_cd14_lv78 2 2 0.883 -0.051 0.033 0.755
pdw_cd14_lv9 2 2 0.563 -0.559 0.402 0.497
plt_cd14_lv15 2 2 0.871 -0.279 0.04 0.783
plt_cd14_lv18 2 2 0.852 -1.556 0.053 0.769
plt_cd14_lv5 2 2 0.809 -1.224 0.087 0.685
plt_cd14_lv77 2 2 0.049 0.384 0.994 0.11
plt_cd14_lv79 2 2 0.139 -0.128 0.953 0.25
rdw_cd14_lv16 2 2 0.963 0.021 0.003 0.903
rdw_cd14_lv37 2 2 0.557 0.08 0.412 0.512
rdw_cd14_lv8 2 2 0.037 0.067 0.997 0.08
ukb.allasthma_cd14_lv18 2 2 0.005 12.074 1 0.015
wbc_cd14_lv39 2 2 0.111 0.242 0.97 0.324
wbc_cd14_lv67 2 2 0.096 -0.092 0.978 0.299
wbc_cd14_lv84 2 2 0.107 0.15 0.972 0.313
