factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
baso_cd15_lv18 2 2 0.273 -0.585 0.827 0.399
eo_cd15_lv109 2 2 0.929 0.039 0.012 0.838
eo_cd15_lv121 3 3 0.793 0.072 0.043 0.797
eo_cd15_lv53 2 2 0.49 -0.314 0.516 0.491
EUR.CD_cd15_lv20 2 2 0.753 0.816 0.143 0.543
EUR.IBD_cd15_lv132 2 2 0.96 0.108 0.004 0.849
EUR.UC_cd15_lv120 2 1 0.695 -1.213 0.213 0.549
gran_cd15_lv63 2 2 0.958 -0.014 0.004 0.893
hct_cd15_lv139 2 2 0.882 0.068 0.034 0.682
hct_cd15_lv84 2 2 0.009 -0.481 1 0.027
hgb_cd15_lv50 3 3 0.749 -0.077 0.063 0.785
hgb_cd15_lv84 2 2 0.016 -0.445 0.999 0.049
lymph_cd15_lv27 2 2 0.517 -0.191 0.473 0.502
mch_cd15_lv126 2 2 0.054 -0.313 0.993 0.099
mch_cd15_lv128 2 2 0.009 -0.227 1 0.011
mch_cd15_lv132 2 2 0.685 0.434 0.226 0.561
mch_cd15_lv14 3 3 0.002 -0.187 0.997 0.002
mch_cd15_lv146 2 2 0.076 -0.292 0.986 0.08
mch_cd15_lv75 2 2 0.888 0.095 0.03 0.817
mchc_cd15_lv21 2 2 0.928 -0.063 0.013 0.848
mchc_cd15_lv38 2 2 0.055 0.661 0.992 0.14
mcv_cd15_lv116 4 4 0.809 0.048 0.023 0.806
mcv_cd15_lv120 2 2 0.016 0.19 0.999 0.036
mcv_cd15_lv128 2 2 0.083 -0.262 0.983 0.146
mcv_cd15_lv131 2 2 0.04 -0.146 0.996 0.058
mcv_cd15_lv132 4 4 0.887 -0.053 0.008 0.888
mcv_cd15_lv137 2 2 0.28 -0.101 0.819 0.289
mcv_cd15_lv146 4 4 0.473 -0.123 0.183 0.538
mono_cd15_lv27 2 2 0.117 -0.219 0.967 0.23
mono_cd15_lv59 2 2 0.56 -0.098 0.407 0.563
mono_cd15_lv69 4 4 0.317 0.233 0.324 0.304
mono_cd15_lv78 2 2 0.997 0.001 0 0.996
mpv_cd15_lv117 2 1 0.686 0.28 0.224 0.539
mpv_cd15_lv137 2 2 0.971 0.005 0.002 0.943
mpv_cd15_lv29 2 2 0.107 0.424 0.972 0.196
myeloid_wbc_cd15_lv3 2 2 0.072 -0.098 0.987 0.151
neut_cd15_lv135 2 2 0.891 -0.035 0.029 0.742
neut_cd15_lv63 2 2 0.967 -0.011 0.003 0.895
pct_cd15_lv131 2 2 0.906 -0.022 0.022 0.803
pct_cd15_lv132 2 2 0.824 -0.085 0.075 0.726
pct_cd15_lv137 2 2 0.712 -0.078 0.191 0.568
plt_cd15_lv84 2 2 0.014 0.743 1 0.035
rbc_cd15_lv103 2 2 0.331 0.421 0.753 0.391
rbc_cd15_lv132 2 2 0.002 -0.643 1 0.007
rbc_cd15_lv39 2 2 0.026 -0.327 0.998 0.018
rbc_cd15_lv50 2 2 0.12 -0.33 0.965 0.296
rbc_cd15_lv84 3 3 0.004 -0.489 0.992 0.025
rdw_cd15_lv14 4 4 0.391 0.126 0.25 0.358
rdw_cd15_lv64 2 2 0.008 -0.331 1 0.012
rdw_cd15_lv86 2 2 0.491 -0.409 0.514 0.538
ret_cd15_lv100 2 2 0.957 0.023 0.005 0.883
ret_cd15_lv132 2 2 0.02 -0.392 0.999 0.027
ret_cd15_lv35 2 2 0.374 0.541 0.693 0.385
ret_cd15_lv89 2 2 0.999 -0.001 0 0.997
T1D_cd15_lv41 2 2 0.014 2.847 1 0.017
