factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
EUR.CD_pwy107_pc5 2 2 0.034 -0.525 0.997 0.093
EUR.CD_pwy119_pc3 2 2 0.15 0.634 0.945 0.081
EUR.CD_pwy122_pc3 2 2 0.169 -0.45 0.931 0.081
EUR.CD_pwy139_pc3 2 2 0.397 -0.213 0.659 0.504
EUR.CD_pwy141_pc2 2 2 0.375 0.438 0.691 0.433
EUR.CD_pwy144_pc5 2 2 0.153 0.425 0.943 0.081
EUR.CD_pwy163_pc3 2 2 0.994 -0.004 0 0.977
EUR.CD_pwy165_pc3 2 2 0.876 -0.154 0.037 0.718
EUR.CD_pwy167_pc4 2 2 0.058 -0.78 0.992 0.187
EUR.CD_pwy191_pc2 2 2 0.893 -0.266 0.028 0.732
EUR.CD_pwy195_pc3 2 2 0.349 -0.367 0.728 0.369
EUR.CD_pwy204_pc3 2 2 0.357 0.347 0.718 0.392
EUR.CD_pwy237_pc5 2 2 0.377 -0.298 0.689 0.442
EUR.CD_pwy256_pc5 2 2 0.014 0.551 1 0.069
EUR.CD_pwy265_pc3 2 2 0.367 -0.369 0.703 0.24
EUR.CD_pwy275_pc5 2 1 0.037 -0.334 0.997 0.113
EUR.CD_pwy280_pc5 2 1 0.798 -0.19 0.097 0.648
EUR.CD_pwy282_pc2 2 2 0.687 0.399 0.222 0.53
EUR.CD_pwy298_pc3 2 2 0.172 0.432 0.929 0.081
EUR.CD_pwy301_pc4 2 2 0.023 -0.382 0.999 0.101
EUR.CD_pwy310_pc3 2 2 0.093 0.694 0.979 0.292
EUR.CD_pwy313_pc3 2 2 0.713 -0.262 0.19 0.506
EUR.CD_pwy319_pc4 2 2 0.03 -0.298 0.998 0.081
EUR.CD_pwy322_pc4 3 2 0.027 -0.406 0.947 0.111
EUR.CD_pwy322_pc5 2 2 0.934 0.053 0.011 0.82
EUR.CD_pwy56_pc4 2 2 0.081 0.432 0.984 0.14
EUR.CD_pwy57_pc1 2 2 0.958 -0.042 0.004 0.865
EUR.CD_pwy95_pc3 2 2 0.985 0.01 0.001 0.955
EUR.IBD_pwy107_pc2 3 3 0.375 0.348 0.39 0.4
EUR.IBD_pwy112_pc4 2 2 0.046 0.215 0.995 0.207
EUR.IBD_pwy116_pc2 2 2 0.038 -0.447 0.996 0.105
EUR.IBD_pwy136_pc2 3 3 0.3 -0.363 0.49 0.227
EUR.IBD_pwy141_pc2 2 2 0.347 0.351 0.731 0.396
EUR.IBD_pwy144_pc5 2 2 0.091 0.326 0.98 0.024
EUR.IBD_pwy165_pc3 2 2 0.954 -0.04 0.005 0.868
EUR.IBD_pwy168_pc2 2 2 0.241 -0.549 0.864 0.378
EUR.IBD_pwy171_pc3 2 2 0.061 -0.725 0.991 0.165
EUR.IBD_pwy171_pc4 2 2 0.419 0.243 0.626 0.516
EUR.IBD_pwy184_pc2 2 1 0.196 0.661 0.908 0.517
EUR.IBD_pwy193_pc2 2 1 0.053 0.424 0.993 0.043
EUR.IBD_pwy195_pc3 2 2 0.321 -0.293 0.766 0.263
EUR.IBD_pwy204_pc3 2 2 0.329 0.278 0.756 0.302
EUR.IBD_pwy206_pc5 3 3 0.027 0.395 0.947 0.116
EUR.IBD_pwy207_pc1 2 2 0.167 -0.507 0.933 0.45
EUR.IBD_pwy228_pc5 2 2 0.403 0.23 0.649 0.474
EUR.IBD_pwy233_pc4 2 2 0.351 0.25 0.726 0.263
EUR.IBD_pwy235_pc4 2 2 0.414 -0.239 0.633 0.559
EUR.IBD_pwy235_pc5 2 2 0.046 0.277 0.995 0.207
EUR.IBD_pwy237_pc5 3 3 0.304 -0.204 0.484 0.425
EUR.IBD_pwy238_pc4 2 1 0.167 -0.412 0.933 0.114
EUR.IBD_pwy252_pc4 2 2 0.989 -0.009 0 0.969
EUR.IBD_pwy256_pc5 4 4 0.002 0.555 0.969 0.027
EUR.IBD_pwy260_pc2 2 2 0.979 0.017 0.001 0.912
EUR.IBD_pwy267_pc5 2 2 0.38 -0.237 0.684 0.471
EUR.IBD_pwy301_pc4 3 3 0.024 -0.364 0.952 0.246
EUR.IBD_pwy302_pc4 2 2 0.062 -0.274 0.991 0.26
EUR.IBD_pwy303_pc4 2 2 0.164 0.338 0.935 0.479
EUR.IBD_pwy307_pc4 2 2 0.142 0.454 0.951 0.307
EUR.IBD_pwy310_pc3 2 2 0.002 0.612 1 0.014
EUR.IBD_pwy310_pc4 2 2 0.051 0.221 0.994 0.222
EUR.IBD_pwy311_pc5 2 2 0.377 -0.265 0.688 0.309
EUR.IBD_pwy313_pc4 3 3 0.377 0.178 0.388 0.482
EUR.IBD_pwy315_pc4 2 2 0.066 0.235 0.989 0.267
EUR.IBD_pwy316_pc4 2 2 0.08 0.295 0.984 0.308
EUR.IBD_pwy319_pc4 2 2 0.054 -0.28 0.993 0.164
EUR.IBD_pwy322_pc4 3 2 0.395 -0.237 0.366 0.238
EUR.IBD_pwy322_pc5 2 1 0.069 0.456 0.988 0.13
EUR.IBD_pwy67_pc4 2 2 0.818 0.119 0.08 0.641
EUR.IBD_pwy78_pc1 2 2 0.063 0.605 0.99 0.183
EUR.UC_pwy101_pc2 2 1 0.114 0.54 0.969 0.288
EUR.UC_pwy129_pc2 2 2 0.032 -0.674 0.998 0.116
EUR.UC_pwy219_pc5 2 2 0.017 0.341 0.999 0.067
EUR.UC_pwy256_pc5 2 2 0.013 0.684 1 0.025
EUR.UC_pwy266_pc5 2 1 0.728 -0.324 0.171 0.51
EUR.UC_pwy282_pc4 2 2 0.194 -0.387 0.91 0.399
EUR.UC_pwy304_pc2 3 2 0.08 0.923 0.847 0.186
EUR.UC_pwy316_pc5 2 2 0.036 0.557 0.997 0.131
EUR.UC_pwy322_pc3 2 1 0.292 -0.864 0.804 0.493
EUR.UC_pwy50_pc4 2 1 0.986 0.011 0 0.951
T1D_pwy218_pc1 2 2 0.708 0.804 0.196 0.572
T1D_pwy236_pc1 2 2 0.961 0.038 0.004 0.914
T1D_pwy236_pc5 2 2 0.091 0.287 0.98 0.114
T1D_pwy243_pc1 2 2 0.004 0.411 1 0.011
T1D_pwy252_pc2 2 2 0.202 -0.799 0.903 0.323
T1D_pwy260_pc3 2 2 0.054 -0.578 0.993 0.052
T1D_pwy297_pc2 2 2 0.038 -0.391 0.996 0.097
T1D_pwy307_pc1 2 2 0.916 -0.068 0.017 0.791
T1D_pwy311_pc3 2 2 0.193 0.684 0.911 0.299
T1D_pwy314_pc3 2 2 0.836 0.08 0.065 0.757
T1D_pwy327_pc1 2 2 0.242 0.844 0.863 0.359
T1D_pwy35_pc4 2 2 0.789 -0.233 0.106 0.647
T1D_pwy39_pc3 2 2 0.005 -0.348 1 0.013
T1D_pwy47_pc2 2 2 0.719 0.182 0.183 0.611
T1D_pwy56_pc3 2 2 0.141 0.346 0.952 0.138
T1D_pwy59_pc5 2 2 0.072 -0.653 0.987 0.105
T1D_pwy5_pc1 2 2 0.425 2.111 0.616 0.501
T1D_pwy62_pc5 2 2 0.765 0.169 0.13 0.656
T1D_pwy68_pc1 2 2 0.208 0.375 0.897 0.23
T1D_pwy75_pc1 3 3 0.493 -0.282 0.257 0.434
T1D_pwy91_pc5 2 2 0.43 0.378 0.609 0.497
T1D_pwy96_pc4 2 2 0.153 0.862 0.943 0.187
allergy_pwy116_pc1 2 2 0.841 0.041 0.061 0.664
allergy_pwy12_pc2 2 2 0.999 0 0 0.999
allergy_pwy136_pc5 2 2 0.009 -0.067 1 0.024
allergy_pwy246_pc5 2 2 0.644 -0.088 0.282 0.536
allergy_pwy26_pc1 2 1 0.246 -0.201 0.857 0.424
allergy_pwy296_pc1 2 2 0.689 -0.071 0.22 0.596
allergy_pwy320_pc5 2 0 0.17 -0.146 0.93 0.219
allergy_pwy322_pc3 2 2 0.677 0.09 0.236 0.557
allergy_pwy57_pc2 2 2 0.023 -0.136 0.999 0.087
allergy_pwy96_pc4 2 2 0.674 -0.079 0.24 0.536
baso_pwy320_pc5 2 1 0.015 0.145 0.999 0.025
baso_pwy43_pc1 2 2 0.921 0.014 0.015 0.758
baso_pwy87_pc5 2 2 0.067 0.081 0.989 0.213
eo_pwy131_pc3 2 1 0.815 0.028 0.082 0.66
eo_pwy133_pc5 2 1 0.179 -0.118 0.923 0.378
eo_pwy250_pc3 2 2 0.027 0.081 0.998 0.078
eo_pwy265_pc2 2 2 0.57 -0.09 0.391 0.542
eo_pwy26_pc4 2 2 0.799 0.016 0.097 0.688
eo_pwy321_pc4 2 1 0.643 0.065 0.282 0.523
eo_pwy326_pc4 3 2 0.038 -0.103 0.926 0.148
eo_pwy329_pc4 3 3 0.032 -0.078 0.936 0.139
eo_pwy42_pc2 3 3 0.628 0.044 0.138 0.587
