factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
EUR.CD_pwy109_pc3 2 2 0.9 -0.079 0.025 0.765
EUR.CD_pwy131_pc2 2 2 0.021 -0.507 0.999 0.019
EUR.CD_pwy132_pc4 2 2 0.003 0.533 1 0.006
EUR.CD_pwy207_pc3 2 2 0.931 0.057 0.012 0.793
EUR.CD_pwy208_pc3 2 2 0.086 0.588 0.982 0.327
EUR.CD_pwy249_pc4 2 2 0.024 -0.58 0.999 0.067
EUR.CD_pwy330_pc5 2 2 0.276 0.727 0.823 0.413
EUR.CD_pwy93_pc1 2 2 0.786 0.283 0.109 0.507
EUR.CD_pwy95_pc1 2 2 0.018 0.356 0.999 0.025
EUR.CD_pwy99_pc5 3 3 0.006 0.417 0.988 0.019
EUR.IBD_pwy109_pc3 2 2 0.754 -0.199 0.142 0.568
EUR.IBD_pwy148_pc5 2 2 0.028 0.512 0.998 0.045
EUR.IBD_pwy151_pc3 2 2 0.126 0.351 0.962 0.38
EUR.IBD_pwy182_pc3 2 2 0.01 0.497 1 0.043
EUR.IBD_pwy197_pc5 2 2 0.091 -0.421 0.98 0.301
EUR.IBD_pwy202_pc4 3 3 0.023 -0.386 0.955 0.112
EUR.IBD_pwy207_pc3 2 2 0.124 -0.534 0.963 0.245
EUR.IBD_pwy208_pc1 2 2 0.153 -0.768 0.944 0.363
EUR.IBD_pwy229_pc5 2 2 0.072 -0.522 0.987 0.253
EUR.IBD_pwy22_pc4 2 2 0.649 0.192 0.275 0.532
EUR.IBD_pwy231_pc3 2 2 0.197 -0.42 0.908 0.414
EUR.IBD_pwy238_pc4 2 1 0.046 -0.299 0.995 0.149
EUR.IBD_pwy249_pc4 3 3 0.471 -0.224 0.28 0.345
EUR.IBD_pwy251_pc2 2 2 0.76 0.126 0.135 0.623
EUR.IBD_pwy281_pc5 2 1 0.043 -0.247 0.996 0.054
EUR.IBD_pwy306_pc2 2 2 0.982 -0.01 0.001 0.934
EUR.IBD_pwy314_pc2 3 3 0.709 -0.104 0.085 0.76
EUR.IBD_pwy320_pc2 2 1 0.028 -0.257 0.998 0.041
EUR.IBD_pwy323_pc4 2 1 0.678 0.244 0.234 0.54
EUR.IBD_pwy331_pc5 2 1 0.036 0.308 0.997 0.099
EUR.IBD_pwy36_pc1 2 2 0.034 0.651 0.997 0.093
EUR.IBD_pwy78_pc3 4 4 0.963 -0.013 0.001 0.978
EUR.IBD_pwy99_pc2 2 2 0.951 -0.037 0.006 0.885
EUR.UC_pwy102_pc4 2 2 0.009 0.676 1 0.034
EUR.UC_pwy134_pc3 2 2 0.087 0.409 0.981 0.054
EUR.UC_pwy145_pc2 3 3 0.83 0.111 0.029 0.898
EUR.UC_pwy151_pc3 2 2 0.037 0.442 0.997 0.1
EUR.UC_pwy153_pc3 3 3 0.563 0.269 0.191 0.436
EUR.UC_pwy155_pc3 2 2 0.042 0.377 0.996 0.168
EUR.UC_pwy170_pc4 2 2 0.064 0.603 0.99 0.154
EUR.UC_pwy171_pc3 2 2 0.022 0.56 0.999 0.088
EUR.UC_pwy177_pc2 2 2 0.906 -0.063 0.022 0.769
EUR.UC_pwy182_pc3 2 2 0.011 0.546 1 0.057
EUR.UC_pwy201_pc5 2 2 0.062 0.492 0.991 0.148
EUR.UC_pwy202_pc4 3 3 0.02 -0.432 0.961 0.131
EUR.UC_pwy207_pc3 2 2 0.099 -0.604 0.976 0.174
EUR.UC_pwy208_pc1 2 2 0.128 -0.871 0.96 0.254
EUR.UC_pwy218_pc2 2 2 0.944 -0.049 0.008 0.84
EUR.UC_pwy221_pc3 2 2 0.043 -0.399 0.996 0.168
EUR.UC_pwy229_pc5 2 2 0.072 -0.575 0.987 0.205
EUR.UC_pwy231_pc3 3 2 0.987 -0.011 0 0.986
EUR.UC_pwy241_pc3 4 4 0.005 -0.6 0.949 0.064
EUR.UC_pwy265_pc4 2 2 0.099 0.302 0.976 0.197
EUR.UC_pwy306_pc2 4 4 0.462 -0.206 0.191 0.444
EUR.UC_pwy310_pc2 2 2 0.956 -0.029 0.005 0.883
EUR.UC_pwy314_pc2 3 3 0.733 -0.122 0.071 0.727
EUR.UC_pwy316_pc2 2 2 0.979 0.01 0.001 0.963
EUR.UC_pwy323_pc4 2 1 0.665 0.328 0.252 0.519
EUR.UC_pwy328_pc1 2 2 0.09 0.446 0.98 0.188
EUR.UC_pwy332_pc5 2 2 0.948 -0.039 0.007 0.832
EUR.UC_pwy36_pc1 2 2 0.034 0.717 0.997 0.071
EUR.UC_pwy42_pc4 2 2 0.795 -0.19 0.1 0.644
EUR.UC_pwy56_pc3 3 3 0.852 0.113 0.022 0.869
EUR.UC_pwy6_pc1 2 2 0.061 0.604 0.991 0.125
EUR.UC_pwy6_pc2 2 2 0.017 -0.67 0.999 0.054
EUR.UC_pwy71_pc5 2 2 0.999 -0.001 0 1
EUR.UC_pwy73_pc1 2 2 0.914 -0.086 0.018 0.775
EUR.UC_pwy79_pc5 2 2 0.998 0.001 0 0.997
EUR.UC_pwy81_pc2 2 2 0.903 -0.099 0.023 0.761
EUR.UC_pwy83_pc4 2 2 0.057 -0.518 0.992 0.063
EUR.UC_pwy83_pc5 2 2 0.942 0.045 0.008 0.803
EUR.UC_pwy86_pc1 3 3 0 0.618 0.999 0.004
T1D_pwy107_pc3 2 2 1 0 0 0.997
T1D_pwy127_pc4 2 2 0.033 0.226 0.997 0.018
T1D_pwy146_pc1 3 3 0.381 -0.465 0.383 0.314
T1D_pwy176_pc5 2 2 0.04 0.294 0.996 0.018
T1D_pwy182_pc4 2 2 0.156 -0.244 0.941 0.206
T1D_pwy281_pc2 2 2 0.16 -0.225 0.938 0.206
T1D_pwy28_pc5 2 2 0.908 -0.103 0.021 0.797
T1D_pwy292_pc2 2 2 0.848 0.12 0.056 0.631
T1D_pwy297_pc3 2 2 0.027 0.3 0.998 0.018
T1D_pwy314_pc1 2 2 0.989 0.008 0 0.957
T1D_pwy60_pc5 2 2 0.875 0.137 0.038 0.702
T1D_pwy6_pc2 2 2 0.12 1.024 0.965 0.265
T1D_pwy90_pc2 2 2 0.348 1.071 0.729 0.498
allergy_pwy119_pc4 2 2 0.058 -0.188 0.992 0.177
allergy_pwy11_pc3 2 2 0.595 -0.133 0.353 0.524
allergy_pwy138_pc2 2 2 0.052 0.155 0.993 0.164
allergy_pwy150_pc4 2 2 0.088 0.069 0.981 0.268
allergy_pwy177_pc4 2 2 0.954 -0.004 0.005 0.855
allergy_pwy17_pc1 2 2 0.919 -0.021 0.016 0.79
allergy_pwy182_pc4 2 1 0.087 0.09 0.981 0.219
allergy_pwy193_pc3 2 1 0.175 -0.067 0.926 0.206
allergy_pwy232_pc4 2 2 0.939 0.014 0.009 0.824
allergy_pwy238_pc4 2 0 0.27 0.065 0.831 0.48
allergy_pwy259_pc3 2 2 0.027 -0.115 0.998 0.072
allergy_pwy281_pc2 2 2 0.875 -0.02 0.038 0.678
allergy_pwy288_pc3 2 2 0.972 -0.004 0.002 0.917
allergy_pwy317_pc3 3 3 0.36 -0.099 0.41 0.285
allergy_pwy31_pc1 2 2 0.032 -0.186 0.997 0.097
allergy_pwy321_pc5 2 1 0.018 0.11 0.999 0.04
allergy_pwy323_pc4 2 1 0.665 -0.042 0.252 0.612
allergy_pwy325_pc4 2 0 0.286 -0.065 0.811 0.48
allergy_pwy44_pc1 2 2 0.768 -0.085 0.127 0.58
allergy_pwy63_pc1 2 2 0.074 -0.174 0.986 0.205
eo_pwy100_pc5 2 2 0.791 0.045 0.104 0.604
eo_pwy291_pc4 3 3 0.887 -0.006 0.013 0.892
eo_pwy302_pc4 2 2 0.782 0.022 0.113 0.603
eo_pwy308_pc2 2 2 0.683 -0.043 0.228 0.679
eo_pwy54_pc2 2 2 0.018 -0.095 0.999 0.009
eo_pwy82_pc2 2 2 0.883 0.024 0.033 0.713
gran_pwy10_pc5 3 3 0.691 -0.022 0.096 0.718
gran_pwy111_pc1 3 3 0.976 -0.003 0.001 0.978
gran_pwy114_pc4 2 2 0.037 0.029 0.997 0.11
gran_pwy116_pc3 2 2 0.014 -0.045 0.999 0.054
gran_pwy127_pc1 2 2 0.029 0.042 0.998 0.11
gran_pwy138_pc5 2 2 0.009 -0.031 1 0.037
gran_pwy144_pc5 2 2 0.948 -0.004 0.007 0.846
gran_pwy146_pc5 2 2 0.785 -0.021 0.109 0.572
gran_pwy148_pc1 2 2 0.697 0.056 0.21 0.518
gran_pwy149_pc2 2 2 0.089 0.055 0.981 0.188
gran_pwy155_pc4 2 2 0.005 0.062 1 0.008
gran_pwy160_pc2 2 2 0.052 -0.051 0.993 0.138
gran_pwy161_pc4 2 2 0.045 0.034 0.995 0.127
gran_pwy197_pc3 3 3 0.185 -0.05 0.664 0.176
gran_pwy200_pc4 3 3 0.407 0.027 0.352 0.409
gran_pwy201_pc3 3 3 0.639 0.018 0.13 0.62
gran_pwy205_pc4 2 2 0.006 -0.033 1 0.032
gran_pwy218_pc2 3 3 0.215 0.065 0.616 0.244
gran_pwy220_pc4 2 2 0.047 0.069 0.995 0.118
gran_pwy223_pc3 2 2 0.052 -0.078 0.993 0.189
gran_pwy224_pc1 3 3 0.001 -0.133 0.997 0.002
gran_pwy231_pc2 3 3 0.652 -0.032 0.121 0.646
gran_pwy235_pc5 2 2 0.855 0.014 0.051 0.694
gran_pwy240_pc2 2 2 0.86 -0.018 0.047 0.638
gran_pwy240_pc3 2 2 0.964 0.004 0.003 0.916
gran_pwy246_pc4 2 2 0.74 0.027 0.158 0.592
gran_pwy259_pc4 2 2 0.031 0.047 0.998 0.105
gran_pwy265_pc3 2 2 0.146 0.046 0.948 0.228
gran_pwy274_pc4 2 2 0.016 0.038 0.999 0.056
gran_pwy275_pc2 2 2 0.071 0.04 0.988 0.167
gran_pwy281_pc2 2 2 0.041 -0.045 0.996 0.157
gran_pwy282_pc3 2 2 0.051 0.038 0.994 0.136
gran_pwy282_pc5 3 3 0.944 0.002 0.003 0.963
gran_pwy290_pc3 2 2 0.413 -0.047 0.634 0.441
gran_pwy296_pc5 2 2 0.008 0.031 1 0.037
gran_pwy313_pc3 2 2 0.825 -0.025 0.074 0.593
gran_pwy329_pc4 3 3 0.457 -0.028 0.295 0.348
gran_pwy35_pc1 2 2 0.024 -0.123 0.999 0.06
gran_pwy3_pc5 2 2 0.941 -0.007 0.009 0.832
gran_pwy55_pc5 2 2 0.015 0.071 0.999 0.021
gran_pwy67_pc5 2 2 0.099 -0.046 0.976 0.196
gran_pwy73_pc2 2 2 0.118 -0.077 0.966 0.32
gran_pwy74_pc5 2 2 0.634 0.068 0.296 0.554
gran_pwy96_pc2 2 2 0.443 -0.06 0.589 0.467
gran_pwy96_pc5 2 2 0.008 0.055 1 0.016
gran_pwy99_pc2 2 2 0.053 0.064 0.993 0.139
lymph_pwy116_pc4 2 2 0.757 -0.018 0.139 0.591
lymph_pwy150_pc1 2 2 0.773 -0.047 0.121 0.562
lymph_pwy197_pc5 2 2 0.015 0.052 0.999 0.043
lymph_pwy21_pc5 2 2 0.079 -0.093 0.985 0.149
lymph_pwy220_pc5 2 2 0.072 -0.061 0.987 0.223
lymph_pwy247_pc5 2 2 0.076 -0.066 0.986 0.23
lymph_pwy249_pc5 2 2 0.137 0.09 0.955 0.274
lymph_pwy275_pc4 2 2 0.927 -0.007 0.013 0.775
lymph_pwy280_pc3 2 2 0.097 0.056 0.977 0.107
lymph_pwy289_pc4 2 2 0.06 -0.027 0.991 0.186
lymph_pwy300_pc2 2 2 0.049 0.051 0.994 0.155
lymph_pwy310_pc5 2 2 0.132 -0.078 0.958 0.33
lymph_pwy311_pc2 2 2 0.01 -0.051 1 0.024
lymph_pwy320_pc2 3 3 0.009 0.062 0.982 0.04
lymph_pwy323_pc5 3 3 0.001 -0.059 0.997 0.006
lymph_pwy324_pc5 2 2 0.017 -0.071 0.999 0.046
lymph_pwy326_pc5 3 3 0.003 -0.057 0.995 0.019
lymph_pwy48_pc3 2 2 0.057 0.134 0.992 0.178
lymph_pwy58_pc5 2 2 0.132 0.095 0.958 0.335
lymph_pwy86_pc5 2 2 0.084 0.076 0.983 0.244
lymph_pwy87_pc5 2 2 0.017 0.074 0.999 0.045
myeloid_wbc_pwy101_pc1 2 2 0.557 0.049 0.412 0.558
myeloid_wbc_pwy104_pc4 2 2 0.839 -0.017 0.062 0.652
myeloid_wbc_pwy10_pc5 3 3 0.675 -0.026 0.106 0.671
myeloid_wbc_pwy111_pc1 2 2 0.851 0.029 0.054 0.651
myeloid_wbc_pwy113_pc3 2 2 0.043 0.036 0.995 0.118
myeloid_wbc_pwy114_pc4 2 2 0.009 0.031 1 0.022
myeloid_wbc_pwy115_pc3 2 2 0.017 0.038 0.999 0.063
myeloid_wbc_pwy116_pc3 2 2 0.013 -0.048 1 0.044
myeloid_wbc_pwy116_pc4 2 2 0.039 -0.046 0.996 0.106
myeloid_wbc_pwy117_pc3 2 2 0.017 -0.04 0.999 0.061
myeloid_wbc_pwy118_pc5 2 2 0.956 -0.003 0.005 0.856
myeloid_wbc_pwy124_pc4 2 2 0.911 -0.007 0.019 0.745
myeloid_wbc_pwy126_pc2 2 2 0.082 -0.048 0.983 0.244
myeloid_wbc_pwy127_pc1 2 2 0.056 0.044 0.992 0.164
myeloid_wbc_pwy138_pc5 2 2 0.019 -0.033 0.999 0.063
myeloid_wbc_pwy139_pc4 2 2 0.023 -0.028 0.999 0.057
myeloid_wbc_pwy143_pc4 2 2 0.029 -0.038 0.998 0.077
myeloid_wbc_pwy144_pc5 3 3 0.568 0.021 0.187 0.451
myeloid_wbc_pwy148_pc1 2 2 0.707 0.061 0.197 0.521
myeloid_wbc_pwy149_pc2 2 2 0.061 0.058 0.991 0.123
myeloid_wbc_pwy151_pc4 2 2 0.068 0.035 0.989 0.201
myeloid_wbc_pwy153_pc3 2 2 0.011 -0.096 1 0.031
myeloid_wbc_pwy155_pc4 2 2 0.026 0.065 0.998 0.071
myeloid_wbc_pwy160_pc2 2 2 0.025 -0.054 0.999 0.071
myeloid_wbc_pwy161_pc4 2 2 0.018 0.036 0.999 0.056
myeloid_wbc_pwy162_pc5 2 2 0.016 0.042 0.999 0.039
myeloid_wbc_pwy168_pc4 2 2 0.058 -0.064 0.992 0.173
myeloid_wbc_pwy170_pc3 3 3 0.608 -0.036 0.154 0.571
myeloid_wbc_pwy187_pc5 2 2 0.044 0.038 0.995 0.124
myeloid_wbc_pwy195_pc4 2 2 0.919 -0.009 0.016 0.76
myeloid_wbc_pwy195_pc5 2 2 0.022 -0.063 0.999 0.03
