factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
EUR.CD_pwy1030_pc2 2 2 0.927 0.073 0.013 0.96
EUR.CD_pwy1048_pc5 2 2 0.107 0.668 0.972 0.296
EUR.CD_pwy1076_pc1 2 2 0.004 0.584 1 0
EUR.CD_pwy107_pc3 2 1 0.052 -0.591 0.993 0.216
EUR.CD_pwy108_pc1 2 2 0.273 0.963 0.827 0.408
EUR.CD_pwy1150_pc1 2 2 0.017 0.481 0.999 0.034
EUR.CD_pwy1161_pc5 2 2 0.064 0.586 0.99 0.076
EUR.CD_pwy1180_pc3 2 2 0.027 -0.52 0.998 0.047
EUR.CD_pwy125_pc2 2 2 0.975 -0.042 0.002 0.885
EUR.CD_pwy13_pc1 2 2 0.359 0.708 0.715 0.547
EUR.CD_pwy141_pc5 2 2 0.383 -2.328 0.68 0.458
EUR.CD_pwy143_pc5 2 2 0.383 -2.328 0.68 0.458
EUR.CD_pwy144_pc5 2 2 0.383 -2.328 0.68 0.458
EUR.CD_pwy174_pc4 2 2 0.806 -0.12 0.09 0.663
EUR.CD_pwy198_pc4 2 2 0.033 0.558 0.997 0.092
EUR.CD_pwy232_pc1 2 2 0.019 -0.391 0.999 0.038
EUR.CD_pwy243_pc4 2 2 0.921 -0.069 0.015 0.684
EUR.CD_pwy272_pc2 2 2 0.96 -0.045 0.004 0.883
EUR.CD_pwy278_pc3 2 2 0.05 0.448 0.994 0.144
EUR.CD_pwy287_pc1 2 2 0.09 -0.542 0.98 0.207
EUR.CD_pwy296_pc1 2 2 0.098 -0.234 0.976 0.245
EUR.CD_pwy303_pc3 2 2 0.013 -0.47 1 0.005
EUR.CD_pwy307_pc1 2 2 0.863 0.116 0.046 0.663
EUR.CD_pwy307_pc2 2 2 0.937 -0.053 0.01 0.745
EUR.CD_pwy325_pc2 2 2 0.798 0.162 0.097 0.557
EUR.CD_pwy355_pc1 2 2 0.032 -0.529 0.997 0.09
EUR.CD_pwy355_pc5 2 2 0.842 0.105 0.06 0.564
EUR.CD_pwy385_pc3 2 2 0.011 -0.377 1 0.026
EUR.CD_pwy407_pc3 2 2 0.85 0.125 0.055 0.67
EUR.CD_pwy425_pc3 2 2 0.847 0.107 0.057 0.662
EUR.CD_pwy43_pc1 2 2 0.101 -0.23 0.975 0.245
EUR.CD_pwy44_pc5 2 2 0.385 -0.47 0.677 0.548
EUR.CD_pwy479_pc5 2 2 0.958 -0.035 0.004 0.847
EUR.CD_pwy511_pc4 2 2 0.023 -0.277 0.999 0.02
EUR.CD_pwy522_pc4 2 2 0.057 0.225 0.992 0.038
EUR.CD_pwy525_pc1 2 2 0.016 -0.334 0.999 0.011
EUR.CD_pwy549_pc4 2 2 0.032 -0.351 0.997 0.025
EUR.CD_pwy559_pc1 2 2 0.865 -0.273 0.044 0.685
EUR.CD_pwy560_pc1 2 1 0.977 0.03 0.001 0.911
EUR.CD_pwy596_pc4 4 3 0.395 0.285 0.246 0.387
EUR.CD_pwy598_pc4 2 2 0.952 -0.046 0.006 0.832
EUR.CD_pwy62_pc3 2 2 0.06 0.646 0.991 0.151
EUR.CD_pwy637_pc5 3 3 0.75 0.133 0.063 0.753
EUR.CD_pwy678_pc2 2 2 0.863 -0.116 0.045 0.664
EUR.CD_pwy678_pc3 3 3 0.603 0.209 0.158 0.502
EUR.CD_pwy71_pc2 2 2 0.007 0.772 1 0.012
EUR.CD_pwy723_pc1 2 2 0.04 -0.277 0.996 0.144
EUR.CD_pwy723_pc3 2 2 0.05 0.233 0.994 0.038
EUR.CD_pwy785_pc1 2 2 0.045 0.574 0.995 0.086
EUR.CD_pwy785_pc5 2 2 0.01 -0.516 1 0.004
EUR.CD_pwy804_pc2 2 1 0.913 0.081 0.019 0.76
EUR.CD_pwy859_pc4 2 2 0.135 0.389 0.956 0.293
EUR.CD_pwy860_pc4 2 2 0.135 0.389 0.956 0.293
EUR.CD_pwy88_pc1 2 2 0.039 -0.236 0.996 0.117
