factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
allergy_lv33 2 2 0.095 -2.143 0.978 0.215
allergy_lv52 2 1 0.041 -0.869 0.996 0.018
eo_lv18 2 2 0.153 -0.499 0.943 0.289
EUR.CD_lv10 2 1 0.489 -2.971 0.517 0.454
EUR.CD_lv126 2 2 0.97 0.224 0.002 0.867
EUR.CD_lv31 2 2 0.998 -0.009 0 0.993
EUR.UC_lv106 2 2 0.882 0.787 0.034 0.713
EUR.UC_lv108 2 2 0.802 -0.312 0.093 0.625
EUR.UC_lv23 3 2 0.577 1.109 0.179 0.501
EUR.UC_lv69 2 1 0.007 3.659 1 0.024
EUR.UC_lv94 2 2 0.055 2.648 0.992 0.197
myeloid_wbc_lv99 2 2 0.903 -0.207 0.023 0.78
neut_lv56 2 2 0.841 -0.102 0.061 0.708
plt_lv23 2 2 0.157 -0.544 0.941 0.308
rbc_lv10 2 1 0.732 0.269 0.167 0.547
rbc_lv27 2 2 0.068 -0.266 0.989 0.151
rbc_lv43 2 2 0.061 0.377 0.991 0.175
rbc_lv51 2 2 0.07 0.287 0.988 0.188
rbc_lv70 2 2 0.032 -0.193 0.997 0.093
rbc_lv71 2 2 0.029 0.449 0.998 0.074
rbc_lv82 2 2 0.214 -0.687 0.891 0.372
T1D_lv74 2 2 0.495 3.434 0.508 0.511
ukb.allasthma_lv114 2 2 0.017 -0.471 0.999 0.038
ukb.allasthma_lv21 3 3 0.726 -0.193 0.075 0.733
ukb.allasthma_lv27 2 2 0.237 -0.648 0.867 0.15
ukb.allasthma_lv36 2 2 0.049 0.521 0.994 0.004
ukb.allasthma_lv82 2 2 0.144 -0.97 0.95 0.158
wbc_lv99 2 2 0.894 -0.182 0.027 0.763
