factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
allergy_33 3 3 0.004 -1.861 0.993 0
allergy_74 3 3 0.799 -0.145 0.04 0.794
allergy_110 2 2 0.002 0.838 1 0.003
asthma_2_88 2 1 0.172 11.745 0.929 0.396
asthma_2_91 3 2 0.638 -14.053 0.131 0.733
bmi_27 2 2 0.025 0.343 0.998 0.067
bmi_30 2 2 0.116 -0.38 0.967 0.267
bmi_76 2 2 0.022 0.518 0.999 0.072
bmi_90 2 2 0.184 0.941 0.919 0.209
eo_106 2 2 0.894 0.096 0.027 0.798
eo_125 3 3 0.105 0.514 0.802 0.067
EUR.CD_126 3 3 0.134 4.307 0.75 0.117
EUR.IBD_98 2 1 0.924 0.283 0.014 0.833
EUR.UC_23 2 1 0.096 2.4 0.978 0.191
EUR.UC_24 2 1 0.324 4.158 0.763 0.3
EUR.UC_108 2 2 0.802 -0.312 0.093 0.687
HDL_3 2 2 0.207 -0.293 0.898 0.287
HDL_28 3 3 0.009 -0.41 0.983 0.009
HDL_69 2 2 0.273 -0.81 0.827 0.366
HDL_72 2 2 0.9 0.06 0.024 0.845
HDL_101 2 2 0.894 -0.044 0.027 0.841
height_24 2 2 0.065 0.21 0.99 0.099
height_87 2 2 0.687 -0.2 0.222 0.575
height_96 2 2 0.803 0.087 0.093 0.642
LDL_23 2 2 0.098 -0.695 0.977 0.126
LDL_79 3 3 0.571 0.293 0.184 0.536
LDL_113 2 2 0.846 0.222 0.057 0.789
LDL_117 2 2 0.515 -0.213 0.477 0.48
LDL_125 4 4 0.018 -2.03 0.883 0.012
lymph_23 2 2 0.05 -0.295 0.994 0.064
lymph_26 2 2 0.016 -0.222 0.999 0.013
lymph_37 2 2 0.565 0.129 0.398 0.567
lymph_65 2 1 0.126 -0.186 0.961 0.221
lymph_123 3 2 0.692 -0.226 0.095 0.685
myeloid_wbc_65 2 1 0.871 -0.031 0.041 0.736
myeloid_wbc_94 2 1 0.905 -0.054 0.022 0.807
myeloid_wbc_119 2 1 0.151 -0.405 0.945 0.299
neut_6 2 2 0.13 0.217 0.959 0.229
neut_95 2 2 0.556 0.145 0.413 0.569
plt_49 3 3 0.003 -0.227 0.995 0.01
plt_97 2 2 0.926 0.054 0.014 0.86
rbc_3 3 3 0.949 0.015 0.003 0.936
rbc_20 2 2 0.227 -1.24 0.879 0.357
rbc_82 4 4 0.005 -0.556 0.951 0.012
rbc_118 2 2 0.086 0.552 0.982 0.19
SCZ_7 2 1 0.685 -0.218 0.226 0.599
SCZ_98 2 2 0.095 1.513 0.978 0.278
SCZ_100 2 2 0.095 -1.362 0.978 0.285
SCZ_118 2 1 0.146 -2.045 0.948 0.338
T1D_30 2 2 0.126 -2.98 0.962 0.282
T2D_2_38 4 4 0.357 5.419 0.282 0.605
T2D_1 2 2 0.727 -2.209 0.173 0.604
TC_20 2 2 0.303 -0.428 0.79 0.438
TC_23 2 2 0.111 -0.603 0.97 0.142
TC_125 3 3 0.028 0.846 0.946 0.079
TG_30 2 2 0.856 0.199 0.051 0.751
ukb.allasthma_21 5 4 0.444 0.27 0.152 0.416
ukb.allasthma_36 2 2 0.049 0.521 0.994 0.003
ukb.allasthma_39 2 2 0.014 0.961 1 0.019
ukb.allasthma_68 2 1 0.042 1.355 0.996 0.097
ukb.allasthma_82 3 2 0.979 -0.031 0 0.979
wbc_6 2 2 0.035 0.196 0.997 0.041
wbc_119 3 1 0.026 -0.433 0.998 0.023
WHR_1 2 2 0.895 0.132 0.027 0.722
WHR_47 2 2 0.003 -0.488 1 0.003
WHR_82 3 2 0.225 -0.84 0.88 0.465
WHR_106 3 3 0.781 -0.137 0.048 0.799
