factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
EUR.CD_plt_lv115 2 2 0.09 -2.108 0.98 0.189
EUR.CD_plt_lv94 2 1 0.5 1.735 0.499 0.587
EUR.IBD_plt_lv115 3 3 0.545 -0.926 0.207 0.374
EUR.UC_plt_lv119 2 2 0.009 0.495 1 0.017
EUR.UC_plt_lv71 2 2 0.043 -2.533 0.995 0.135
T1D_plt_lv117 2 2 0.017 -0.561 0.999 0.054
T1D_plt_lv12 2 2 0.973 0.048 0.002 0.912
allergy_plt_lv115 2 2 0.215 -0.897 0.89 0.426
eo_plt_lv129 2 2 0.471 -0.085 0.546 0.493
eo_plt_lv62 2 2 1 0 0 0.999
eo_plt_lv63 2 2 0.066 -0.369 0.989 0.114
gran_plt_lv62 2 2 0.972 0.009 0.002 0.91
hct_plt_lv86 2 2 0.917 0.054 0.017 0.731
hgb_plt_lv108 2 1 0.063 0.147 0.99 0.196
hgb_plt_lv68 3 3 0.011 0.292 0.979 0.05
hgb_plt_lv86 2 2 0.984 0.009 0.001 0.946
lymph_plt_lv19 2 2 0.093 -0.186 0.979 0.233
lymph_plt_lv60 2 2 0.896 0.06 0.026 0.725
lymph_plt_lv94 5 4 0.826 -0.062 0.014 0.823
lymph_plt_lv99 2 2 0.566 0.247 0.397 0.487
mch_plt_lv114 3 3 0.074 -0.949 0.858 0.095
mch_plt_lv2 3 3 0.016 0.083 0.969 0.011
mch_plt_lv72 2 2 0.429 0.425 0.611 0.453
mch_plt_lv77 2 2 0.116 0.28 0.967 0.235
mchc_plt_lv68 2 2 0.017 0.817 0.999 0.052
mcv_plt_lv114 3 3 0.084 -1.053 0.839 0.116
mcv_plt_lv2 2 2 0.002 0.087 1 0.001
mcv_plt_lv82 2 2 0.133 0.265 0.957 0.286
mono_plt_lv111 2 2 0.47 -39378.982 0.547 0.493
mono_plt_lv129 2 2 0.248 -0.24 0.856 0.354
mono_plt_lv131 2 2 0.47 -30.398 0.547 0.493
mono_plt_lv21 2 2 0.47 -4163884.332 0.547 0.493
mono_plt_lv23 2 2 0.47 -355636.144 0.547 0.493
mono_plt_lv24 2 2 0.484 -0.189 0.525 0.501
mono_plt_lv30 2 2 0.47 -1788487.13 0.547 0.493
mono_plt_lv37 2 2 0.599 0.111 0.347 0.648
mono_plt_lv38 2 2 0.47 -910.6 0.547 0.493
mono_plt_lv46 2 2 0.47 -7249.412 0.548 0.493
mono_plt_lv48 2 2 0.47 -8566.61 0.547 0.493
mono_plt_lv8 2 2 0.471 -5.775 0.546 0.493
mpv_plt_lv62 2 2 0.299 0.365 0.795 0.303
mpv_plt_lv71 4 4 0.963 0.013 0.001 0.962
mpv_plt_lv91 2 2 0.087 -0.191 0.981 0.149
myeloid_wbc_plt_lv62 2 2 0.978 -0.007 0.001 0.939
pct_plt_lv126 2 2 0.832 0.089 0.068 0.687
pct_plt_lv19 2 2 0.11 -0.248 0.97 0.216
pct_plt_lv69 2 2 0.973 0.024 0.002 0.949
pdw_plt_lv102 2 2 0.075 0.434 0.986 0.16
pdw_plt_lv108 2 2 0.311 -0.178 0.779 0.459
pdw_plt_lv126 2 2 0.79 -0.124 0.105 0.608
pdw_plt_lv2 2 2 0.837 0.034 0.064 0.7
pdw_plt_lv60 2 2 0.135 0.702 0.955 0.275
pdw_plt_lv62 2 2 0.176 0.246 0.925 0.235
plt_plt_lv39 2 2 0.065 -0.315 0.99 0.118
plt_plt_lv62 2 2 0.213 -0.359 0.892 0.377
plt_plt_lv71 2 2 0.793 -0.132 0.102 0.627
rdw_plt_lv68 2 2 0.131 -0.503 0.958 0.226
ret_plt_lv114 2 2 0.712 0.229 0.191 0.572
ret_plt_lv124 2 2 0.948 -0.011 0.007 0.919
ret_plt_lv129 2 2 0.719 0.049 0.183 0.622
ret_plt_lv19 2 2 0.268 0.544 0.833 0.371
ret_plt_lv2 2 2 0.031 0.096 0.998 0.071
ret_plt_lv47 2 2 0.144 0.319 0.95 0.216
ukb.allasthma_plt_lv62 2 2 0.837 -0.127 0.064 0.677
wbc_plt_lv39 2 2 0.85 -0.079 0.055 0.667
