factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
EUR.CD_plt_lv115 2 2 0.111 -2.128 0.97 0.2
EUR.IBD_plt_lv115 3 3 0.545 -0.941 0.207 0.382
EUR.IBD_plt_lv60 2 2 0.719 0.678 0.183 0.604
T1D_plt_lv12 2 2 0.985 0.026 0.001 0.951
T1D_plt_lv89 2 2 0.547 1.531 0.427 0.576
allergy_plt_lv115 2 2 0.005 -0.57 1 0.018
eo_plt_lv129 2 2 0.467 -0.091 0.552 0.464
eo_plt_lv28 2 2 0.912 -0.14 0.019 0.82
gran_plt_lv62 2 2 0.957 0.014 0.005 0.869
hgb_plt_lv68 2 2 0.111 0.279 0.97 0.31
lymph_plt_lv47 2 2 0.978 -0.008 0.001 0.943
lymph_plt_lv60 2 2 0.894 0.06 0.027 0.713
lymph_plt_lv68 2 2 0.853 0.076 0.052 0.689
lymph_plt_lv94 3 3 0.801 -0.073 0.04 0.788
lymph_plt_lv99 2 2 0.563 0.242 0.401 0.507
mch_plt_lv2 2 2 0.032 0.102 0.998 0.031
mch_plt_lv72 2 2 0.442 0.395 0.591 0.449
mchc_plt_lv68 2 2 0.011 0.79 1 0.022
mcv_plt_lv114 2 2 0.253 -1.17 0.851 0.281
mcv_plt_lv2 2 2 0.025 0.094 0.998 0.012
mono_plt_lv111 2 2 0.473 -38587.038 0.543 0.518
mono_plt_lv129 2 2 0.236 -0.261 0.869 0.336
mono_plt_lv131 2 2 0.473 -29.776 0.543 0.518
mono_plt_lv21 2 2 0.473 -4081544.022 0.543 0.518
mono_plt_lv23 2 2 0.473 -348627.574 0.543 0.518
mono_plt_lv24 2 2 0.484 -0.185 0.525 0.523
mono_plt_lv30 2 2 0.473 -1752970.955 0.543 0.518
mono_plt_lv38 2 2 0.473 -892.809 0.543 0.518
mono_plt_lv46 2 2 0.472 -7108.491 0.544 0.518
mono_plt_lv47 2 2 0.253 -0.281 0.851 0.407
mono_plt_lv48 2 2 0.473 -8395.906 0.543 0.518
mono_plt_lv8 2 2 0.474 -5.646 0.541 0.519
mono_plt_lv81 2 2 0.123 0.482 0.963 0.244
mpv_plt_lv102 2 2 0.125 0.405 0.962 0.236
mpv_plt_lv119 3 3 0.786 0.043 0.046 0.787
mpv_plt_lv71 4 4 0.634 -0.106 0.085 0.649
mpv_plt_lv79 3 2 0.496 0.12 0.254 0.457
myeloid_wbc_plt_lv101 2 2 0.13 -0.416 0.959 0.321
myeloid_wbc_plt_lv119 3 3 0.36 -0.06 0.41 0.265
myeloid_wbc_plt_lv47 2 2 0.257 -0.252 0.846 0.44
myeloid_wbc_plt_lv62 2 2 0.991 0.003 0 0.972
neut_plt_lv119 3 3 0.287 -0.069 0.509 0.249
neut_plt_lv62 2 2 0.954 0.015 0.005 0.851
pdw_plt_lv108 3 3 0.394 -0.114 0.368 0.283
pdw_plt_lv2 2 2 0.828 0.037 0.071 0.673
pdw_plt_lv28 2 2 0.249 0.681 0.854 0.434
pdw_plt_lv62 2 2 0.811 0.107 0.086 0.661
plt_plt_lv120 2 2 0.861 0.032 0.047 0.711
plt_plt_lv62 2 2 0.211 -0.353 0.894 0.376
rbc_plt_lv41 2 2 0.239 -0.34 0.865 0.419
rdw_plt_lv68 2 2 0.172 -0.453 0.929 0.33
ret_plt_lv129 2 2 0.675 0.056 0.239 0.601
ret_plt_lv14 2 2 0.131 -0.146 0.959 0.272
ret_plt_lv19 2 2 0.242 0.541 0.862 0.337
ret_plt_lv2 2 2 0.049 0.102 0.994 0.107
ret_plt_lv47 2 2 0.807 -0.147 0.089 0.679
ret_plt_lv74 2 2 0.019 0.209 0.999 0.017
wbc_plt_lv127 2 2 0.02 0.201 0.999 0.063
wbc_plt_lv47 2 2 0.233 -0.279 0.872 0.436
wbc_plt_lv62 2 2 0.994 -0.002 0 0.976
