factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
EUR.CD_pwy128_pc5 2 2 0.982 -0.014 0.001 0.926
EUR.CD_pwy164_pc1 2 2 0.977 -0.032 0.001 0.94
EUR.CD_pwy168_pc2 2 2 0.866 0.144 0.044 0.689
EUR.CD_pwy19_pc1 2 2 0.37 0.401 0.699 0.358
EUR.CD_pwy253_pc3 2 1 0.541 0.503 0.436 0.605
EUR.CD_pwy31_pc2 2 2 0.05 -0.56 0.994 0.158
EUR.CD_pwy45_pc3 2 2 0.129 -0.695 0.96 0.09
EUR.CD_pwy61_pc5 2 1 0.721 -0.211 0.18 0.523
EUR.CD_pwy73_pc5 2 2 0.772 0.465 0.123 0.553
EUR.CD_pwy77_pc4 2 2 0.265 -1.772 0.836 0.394
EUR.CD_pwy8_pc1 2 2 0.962 -0.054 0.004 0.897
EUR.IBD_pwy104_pc1 2 2 0.062 0.574 0.991 0.191
EUR.IBD_pwy105_pc1 2 2 0.997 -0.003 0 0.991
EUR.IBD_pwy150_pc1 2 2 0.825 -0.083 0.074 0.548
EUR.IBD_pwy163_pc2 2 2 0.077 -0.689 0.986 0.262
EUR.IBD_pwy168_pc2 3 3 0.031 -0.572 0.939 0.227
EUR.IBD_pwy180_pc1 2 2 0.935 -0.047 0.01 0.875
EUR.IBD_pwy182_pc5 3 3 0.008 -0.462 0.984 0.065
EUR.IBD_pwy19_pc1 2 2 0.39 0.312 0.67 0.32
EUR.IBD_pwy230_pc1 2 2 0.907 0.073 0.021 0.71
EUR.IBD_pwy237_pc1 3 3 0.441 0.222 0.313 0.285
EUR.IBD_pwy271_pc1 3 3 0.797 0.07 0.041 0.857
EUR.IBD_pwy272_pc1 3 3 0.312 0.307 0.473 0.242
EUR.IBD_pwy282_pc1 2 2 0.034 -0.363 0.997 0.08
EUR.IBD_pwy285_pc1 3 3 0.728 0.142 0.074 0.747
EUR.IBD_pwy290_pc1 2 2 0.965 -0.021 0.003 0.933
EUR.IBD_pwy291_pc1 3 3 0.73 0.134 0.073 0.805
EUR.IBD_pwy8_pc1 3 3 0.631 -0.236 0.136 0.53
EUR.UC_pwy114_pc2 2 2 0.775 -0.175 0.12 0.616
