factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
EUR.CD_pwy100_pc2 2 2 0.937 0.051 0.01 0.871
EUR.CD_pwy108_pc1 2 2 0.668 -0.418 0.249 0.578
EUR.CD_pwy109_pc4 3 3 0.113 1.387 0.786 0.253
EUR.CD_pwy164_pc1 2 2 0.972 -0.038 0.002 0.913
EUR.CD_pwy167_pc5 2 2 0.047 0.57 0.995 0.112
EUR.CD_pwy19_pc1 2 2 0.395 0.435 0.662 0.429
EUR.CD_pwy31_pc2 2 2 0.075 -0.563 0.986 0.235
EUR.CD_pwy45_pc3 2 2 0.069 -0.758 0.988 0.089
EUR.CD_pwy67_pc3 2 2 0.792 0.195 0.103 0.569
EUR.CD_pwy70_pc3 2 2 0.093 -0.652 0.979 0.208
EUR.CD_pwy73_pc4 2 2 0.057 0.581 0.992 0.097
EUR.CD_pwy73_pc5 2 2 0.788 0.461 0.107 0.551
EUR.CD_pwy77_pc4 2 2 0.221 -1.676 0.884 0.321
EUR.CD_pwy8_pc1 2 2 0.972 -0.039 0.002 0.933
EUR.IBD_pwy105_pc1 2 2 0.973 0.024 0.002 0.928
EUR.IBD_pwy109_pc4 2 2 0.392 1.152 0.666 0.496
EUR.IBD_pwy150_pc1 2 2 0.847 -0.077 0.057 0.605
EUR.IBD_pwy162_pc1 2 2 0.003 -0.303 1 0.007
EUR.IBD_pwy164_pc1 2 2 0.047 0.897 0.995 0.133
EUR.IBD_pwy168_pc2 3 3 0.038 -0.583 0.926 0.207
EUR.IBD_pwy176_pc1 2 2 0.001 -0.438 1 0.004
EUR.IBD_pwy180_pc1 2 2 0.986 -0.011 0.001 0.96
EUR.IBD_pwy182_pc5 2 2 0.083 -0.447 0.983 0.269
EUR.IBD_pwy19_pc1 2 2 0.413 0.339 0.635 0.399
EUR.IBD_pwy231_pc5 2 2 0.885 -0.074 0.032 0.661
EUR.IBD_pwy272_pc1 2 2 0.039 0.399 0.996 0.089
EUR.IBD_pwy285_pc1 2 2 0.984 0.013 0.001 0.936
EUR.IBD_pwy287_pc1 2 2 0.007 0.341 1 0.015
EUR.IBD_pwy290_pc1 2 2 0.967 -0.021 0.003 0.911
EUR.IBD_pwy295_pc1 2 2 0.992 0.008 0 0.982
EUR.IBD_pwy322_pc5 2 1 0.218 0.487 0.888 0.426
EUR.IBD_pwy8_pc1 3 3 0.646 -0.226 0.125 0.574
EUR.UC_pwy126_pc5 2 2 0.053 -0.39 0.993 0.131
EUR.UC_pwy168_pc2 3 3 0.003 -0.65 0.993 0.035
EUR.UC_pwy2_pc1 2 2 0.02 0.62 0.999 0.022
EUR.UC_pwy43_pc3 2 2 0.013 0.731 1 0.041
EUR.UC_pwy97_pc3 3 2 0.193 -0.815 0.652 0.232
T1D_pwy111_pc4 2 2 0.986 0.004 0.001 0.952
T1D_pwy114_pc4 2 2 0.913 -0.023 0.018 0.727
T1D_pwy117_pc2 2 2 0.09 0.442 0.98 0.252
T1D_pwy124_pc1 2 2 0.025 0.467 0.998 0.067
T1D_pwy124_pc4 2 2 0.892 -0.035 0.028 0.783
T1D_pwy126_pc1 4 4 0.972 0.009 0 0.965
T1D_pwy131_pc5 2 2 0.007 0.242 1 0.016
T1D_pwy139_pc3 3 3 0.948 -0.027 0.003 0.979
T1D_pwy143_pc4 2 2 0.951 -0.01 0.006 0.86
T1D_pwy154_pc4 2 2 0.925 0.024 0.014 0.852
