factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
EUR.CD_plt_lv115 2 2 0.093 -2.168 0.979 0.223
EUR.IBD_plt_lv115 3 3 0.556 -0.923 0.197 0.375
EUR.IBD_plt_lv60 3 3 0.983 -0.026 0 0.986
EUR.UC_plt_lv123 2 2 0.364 0.634 0.707 0.335
T1D_plt_lv117 2 2 0.024 -0.501 0.999 0.065
T1D_plt_lv12 2 2 0.978 0.038 0.001 0.925
T1D_plt_lv78 2 2 0.089 -1.642 0.98 0.244
allergy_plt_lv127 2 2 0.987 -0.007 0 0.944
baso_plt_lv95 2 2 0.276 -0.519 0.824 0.429
eo_plt_lv121 2 2 0.924 0.071 0.014 0.841
eo_plt_lv129 2 2 0.451 -0.086 0.577 0.463
gran_plt_lv62 3 3 0.632 0.076 0.136 0.623
hct_plt_lv109 2 2 0.355 -0.052 0.72 0.173
hgb_plt_lv109 2 2 0.255 -0.059 0.847 0.059
hgb_plt_lv68 3 3 0.013 0.289 0.975 0.041
lymph_plt_lv60 2 2 0.887 0.063 0.031 0.716
lymph_plt_lv94 5 5 0.397 -0.208 0.183 0.39
mch_plt_lv114 2 2 0.184 -1.085 0.918 0.224
mch_plt_lv2 2 2 0.152 0.081 0.944 0.293
mch_plt_lv82 2 2 0.127 0.291 0.961 0.255
mchc_plt_lv47 2 2 0.051 0.185 0.994 0.104
mcv_plt_lv114 2 2 0.241 -1.166 0.863 0.304
mcv_plt_lv22 3 3 0.591 -0.151 0.168 0.586
mcv_plt_lv82 2 2 0.114 0.271 0.968 0.236
mono_plt_lv111 3 3 0.417 -30588.995 0.34 0.42
mono_plt_lv129 2 2 0.236 -0.237 0.869 0.326
mono_plt_lv131 3 3 0.416 -23.706 0.342 0.42
mono_plt_lv2 2 2 0.059 -0.102 0.992 0.107
mono_plt_lv23 3 3 0.416 -276436.977 0.341 0.42
mono_plt_lv38 3 3 0.417 -708.363 0.34 0.42
mono_plt_lv46 3 3 0.416 -5628.991 0.341 0.418
mono_plt_lv48 3 3 0.416 -6656.286 0.341 0.42
mono_plt_lv8 3 3 0.414 -4.529 0.343 0.418
mpv_plt_lv102 2 2 0.149 0.427 0.946 0.255
mpv_plt_lv119 3 3 0.794 0.042 0.042 0.793
mpv_plt_lv33 2 2 0.836 0.119 0.065 0.718
mpv_plt_lv68 2 2 0.124 0.315 0.962 0.184
mpv_plt_lv71 3 3 0.619 0.135 0.145 0.608
myeloid_wbc_plt_lv104 2 2 0.83 -0.077 0.07 0.608
myeloid_wbc_plt_lv119 2 2 0.089 -0.1 0.981 0.161
myeloid_wbc_plt_lv43 2 2 0.867 0.064 0.043 0.669
myeloid_wbc_plt_lv62 2 2 0.966 0.011 0.003 0.91
neut_plt_lv4 2 2 0.077 -0.153 0.985 0.188
neut_plt_lv62 2 2 0.931 0.023 0.012 0.769
pct_plt_lv122 2 2 0.92 0.041 0.016 0.791
pdw_plt_lv102 2 2 0.076 0.408 0.986 0.153
pdw_plt_lv108 2 2 0.306 -0.177 0.786 0.453
pdw_plt_lv71 2 2 0.097 0.339 0.977 0.204
plt_plt_lv102 2 2 0.12 -0.384 0.965 0.229
plt_plt_lv120 3 3 0.566 0.061 0.188 0.512
plt_plt_lv122 2 2 1 0 0 0.999
plt_plt_lv62 3 3 0.073 -0.341 0.859 0.171
rdw_plt_lv102 2 2 0.346 0.713 0.733 0.484
ret_plt_lv2 2 2 0.035 0.101 0.997 0.082
ret_plt_lv93 2 2 0.403 0.316 0.651 0.404
ukb.allasthma_plt_lv62 2 2 0.777 -0.173 0.118 0.604
ukb.allasthma_plt_lv97 2 2 0.925 -0.093 0.014 0.904
wbc_plt_lv4 2 2 0.023 -0.163 0.999 0.045
wbc_plt_lv62 2 2 0.977 0.007 0.001 0.946
