factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
HDL_pwy1027_pc5 2 2 0.816 -0.022 0.081 0.671
HDL_pwy1073_pc4 2 2 0.007 -0.093 1 0.017
HDL_pwy1087_pc1 3 3 0.525 0.12 0.225 0.424
HDL_pwy1093_pc4 2 2 0.433 0.068 0.605 0.431
HDL_pwy1106_pc2 2 2 0.468 -0.059 0.55 0.477
HDL_pwy1109_pc1 2 2 0.344 0.2 0.735 0.49
HDL_pwy1115_pc2 2 2 0.707 0.122 0.198 0.549
HDL_pwy1126_pc1 2 2 0.052 -0.1 0.993 0.034
HDL_pwy1139_pc1 2 2 0.909 0.013 0.02 0.783
HDL_pwy1151_pc5 3 3 0.573 0.046 0.182 0.538
HDL_pwy1158_pc5 3 2 0.864 -0.014 0.018 0.886
HDL_pwy1159_pc4 2 2 0.032 0.065 0.997 0.015
HDL_pwy1187_pc1 2 2 0.229 -0.108 0.876 0.383
HDL_pwy1203_pc1 2 2 0.733 0.062 0.166 0.61
HDL_pwy1210_pc3 2 2 0.252 -0.245 0.851 0.39
HDL_pwy1215_pc4 2 2 0.602 0.064 0.342 0.575
HDL_pwy1222_pc1 2 2 0.391 0.224 0.668 0.467
HDL_pwy1222_pc3 3 3 0.635 0.026 0.133 0.579
HDL_pwy1229_pc2 2 2 0.742 0.087 0.156 0.584
HDL_pwy1239_pc1 3 3 0.634 0.026 0.134 0.68
HDL_pwy1256_pc3 2 2 0.302 -0.131 0.792 0.381
HDL_pwy12_pc3 2 2 0.252 -0.245 0.851 0.39
HDL_pwy146_pc5 2 2 0.133 0.088 0.957 0.238
HDL_pwy153_pc3 2 2 0.942 -0.008 0.008 0.878
HDL_pwy178_pc3 2 2 0.928 -0.01 0.013 0.834
HDL_pwy183_pc1 3 3 0.656 -0.033 0.119 0.6
HDL_pwy188_pc4 2 2 0.285 0.173 0.812 0.409
HDL_pwy189_pc3 3 3 0.655 -0.031 0.119 0.621
HDL_pwy191_pc4 2 2 0.061 -0.128 0.991 0.136
HDL_pwy197_pc5 2 2 0.926 -0.01 0.013 0.806
HDL_pwy198_pc4 2 2 0.107 0.089 0.972 0.202
HDL_pwy198_pc5 2 2 0.375 -0.228 0.692 0.469
HDL_pwy207_pc2 2 2 0.111 0.062 0.97 0.244
HDL_pwy226_pc1 2 2 0.026 0.069 0.998 0.045
HDL_pwy243_pc3 2 2 0.738 0.033 0.16 0.572
HDL_pwy256_pc5 2 2 0.932 -0.014 0.011 0.884
HDL_pwy259_pc5 2 2 0.538 0.061 0.44 0.555
HDL_pwy260_pc4 2 2 0.348 0.305 0.73 0.494
HDL_pwy276_pc5 2 2 0.037 0.073 0.997 0.084
HDL_pwy27_pc3 2 2 0.252 -0.245 0.851 0.39
HDL_pwy304_pc1 2 2 0.071 0.066 0.988 0.128
HDL_pwy307_pc4 2 2 0.123 0.088 0.963 0.194
HDL_pwy338_pc2 2 2 0.716 -0.055 0.186 0.573
