factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
EUR.CD_tcell_lv20 2 2 0.773 0.653 0.122 0.655
EUR.CD_tcell_lv27 2 2 0.982 -0.041 0.001 0.946
EUR.CD_tcell_lv61 3 3 0.626 -0.984 0.14 0.568
EUR.IBD_tcell_lv132 2 2 0.992 0.021 0 0.958
EUR.IBD_tcell_lv20 2 2 0.967 0.072 0.003 0.9
EUR.IBD_tcell_lv61 3 3 0.444 1.218 0.309 0.267
EUR.UC_tcell_lv121 2 1 0.919 0.575 0.016 0.796
EUR.UC_tcell_lv61 2 2 0.076 2.802 0.986 0.236
T1D_tcell_lv94 2 2 0.193 2.688 0.911 0.327
baso_tcell_lv12 2 2 0.898 -0.023 0.025 0.807
baso_tcell_lv18 2 2 0.245 -0.531 0.859 0.354
baso_tcell_lv68 2 2 0.005 -0.304 1 0.026
eo_tcell_lv121 2 2 0.964 0.021 0.003 0.921
gran_tcell_lv45 2 2 0.87 -0.051 0.041 0.702
hct_tcell_lv2 2 2 0.02 -0.119 0.999 0.03
hgb_tcell_lv119 2 2 0.679 0.218 0.234 0.543
lymph_tcell_lv132 2 2 0.961 0.022 0.004 0.883
lymph_tcell_lv59 2 2 0.076 0.183 0.986 0.205
mch_tcell_lv126 2 2 0.003 -0.334 1 0.017
mch_tcell_lv13 2 2 0.971 -0.011 0.002 0.946
mch_tcell_lv14 2 2 0.044 -0.167 0.995 0.059
mch_tcell_lv146 2 2 0.041 -0.289 0.996 0.043
mchc_tcell_lv109 3 3 0.61 -0.285 0.152 0.526
mchc_tcell_lv21 2 2 0.9 -0.082 0.025 0.773
mcv_tcell_lv13 2 2 0.983 0.007 0.001 0.965
mcv_tcell_lv131 2 2 0.04 -0.146 0.996 0.05
mcv_tcell_lv132 2 2 0.053 0.893 0.993 0.12
mcv_tcell_lv137 2 2 0.953 -0.006 0.005 0.886
mono_tcell_lv59 3 3 0.321 -0.099 0.461 0.338
mono_tcell_lv69 3 3 0.556 0.168 0.197 0.52
mono_tcell_lv87 2 2 0.157 0.594 0.94 0.189
mpv_tcell_lv117 2 1 0.699 0.287 0.208 0.544
mpv_tcell_lv137 2 2 0.973 0.005 0.002 0.944
mpv_tcell_lv29 2 2 0.038 0.418 0.996 0.067
mpv_tcell_lv84 2 2 0.737 -0.4 0.162 0.634
neut_tcell_lv44 2 2 0.78 -0.076 0.114 0.619
neut_tcell_lv45 2 2 0.896 -0.039 0.027 0.708
pct_tcell_lv101 2 2 0.104 0.519 0.974 0.255
pct_tcell_lv55 2 2 0.207 0.454 0.898 0.404
pct_tcell_lv83 2 2 0.905 -0.063 0.022 0.798
pct_tcell_lv84 2 2 0.966 -0.034 0.003 0.919
pdw_tcell_lv77 2 2 0.747 -0.114 0.149 0.647
pdw_tcell_lv84 2 2 0.898 -0.133 0.026 0.782
plt_tcell_lv101 2 2 0.105 0.394 0.973 0.195
plt_tcell_lv32 3 3 0.515 -0.206 0.235 0.449
plt_tcell_lv68 2 2 0.73 0.307 0.17 0.549
plt_tcell_lv84 3 3 0.701 0.228 0.089 0.711
rbc_tcell_lv132 2 2 0.053 -0.603 0.993 0.15
rbc_tcell_lv137 2 2 0.208 0.148 0.897 0.405
rbc_tcell_lv84 2 2 0.081 -0.43 0.984 0.209
rdw_tcell_lv14 4 4 0.315 0.143 0.326 0.284
rdw_tcell_lv93 2 2 0.221 0.675 0.884 0.368
ret_tcell_lv100 3 3 0.352 -0.213 0.419 0.324
ret_tcell_lv135 2 2 0.298 0.243 0.796 0.456
ret_tcell_lv35 2 2 0.427 0.44 0.614 0.405
ukb.allasthma_tcell_lv90 2 1 0.649 0.733 0.275 0.52
wbc_tcell_lv45 2 2 0.919 -0.031 0.016 0.733
wbc_tcell_lv69 2 2 0.922 -0.045 0.015 0.802
