factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
EUR.CD_tcell_lv20 2 2 0.765 0.681 0.131 0.653
EUR.CD_tcell_lv27 3 3 0.477 0.923 0.274 0.408
EUR.IBD_tcell_lv132 2 2 0.937 0.161 0.01 0.787
EUR.IBD_tcell_lv20 2 2 0.953 0.102 0.005 0.872
EUR.IBD_tcell_lv27 2 2 0.004 1.184 1 0.012
EUR.UC_tcell_lv109 2 2 0.126 2.099 0.961 0.318
T1D_tcell_lv94 2 2 0.197 2.558 0.907 0.327
baso_tcell_lv12 2 2 0.92 -0.019 0.016 0.802
baso_tcell_lv45 2 2 0.25 -0.402 0.854 0.459
eo_tcell_lv121 2 2 0.991 0.005 0 0.971
eo_tcell_lv45 2 2 0.074 -0.389 0.987 0.187
gran_tcell_lv45 3 3 0.373 -0.35 0.393 0.25
hct_tcell_lv84 2 2 0.048 -0.431 0.994 0.087
hgb_tcell_lv84 2 2 0.041 -0.399 0.996 0.079
lymph_tcell_lv59 3 3 0.02 0.198 0.961 0.09
mch_tcell_lv126 2 2 0.024 -0.332 0.999 0.052
mch_tcell_lv13 2 2 0.992 -0.003 0 0.989
mch_tcell_lv137 2 2 0.273 -0.127 0.828 0.277
mch_tcell_lv14 2 2 0.011 -0.172 1 0.015
mch_tcell_lv146 2 2 0.036 -0.28 0.997 0.057
mchc_tcell_lv109 3 3 0.849 -0.113 0.023 0.878
mchc_tcell_lv111 3 3 0.75 -0.142 0.063 0.761
mchc_tcell_lv21 2 2 0.955 -0.038 0.005 0.922
mcv_tcell_lv103 2 2 0.488 -0.287 0.519 0.497
mcv_tcell_lv12 2 2 0.248 -0.21 0.855 0.319
mcv_tcell_lv13 2 2 0.963 0.016 0.003 0.933
mcv_tcell_lv131 2 2 0.025 -0.146 0.998 0.023
mcv_tcell_lv132 3 3 0.889 0.067 0.012 0.855
mcv_tcell_lv137 2 2 0.974 -0.003 0.002 0.931
mono_tcell_lv59 3 3 0.355 -0.109 0.416 0.377
mono_tcell_lv69 2 2 0.046 0.351 0.995 0.069
mpv_tcell_lv117 2 1 0.697 0.259 0.21 0.543
mpv_tcell_lv137 2 2 0.967 0.006 0.003 0.935
mpv_tcell_lv29 2 2 0.084 0.399 0.983 0.159
mpv_tcell_lv84 2 2 0.754 -0.38 0.142 0.642
neut_tcell_lv44 2 2 0.755 -0.084 0.141 0.594
neut_tcell_lv45 2 2 0.868 -0.05 0.042 0.703
pct_tcell_lv55 2 2 0.176 0.443 0.925 0.339
pct_tcell_lv74 2 2 0.093 0.463 0.979 0.149
pct_tcell_lv84 2 2 0.965 -0.034 0.003 0.913
pdw_tcell_lv142 2 2 0.147 -0.267 0.948 0.215
pdw_tcell_lv77 2 2 0.768 -0.106 0.127 0.653
pdw_tcell_lv84 2 2 0.915 -0.112 0.018 0.803
pdw_tcell_lv92 2 2 0.047 0.305 0.995 0.1
plt_tcell_lv32 2 2 0.23 -0.461 0.875 0.395
plt_tcell_lv84 3 3 0.712 0.218 0.083 0.741
rbc_tcell_lv132 2 2 0.031 -0.651 0.998 0.092
rbc_tcell_lv39 2 2 0.013 -0.307 1 0.005
rbc_tcell_lv84 2 2 0.087 -0.413 0.981 0.201
ret_tcell_lv100 2 2 0.991 0.005 0 0.978
ukb.allasthma_tcell_lv90 2 1 0.677 0.685 0.236 0.562
wbc_tcell_lv146 4 4 0.435 -0.193 0.212 0.446
wbc_tcell_lv45 2 2 0.889 -0.043 0.03 0.706
wbc_tcell_lv69 2 2 0.912 -0.046 0.019 0.776
