factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
EUR.CD_pwy111_pc4 2 2 0.101 -0.344 0.975 0.164
EUR.CD_pwy123_pc4 2 2 0.106 -0.505 0.972 0.166
EUR.CD_pwy131_pc2 2 1 0.149 -0.798 0.947 0.1
EUR.CD_pwy132_pc1 2 2 0.957 -0.041 0.005 0.899
EUR.CD_pwy135_pc3 3 3 0.36 0.473 0.41 0.278
EUR.CD_pwy175_pc2 2 2 0.105 -0.578 0.973 0.155
EUR.CD_pwy176_pc1 2 2 0.135 0.696 0.956 0.18
EUR.CD_pwy178_pc4 2 2 0.141 -0.567 0.952 0.182
EUR.CD_pwy184_pc5 2 2 0.127 -0.492 0.961 0.18
EUR.CD_pwy187_pc2 2 2 0.746 -0.49 0.151 0.612
EUR.CD_pwy268_pc2 2 1 0.566 0.499 0.396 0.608
EUR.CD_pwy291_pc2 2 1 0.648 0.237 0.275 0.545
EUR.CD_pwy299_pc1 2 2 0.666 0.375 0.25 0.549
EUR.CD_pwy34_pc1 2 2 0.087 -1.228 0.981 0.271
EUR.CD_pwy41_pc4 2 2 0.869 -0.14 0.042 0.643
EUR.CD_pwy44_pc4 2 2 0.83 -0.168 0.07 0.609
EUR.CD_pwy58_pc1 2 2 0.009 0.836 1 0.012
EUR.CD_pwy92_pc3 3 3 0.463 -0.24 0.288 0.426
EUR.IBD_pwy129_pc4 2 2 0.158 -0.334 0.94 0.247
EUR.IBD_pwy137_pc4 2 2 0.81 0.071 0.086 0.5
EUR.IBD_pwy139_pc4 3 3 0.589 -0.096 0.169 0.503
EUR.IBD_pwy155_pc4 2 2 0.629 -0.158 0.303 0.47
EUR.IBD_pwy175_pc2 2 2 0.16 -0.398 0.938 0.262
EUR.IBD_pwy187_pc2 2 2 0.901 -0.122 0.024 0.765
EUR.IBD_pwy191_pc4 2 2 0.003 0.462 1 0.007
EUR.IBD_pwy195_pc4 2 2 0.125 0.37 0.962 0.239
EUR.IBD_pwy196_pc3 2 2 0.928 0.054 0.013 0.863
EUR.IBD_pwy197_pc4 2 2 0.127 0.312 0.961 0.239
EUR.IBD_pwy198_pc2 2 2 0.032 0.523 0.997 0.135
EUR.IBD_pwy200_pc4 2 2 0.83 -0.142 0.07 0.521
EUR.IBD_pwy204_pc2 2 2 0.242 1.133 0.863 0.382
EUR.IBD_pwy205_pc4 2 2 0.181 0.302 0.921 0.258
EUR.IBD_pwy206_pc3 2 2 0.182 -0.361 0.92 0.258
EUR.IBD_pwy218_pc4 2 2 0.131 0.379 0.958 0.243
EUR.IBD_pwy230_pc3 2 2 0.164 0.483 0.935 0.251
EUR.IBD_pwy236_pc4 2 2 0.624 0.17 0.311 0.47
EUR.IBD_pwy266_pc2 2 2 0.019 0.332 0.999 0.018
EUR.IBD_pwy271_pc4 3 3 0.348 0.165 0.425 0.267
EUR.IBD_pwy281_pc5 2 2 0.926 -0.051 0.013 0.735
EUR.IBD_pwy284_pc3 2 2 0.76 0.165 0.136 0.474
EUR.IBD_pwy286_pc4 2 2 0.175 0.235 0.926 0.255
EUR.IBD_pwy289_pc4 2 2 0.847 0.068 0.056 0.562
EUR.IBD_pwy315_pc1 2 2 0.859 -0.11 0.048 0.565
EUR.IBD_pwy319_pc4 2 2 0.161 0.337 0.937 0.25
EUR.IBD_pwy41_pc4 3 3 0.811 0.121 0.036 0.877
EUR.IBD_pwy44_pc4 2 2 0.853 -0.125 0.052 0.561
EUR.IBD_pwy58_pc1 2 2 0.03 0.674 0.998 0.103
EUR.IBD_pwy63_pc2 2 2 0.046 -0.612 0.995 0.009
EUR.IBD_pwy96_pc4 2 2 0.833 -0.087 0.067 0.525
EUR.UC_pwy102_pc1 2 2 0.05 0.342 0.994 0.177
EUR.UC_pwy130_pc1 2 2 0.05 0.506 0.994 0.18
EUR.UC_pwy137_pc4 2 2 0.903 0.038 0.023 0.663
EUR.UC_pwy139_pc4 2 2 0.843 0.072 0.059 0.643
EUR.UC_pwy155_pc4 2 2 0.917 -0.055 0.017 0.709
EUR.UC_pwy196_pc3 2 2 0.814 0.158 0.083 0.638
EUR.UC_pwy200_pc4 2 2 0.92 -0.07 0.016 0.719
EUR.UC_pwy204_pc2 3 3 0.029 0.968 0.944 0.047
EUR.UC_pwy228_pc3 2 2 0.944 0.052 0.008 0.8
EUR.UC_pwy242_pc4 2 2 0.771 0.159 0.124 0.638
EUR.UC_pwy265_pc5 2 2 0.88 -0.087 0.035 0.623
EUR.UC_pwy289_pc4 2 2 0.958 0.02 0.004 0.86
EUR.UC_pwy292_pc2 2 2 0.169 0.306 0.931 0.372
EUR.UC_pwy294_pc2 2 2 0.851 -0.079 0.054 0.7
EUR.UC_pwy2_pc1 2 2 0.104 0.439 0.973 0.271
EUR.UC_pwy300_pc4 2 2 0.917 0.053 0.017 0.709
EUR.UC_pwy307_pc2 2 2 0.111 -0.413 0.97 0.325
EUR.UC_pwy41_pc4 2 2 0.93 -0.074 0.012 0.781
EUR.UC_pwy55_pc1 2 1 0.793 0.474 0.102 0.594
EUR.UC_pwy7_pc3 2 1 0.008 -0.506 1 0.037
EUR.UC_pwy91_pc1 2 2 0.099 0.552 0.976 0.303
EUR.UC_pwy96_pc4 2 2 0.918 -0.045 0.017 0.714
T1D_pwy111_pc1 2 2 0.862 0.104 0.046 0.725
T1D_pwy118_pc2 2 2 0.939 -0.039 0.009 0.86
T1D_pwy121_pc1 2 2 0.862 0.19 0.046 0.714
T1D_pwy123_pc1 2 2 0.99 0.007 0 0.983
T1D_pwy132_pc1 2 2 0.362 0.522 0.71 0.327
T1D_pwy134_pc1 2 2 0.013 0.588 1 0.019
T1D_pwy135_pc2 2 2 0.964 -0.031 0.003 0.908
T1D_pwy136_pc4 2 2 0.031 0.247 0.998 0.082
T1D_pwy144_pc4 2 2 0.602 -0.904 0.343 0.514
T1D_pwy155_pc4 2 2 0.029 -0.294 0.998 0.077
T1D_pwy168_pc4 2 2 0.078 0.512 0.985 0.187
T1D_pwy179_pc2 2 2 0.84 -0.14 0.062 0.677
T1D_pwy187_pc1 2 2 0.932 0.057 0.011 0.886
T1D_pwy18_pc4 2 2 0.069 0.284 0.988 0.148
T1D_pwy191_pc1 2 2 0.957 0.043 0.004 0.892
T1D_pwy192_pc4 2 2 0.019 -0.325 0.999 0.06
T1D_pwy233_pc1 2 2 0.836 -0.156 0.065 0.686
T1D_pwy276_pc2 2 2 0.797 0.185 0.098 0.647
T1D_pwy284_pc1 2 2 0.805 -0.156 0.091 0.662
T1D_pwy303_pc1 2 2 0.987 0.012 0 0.976
T1D_pwy305_pc1 2 2 0.904 0.12 0.022 0.768
T1D_pwy306_pc1 2 2 0.978 0.022 0.001 0.933
T1D_pwy330_pc3 2 2 0.155 -0.548 0.942 0.284
T1D_pwy45_pc2 2 2 0.02 -0.596 0.999 0.047
T1D_pwy57_pc1 2 2 0.692 -1.101 0.216 0.563
T1D_pwy58_pc2 2 2 0.09 0.734 0.98 0.168
T1D_pwy72_pc3 3 3 0.001 0.751 0.999 0
T1D_pwy88_pc1 2 2 0.064 0.682 0.99 0.159
T1D_pwy96_pc4 2 2 0.006 -0.268 1 0.011
allergy_pwy103_pc2 2 2 0.913 -0.045 0.019 0.751
allergy_pwy139_pc3 2 2 0.023 -0.085 0.999 0.081
allergy_pwy150_pc3 2 2 0.05 -0.085 0.994 0.079
allergy_pwy157_pc1 2 2 0.204 -0.243 0.9 0.404
allergy_pwy158_pc3 3 3 0.472 -0.057 0.279 0.399
allergy_pwy161_pc2 2 2 0.831 0.036 0.068 0.658
allergy_pwy16_pc4 2 2 0.979 0.004 0.001 0.916
allergy_pwy186_pc1 2 2 0.98 -0.003 0.001 0.94
allergy_pwy18_pc5 2 2 0.102 0.089 0.974 0.241
allergy_pwy193_pc4 2 0 0.055 0.14 0.993 0.16
allergy_pwy248_pc5 2 2 0.072 -0.119 0.987 0.183
allergy_pwy273_pc1 2 2 0.821 0.03 0.077 0.658
allergy_pwy291_pc1 2 2 0.843 -0.012 0.06 0.658
allergy_pwy294_pc2 2 2 0.789 0.031 0.106 0.648
allergy_pwy300_pc5 2 2 0.001 0.084 1 0
allergy_pwy302_pc5 2 2 0.024 -0.081 0.999 0.021
allergy_pwy306_pc1 2 2 0.791 -0.105 0.104 0.623
allergy_pwy316_pc2 2 2 0.988 -0.002 0 0.96
allergy_pwy320_pc5 3 2 0.393 -0.128 0.369 0.259
allergy_pwy45_pc2 2 2 0.001 0.16 1 0
allergy_pwy48_pc1 2 2 0.065 -0.166 0.99 0.204
allergy_pwy58_pc2 2 2 0.929 -0.019 0.012 0.817
allergy_pwy74_pc2 3 3 0.877 0.017 0.015 0.89
allergy_pwy83_pc5 2 2 0.058 0.147 0.992 0.192
baso_pwy114_pc2 2 2 0.112 -0.079 0.969 0.28
baso_pwy121_pc4 2 2 0.947 0.004 0.007 0.833
baso_pwy131_pc1 2 2 0.221 0.128 0.884 0.449
baso_pwy138_pc1 4 4 0.004 0.054 0.952 0.042
baso_pwy143_pc4 2 2 0.65 0.023 0.273 0.597
baso_pwy149_pc5 2 2 0.645 -0.046 0.279 0.597
baso_pwy153_pc1 2 2 0.061 -0.092 0.991 0.115
baso_pwy153_pc2 2 2 0.648 0.052 0.276 0.597
baso_pwy161_pc4 2 2 0.653 -0.036 0.268 0.597
baso_pwy172_pc1 2 2 0.969 -0.002 0.002 0.928
baso_pwy173_pc4 2 2 0.63 0.033 0.301 0.597
baso_pwy183_pc4 2 2 0.965 0.003 0.003 0.868
baso_pwy189_pc4 2 2 0.01 0.061 1 0.034
baso_pwy200_pc4 2 2 0.623 -0.042 0.311 0.597
baso_pwy201_pc4 2 2 0.604 -0.038 0.339 0.597
baso_pwy204_pc4 2 2 0.597 0.047 0.351 0.596
baso_pwy205_pc4 2 2 0.619 0.031 0.318 0.597
baso_pwy210_pc4 2 2 0.952 -0.004 0.006 0.902
baso_pwy222_pc4 2 2 0.984 0.002 0.001 0.933
baso_pwy236_pc4 2 2 0.626 0.039 0.307 0.597
baso_pwy242_pc2 3 3 0.011 0.146 0.979 0.081
baso_pwy251_pc2 2 2 0.99 -0.002 0 0.948
baso_pwy262_pc3 2 2 0.904 0.017 0.023 0.748
baso_pwy265_pc4 2 2 0.972 -0.003 0.002 0.906
baso_pwy271_pc4 2 2 0.58 0.028 0.376 0.596
baso_pwy277_pc4 2 2 0.086 0.111 0.982 0.143
baso_pwy282_pc4 2 2 0.952 -0.003 0.006 0.843
baso_pwy283_pc4 2 2 0.598 -0.031 0.348 0.597
baso_pwy284_pc4 2 2 0.636 -0.032 0.293 0.597
baso_pwy290_pc4 2 2 0.624 -0.03 0.311 0.597
baso_pwy290_pc5 2 2 0.993 0 0 0.974
baso_pwy295_pc3 2 2 0.925 -0.005 0.014 0.802
baso_pwy311_pc2 2 2 0.999 0 0 0.993
baso_pwy317_pc5 2 2 0.956 -0.004 0.005 0.849
baso_pwy39_pc2 2 2 0.849 0.028 0.055 0.685
baso_pwy3_pc2 3 3 0.802 0.019 0.039 0.855
baso_pwy49_pc1 2 2 0.9 -0.016 0.025 0.717
baso_pwy50_pc4 2 2 0.984 -0.002 0.001 0.934
baso_pwy77_pc3 2 2 0.956 -0.005 0.005 0.835
