factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
EUR.CD_pwy132_pc1 2 2 0.959 -0.042 0.004 0.877
EUR.CD_pwy164_pc1 2 2 0.008 0.676 1 0.032
EUR.CD_pwy170_pc3 2 2 0.916 0.08 0.017 0.795
EUR.CD_pwy175_pc2 2 2 0.113 -0.551 0.969 0.163
EUR.CD_pwy178_pc4 2 2 0.154 -0.528 0.943 0.202
EUR.CD_pwy184_pc5 2 2 0.111 -0.503 0.97 0.188
EUR.CD_pwy185_pc1 2 2 0.941 0.054 0.009 0.82
EUR.CD_pwy187_pc1 2 1 0.008 0.672 1 0.008
EUR.CD_pwy193_pc4 2 0 0.132 0.477 0.957 0.223
EUR.CD_pwy215_pc2 2 2 0.249 -1.69 0.855 0.409
EUR.CD_pwy22_pc1 2 2 0.907 0.113 0.021 0.785
EUR.CD_pwy233_pc3 2 2 0.125 0.509 0.962 0.197
EUR.CD_pwy238_pc4 2 0 0.145 0.403 0.949 0.277
EUR.CD_pwy242_pc5 2 2 0.808 0.19 0.088 0.609
EUR.CD_pwy281_pc4 2 0 0.16 -0.33 0.938 0.315
EUR.CD_pwy291_pc2 2 1 0.681 0.219 0.231 0.556
EUR.CD_pwy295_pc4 2 2 0.104 0.833 0.973 0.292
EUR.CD_pwy300_pc1 2 0 0.036 0.946 0.997 0.034
EUR.CD_pwy303_pc1 2 2 0.038 0.646 0.996 0.135
EUR.CD_pwy320_pc2 2 0 0.199 -0.341 0.906 0.411
EUR.CD_pwy323_pc4 2 0 0.177 -0.369 0.924 0.37
EUR.CD_pwy325_pc3 2 0 0.205 0.369 0.9 0.417
EUR.CD_pwy326_pc3 2 1 0.928 -0.055 0.013 0.768
EUR.CD_pwy326_pc4 2 0 0.19 -0.416 0.913 0.395
EUR.CD_pwy331_pc5 2 0 0.126 -0.441 0.961 0.198
EUR.CD_pwy34_pc1 2 2 0.099 -1.22 0.976 0.305
EUR.CD_pwy54_pc1 2 2 0.773 -0.265 0.122 0.577
EUR.CD_pwy55_pc5 2 2 0.918 -0.079 0.017 0.77
EUR.CD_pwy63_pc3 2 2 0.955 0.053 0.005 0.844
EUR.CD_pwy86_pc4 2 2 0 0.491 1 0
EUR.IBD_pwy137_pc4 2 2 0.778 0.08 0.117 0.541
EUR.IBD_pwy139_pc4 2 2 0.987 -0.005 0 0.942
EUR.IBD_pwy155_pc4 2 2 0.814 -0.113 0.083 0.561
EUR.IBD_pwy175_pc2 2 2 0.168 -0.379 0.932 0.261
EUR.IBD_pwy178_pc4 2 2 0.171 -0.434 0.93 0.254
EUR.IBD_pwy195_pc4 2 2 0.123 0.38 0.963 0.232
EUR.IBD_pwy196_pc3 2 2 0.954 0.032 0.005 0.908
EUR.IBD_pwy200_pc4 2 2 0.86 -0.109 0.048 0.64
EUR.IBD_pwy206_pc3 2 2 0.159 -0.38 0.939 0.249
EUR.IBD_pwy215_pc2 2 2 0.019 -1.089 0.999 0.054
EUR.IBD_pwy230_pc3 2 2 0.154 0.531 0.942 0.42
EUR.IBD_pwy238_pc5 2 1 0.899 0.074 0.025 0.719
EUR.IBD_pwy242_pc4 2 2 0.939 0.04 0.009 0.893
EUR.IBD_pwy243_pc4 2 0 0.114 0.509 0.968 0.048
EUR.IBD_pwy251_pc5 2 0 0.103 -0.537 0.974 0.048
EUR.IBD_pwy267_pc1 2 2 0.084 -0.72 0.983 0.248
EUR.IBD_pwy271_pc4 2 2 0.837 0.073 0.064 0.586
EUR.IBD_pwy281_pc5 2 2 0.908 -0.071 0.021 0.736
EUR.IBD_pwy288_pc4 2 2 0.173 -0.229 0.928 0.257
EUR.IBD_pwy289_pc4 2 2 0.827 0.074 0.072 0.571
EUR.IBD_pwy325_pc5 2 1 0.909 0.064 0.02 0.75
