factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
EUR.CD_tcell_lv20 3 3 0.518 0.928 0.233 0.498
EUR.CD_tcell_lv27 3 3 0.477 0.923 0.274 0.387
EUR.IBD_tcell_lv132 2 2 0.937 0.161 0.01 0.798
EUR.IBD_tcell_lv20 2 2 0.953 0.102 0.005 0.842
EUR.UC_tcell_lv109 2 2 0.126 2.099 0.961 0.29
T1D_tcell_lv94 2 2 0.197 2.558 0.907 0.365
baso_tcell_lv12 2 2 0.92 -0.019 0.016 0.836
baso_tcell_lv45 2 2 0.25 -0.402 0.854 0.415
eo_tcell_lv121 2 2 0.991 0.005 0 0.984
eo_tcell_lv45 2 2 0.074 -0.389 0.987 0.169
gran_tcell_lv101 2 2 0.017 0.42 0.999 0.052
gran_tcell_lv45 3 3 0.373 -0.35 0.393 0.232
hct_tcell_lv84 2 2 0.048 -0.431 0.994 0.078
lymph_tcell_lv59 2 2 0.01 0.172 1 0.015
mch_tcell_lv126 2 2 0.024 -0.332 0.999 0.056
mch_tcell_lv13 2 2 0.992 -0.003 0 0.979
mch_tcell_lv137 2 2 0.273 -0.127 0.828 0.281
mch_tcell_lv14 2 2 0.011 -0.172 1 0.02
mch_tcell_lv146 2 2 0.036 -0.28 0.997 0.044
mchc_tcell_lv109 2 2 0.766 -0.281 0.129 0.544
mchc_tcell_lv111 3 3 0.75 -0.142 0.063 0.77
mchc_tcell_lv21 2 2 0.955 -0.038 0.005 0.91
mcv_tcell_lv103 2 2 0.488 -0.287 0.519 0.502
mcv_tcell_lv12 2 2 0.248 -0.21 0.855 0.315
mcv_tcell_lv13 2 2 0.963 0.016 0.003 0.917
mcv_tcell_lv131 2 2 0.025 -0.146 0.998 0.028
mcv_tcell_lv132 2 2 0.074 0.961 0.986 0.164
mcv_tcell_lv137 2 2 0.974 -0.003 0.002 0.947
mono_tcell_lv59 3 3 0.355 -0.109 0.416 0.344
mono_tcell_lv69 2 2 0.046 0.351 0.995 0.079
mpv_tcell_lv117 2 1 0.697 0.259 0.21 0.574
mpv_tcell_lv29 2 2 0.084 0.399 0.983 0.171
mpv_tcell_lv84 3 3 0.521 -0.403 0.229 0.486
neut_tcell_lv101 2 2 0.003 0.417 1 0.013
neut_tcell_lv44 2 2 0.755 -0.084 0.141 0.582
neut_tcell_lv45 2 2 0.868 -0.05 0.042 0.704
pct_tcell_lv55 2 2 0.176 0.443 0.925 0.348
pct_tcell_lv74 2 2 0.093 0.463 0.979 0.146
pct_tcell_lv84 2 2 0.965 -0.034 0.003 0.931
pdw_tcell_lv142 2 2 0.147 -0.267 0.948 0.252
pdw_tcell_lv84 2 2 0.915 -0.112 0.018 0.813
pdw_tcell_lv92 3 3 0.002 0.305 0.996 0.008
plt_tcell_lv32 2 2 0.23 -0.461 0.875 0.378
plt_tcell_lv75 2 2 0.122 -0.562 0.964 0.203
plt_tcell_lv84 3 3 0.712 0.218 0.083 0.732
rbc_tcell_lv132 2 2 0.031 -0.651 0.998 0.084
rbc_tcell_lv39 2 2 0.013 -0.307 1 0.004
rbc_tcell_lv84 2 2 0.087 -0.413 0.981 0.205
ret_tcell_lv100 2 2 0.991 0.005 0 0.987
ukb.allasthma_tcell_lv90 2 1 0.677 0.685 0.236 0.541
wbc_tcell_lv146 4 4 0.435 -0.193 0.212 0.451
wbc_tcell_lv45 3 3 0.402 -0.328 0.357 0.284
wbc_tcell_lv69 2 2 0.912 -0.046 0.019 0.764
