factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
EUR.CD_thy_lv22 2 2 0.016 1.241 0.999 0.066
EUR.CD_thy_lv37 3 3 0.479 -1.161 0.272 0.305
EUR.IBD_thy_lv100 2 2 0.1 2.139 0.975 0.353
T1D_thy_lv121 2 2 0.085 0.845 0.982 0.168
T1D_thy_lv9 2 2 0.825 -0.725 0.073 0.77
allergy_thy_lv88 2 1 0.801 0.137 0.095 0.594
baso_thy_lv35 2 2 0.002 0.375 1 0.011
eo_thy_lv11 2 2 0.892 0.02 0.028 0.749
eo_thy_lv118 3 3 0.01 -0.111 0.981 0.005
eo_thy_lv29 2 2 0.795 0.029 0.1 0.588
eo_thy_lv83 2 2 0.659 0.13 0.261 0.594
hct_thy_lv120 2 2 0.06 -0.306 0.991 0.056
hct_thy_lv41 2 2 0.908 -0.021 0.021 0.746
hgb_thy_lv6 2 2 0.337 -0.114 0.745 0.23
lymph_thy_lv4 2 2 0.129 -0.152 0.959 0.293
mch_thy_lv108 2 2 0.653 -0.42 0.269 0.513
mch_thy_lv131 2 2 0.925 -0.029 0.014 0.838
mch_thy_lv2 2 2 0.811 0.465 0.085 0.67
mch_thy_lv3 2 2 0.089 -0.165 0.981 0.19
mch_thy_lv34 3 3 0.812 0.198 0.035 0.801
mch_thy_lv5 2 2 0.817 0.156 0.08 0.678
mch_thy_lv56 3 3 0.972 -0.006 0.001 0.974
mch_thy_lv71 2 2 0.814 0.294 0.083 0.675
mchc_thy_lv130 2 1 0.936 0.042 0.01 0.839
mchc_thy_lv34 2 2 0.054 -0.39 0.993 0.096
mchc_thy_lv67 2 2 0.98 -0.009 0.001 0.943
mcv_thy_lv108 2 2 0.906 0.029 0.021 0.86
mcv_thy_lv131 2 2 0.997 0.001 0 0.995
mcv_thy_lv3 2 2 0.069 -0.163 0.988 0.154
mcv_thy_lv34 4 4 0.657 0.32 0.074 0.63
mcv_thy_lv89 2 2 0.666 0.312 0.251 0.534
mono_thy_lv30 3 3 0.994 -0.001 0 0.992
mono_thy_lv6 3 3 0.765 0.029 0.055 0.804
mono_thy_lv69 2 2 0.223 0.818 0.882 0.304
mono_thy_lv98 2 2 0.796 -0.066 0.099 0.68
mpv_thy_lv11 2 2 0.854 0.035 0.052 0.743
mpv_thy_lv111 2 2 0.851 0.095 0.054 0.741
mpv_thy_lv119 2 2 0.843 0.239 0.059 0.731
mpv_thy_lv20 2 2 0.839 2.059 0.063 0.724
mpv_thy_lv25 2 2 0.84 1.853 0.062 0.724
mpv_thy_lv3 2 2 0.116 0.206 0.967 0.092
mpv_thy_lv76 2 2 0.836 0.561 0.065 0.72
mpv_thy_lv82 2 2 0.833 0.15 0.067 0.715
mpv_thy_lv86 2 2 0.846 0.314 0.057 0.734
mpv_thy_lv91 2 2 0.842 1.552 0.06 0.726
mpv_thy_lv92 2 2 0.843 0.085 0.06 0.73
myeloid_wbc_thy_lv87 2 2 0.021 0.213 0.999 0.062
neut_thy_lv87 2 2 0.886 -0.031 0.032 0.753
neut_thy_lv89 2 2 0.831 -0.073 0.069 0.655
pct_thy_lv4 2 2 0.927 -0.019 0.013 0.777
pct_thy_lv74 2 2 0.53 0.378 0.453 0.509
pdw_thy_lv9 3 3 0.019 -0.188 0.963 0.068
plt_thy_lv3 2 2 0.511 -0.108 0.482 0.536
plt_thy_lv9 2 2 0.689 0.101 0.221 0.654
rbc_thy_lv121 2 2 0.002 -0.144 1 0.001
rbc_thy_lv131 3 2 0.81 0.025 0.036 0.853
rbc_thy_lv34 2 2 0.805 0.413 0.091 0.614
rdw_thy_lv116 2 2 0.087 -0.412 0.982 0.192
rdw_thy_lv118 2 2 0.147 0.169 0.947 0.279
rdw_thy_lv34 2 2 0.458 0.399 0.567 0.49
ret_thy_lv103 2 2 0.025 0.111 0.998 0.059
ret_thy_lv105 2 2 0.021 -0.241 0.999 0.011
ret_thy_lv36 4 4 0.322 0.186 0.318 0.294
ukb.allasthma_thy_lv88 2 1 0.704 0.25 0.201 0.521
wbc_thy_lv30 2 2 0.009 0.146 1 0.03
wbc_thy_lv6 3 3 0 0.113 1 0.005
wbc_thy_lv87 3 3 0.005 0.195 0.99 0.032
