factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
EUR.CD_thy_lv37 3 3 0.451 -1.162 0.301 0.287
EUR.CD_thy_lv39 2 2 0.976 -0.109 0.001 0.941
EUR.IBD_thy_lv100 2 2 0.152 2.013 0.944 0.425
EUR.IBD_thy_lv21 2 2 0.882 0.168 0.034 0.639
EUR.IBD_thy_lv39 2 2 0.98 -0.077 0.001 0.937
EUR.IBD_thy_lv52 2 2 0.883 -0.327 0.034 0.836
EUR.IBD_thy_lv56 2 2 0.907 -0.123 0.021 0.839
EUR.IBD_thy_lv75 2 2 0.027 1.938 0.998 0.099
EUR.UC_thy_lv105 2 1 0.723 1.416 0.177 0.571
EUR.UC_thy_lv4 2 2 0.06 -0.772 0.991 0.185
T1D_thy_lv53 2 2 0.072 1.294 0.987 0.17
allergy_thy_lv88 2 1 0.762 0.165 0.133 0.564
baso_thy_lv2 2 2 0.004 0.884 1 0.005
baso_thy_lv35 2 2 0.005 0.376 1 0.024
baso_thy_lv56 2 2 0.009 0.134 1 0.01
eo_thy_lv108 3 3 0.166 -0.098 0.696 0.119
eo_thy_lv118 2 2 0.032 -0.105 0.997 0.001
eo_thy_lv134 2 2 0.892 -0.03 0.029 0.742
hct_thy_lv41 2 2 0.938 -0.016 0.009 0.812
hgb_thy_lv122 2 2 0.021 0.196 0.999 0.045
hgb_thy_lv6 2 2 0.337 -0.104 0.745 0.248
lymph_thy_lv4 2 2 0.162 -0.146 0.937 0.36
lymph_thy_lv40 2 2 0.002 -0.229 1 0.006
mch_thy_lv107 2 2 0.805 0.054 0.091 0.664
mch_thy_lv3 2 2 0.086 -0.16 0.982 0.169
mch_thy_lv34 2 2 0.951 -0.068 0.006 0.94
mch_thy_lv56 2 2 0.009 -0.138 1 0.013
mch_thy_lv88 2 2 0.885 -0.041 0.032 0.774
mchc_thy_lv130 2 1 0.956 0.032 0.005 0.889
mchc_thy_lv28 2 2 0.06 0.355 0.991 0.143
mchc_thy_lv34 2 2 0.051 -0.374 0.994 0.087
mchc_thy_lv85 2 2 0.054 0.498 0.993 0.145
mcv_thy_lv107 2 2 0.794 0.062 0.101 0.618
mcv_thy_lv128 3 3 0.475 0.174 0.275 0.442
mcv_thy_lv34 3 3 0.94 0.058 0.004 0.943
mcv_thy_lv89 2 2 0.029 -0.29 0.998 0.072
mono_thy_lv19 2 2 0.041 0.406 0.996 0.08
mono_thy_lv30 3 3 0.991 0.001 0 0.994
mono_thy_lv6 2 2 0.962 0.008 0.004 0.916
mono_thy_lv68 3 3 0.005 -0.437 0.99 0.017
mono_thy_lv69 5 5 0.006 0.667 0.88 0.021
mpv_thy_lv10 2 2 0.986 0.002 0.001 0.967
mpv_thy_lv100 2 2 0.986 0.008 0 0.975
mpv_thy_lv11 2 2 0.871 0.032 0.04 0.771
mpv_thy_lv111 2 2 0.875 0.082 0.038 0.777
mpv_thy_lv117 3 3 0.678 -0.041 0.103 0.682
mpv_thy_lv119 2 2 0.867 0.209 0.043 0.761
mpv_thy_lv20 2 2 0.852 1.918 0.053 0.741
mpv_thy_lv25 2 2 0.85 1.758 0.055 0.741
mpv_thy_lv3 2 2 0.108 0.201 0.971 0.083
mpv_thy_lv42 2 1 0.774 0.09 0.121 0.643
mpv_thy_lv76 2 2 0.85 0.525 0.055 0.741
mpv_thy_lv82 2 2 0.853 0.136 0.052 0.741
mpv_thy_lv86 2 2 0.866 0.281 0.044 0.76
mpv_thy_lv91 2 2 0.852 1.467 0.053 0.741
mpv_thy_lv92 2 2 0.864 0.075 0.045 0.755
myeloid_wbc_thy_lv87 2 2 0.008 0.219 1 0.021
pdw_thy_lv36 2 2 0.941 0.03 0.009 0.876
pdw_thy_lv65 3 3 0.538 -0.667 0.213 0.468
pdw_thy_lv9 3 3 0.002 -0.201 0.996 0.002
plt_thy_lv3 2 2 0.505 -0.107 0.493 0.523
plt_thy_lv32 2 2 0.968 -0.027 0.002 0.917
plt_thy_lv9 2 2 0.687 0.096 0.223 0.647
rbc_thy_lv107 2 2 0.94 0.011 0.009 0.898
rbc_thy_lv120 2 2 0.05 -0.596 0.994 0.064
rbc_thy_lv121 2 2 0.003 -0.144 1 0.001
rbc_thy_lv126 2 1 0.723 0.053 0.178 0.605
rbc_thy_lv131 3 2 0.771 0.033 0.053 0.792
rdw_thy_lv115 2 2 0.797 0.092 0.099 0.719
rdw_thy_lv34 2 2 0.471 0.379 0.546 0.5
rdw_thy_lv68 2 2 0.05 0.331 0.994 0.124
ret_thy_lv103 2 2 0.011 0.113 1 0.021
ret_thy_lv36 3 3 0.477 -0.201 0.274 0.49
ret_thy_lv43 2 2 0.055 -0.259 0.993 0.087
ukb.allasthma_thy_lv88 2 1 0.683 0.281 0.228 0.527
wbc_thy_lv30 2 2 0.031 0.149 0.998 0.108
wbc_thy_lv6 3 3 0.46 -0.067 0.291 0.467
wbc_thy_lv81 2 2 0.907 0.067 0.021 0.794
wbc_thy_lv87 2 2 0.006 0.212 1 0.023
