factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
EUR.CD_pwy131_pc2 2 2 0.111 -0.683 0.97 0.185
EUR.CD_pwy170_pc4 2 2 0.852 -0.076 0.053 0.684
EUR.CD_pwy206_pc4 2 2 0 0.298 1 0
EUR.CD_pwy208_pc3 2 2 0.084 0.583 0.983 0.246
EUR.CD_pwy218_pc2 3 3 0.786 0.124 0.046 0.852
EUR.CD_pwy226_pc4 2 2 0.025 0.441 0.998 0.062
EUR.CD_pwy237_pc5 2 2 0.004 0.272 1 0.011
EUR.CD_pwy278_pc4 2 2 0.053 -0.519 0.993 0.149
EUR.CD_pwy29_pc3 2 2 0.853 0.135 0.052 0.71
EUR.CD_pwy307_pc1 2 2 0.035 0.557 0.997 0.097
EUR.CD_pwy309_pc3 2 2 0.031 0.5 0.998 0.081
EUR.CD_pwy313_pc1 2 2 0.147 -0.753 0.947 0.364
EUR.CD_pwy35_pc2 2 2 0.103 1.133 0.974 0.218
EUR.CD_pwy36_pc4 2 2 0.048 0.486 0.994 0.064
EUR.CD_pwy52_pc3 2 2 0.208 -0.507 0.897 0.191
EUR.CD_pwy58_pc3 2 2 0.877 -0.156 0.037 0.727
EUR.IBD_pwy193_pc4 2 1 0.179 0.203 0.923 0.308
EUR.IBD_pwy221_pc3 3 3 0.745 0.092 0.065 0.844
EUR.IBD_pwy231_pc3 2 2 0.948 -0.035 0.007 0.867
EUR.IBD_pwy235_pc3 2 2 0.703 -0.115 0.202 0.65
EUR.IBD_pwy237_pc3 2 1 0.935 0.08 0.01 0.831
EUR.IBD_pwy238_pc4 2 1 0.18 -0.19 0.922 0.308
EUR.IBD_pwy243_pc4 2 2 0.675 0.234 0.238 0.473
EUR.IBD_pwy248_pc3 2 2 0.049 -0.467 0.994 0.031
EUR.IBD_pwy251_pc2 2 2 0.063 -0.428 0.99 0.138
EUR.IBD_pwy281_pc5 2 1 0.211 -0.157 0.894 0.312
EUR.IBD_pwy307_pc1 2 2 0.641 0.351 0.286 0.581
EUR.IBD_pwy320_pc2 2 1 0.206 -0.158 0.899 0.312
EUR.IBD_pwy321_pc4 2 1 0.221 -0.165 0.884 0.312
EUR.IBD_pwy323_pc4 3 2 0.714 0.093 0.082 0.64
EUR.IBD_pwy325_pc4 2 1 0.198 0.191 0.906 0.312
EUR.IBD_pwy326_pc4 2 1 0.125 0.29 0.962 0.299
EUR.IBD_pwy331_pc5 2 1 0.133 0.215 0.957 0.301
EUR.IBD_pwy4_pc2 2 2 0.97 0.031 0.002 0.903
EUR.IBD_pwy58_pc3 2 2 0.985 -0.011 0.001 0.949
EUR.IBD_pwy78_pc3 2 2 0.573 0.283 0.387 0.609
EUR.IBD_pwy99_pc2 2 2 0.949 -0.037 0.006 0.928
EUR.UC_pwy112_pc2 2 2 0.515 0.887 0.477 0.5
EUR.UC_pwy120_pc2 2 1 0.812 -0.126 0.085 0.606
EUR.UC_pwy126_pc3 2 1 0.021 0.388 0.999 0.089
EUR.UC_pwy135_pc4 2 2 0.086 -0.37 0.982 0.195
EUR.UC_pwy138_pc1 2 2 0.058 -0.326 0.992 0.177
EUR.UC_pwy140_pc1 2 2 0.063 0.304 0.99 0.185
EUR.UC_pwy151_pc3 2 2 0.012 0.488 1 0.044
EUR.UC_pwy182_pc3 2 2 0.017 0.535 0.999 0.057
EUR.UC_pwy190_pc2 2 0 0.8 -0.225 0.096 0.591
EUR.UC_pwy195_pc3 2 0 0.707 0.279 0.198 0.549
EUR.UC_pwy201_pc2 2 1 0.03 -0.307 0.998 0.106
EUR.UC_pwy201_pc3 2 0 0.755 -0.287 0.141 0.576
EUR.UC_pwy204_pc3 2 1 0.811 -0.239 0.085 0.606
EUR.UC_pwy216_pc4 2 1 0.818 -0.099 0.08 0.574
EUR.UC_pwy221_pc3 2 1 0.036 -0.386 0.997 0.14
EUR.UC_pwy228_pc2 2 1 0.003 -0.355 1 0.01
EUR.UC_pwy229_pc5 2 2 0.061 -0.514 0.991 0.202
EUR.UC_pwy231_pc3 3 2 0.997 -0.003 0 0.997
EUR.UC_pwy240_pc1 2 1 0.065 -0.617 0.99 0.224
EUR.UC_pwy241_pc3 3 3 0.001 -0.512 0.999 0.004
EUR.UC_pwy243_pc4 2 2 0.023 -0.52 0.999 0.071
EUR.UC_pwy265_pc4 3 2 0.012 0.298 0.976 0.071
EUR.UC_pwy271_pc2 2 1 0.113 -0.269 0.969 0.281
EUR.UC_pwy282_pc1 2 2 0.992 -0.006 0 0.975
EUR.UC_pwy294_pc3 2 0 0.743 0.204 0.154 0.571
EUR.UC_pwy295_pc1 2 1 0.126 0.633 0.961 0.305
EUR.UC_pwy306_pc2 2 2 0.007 -0.475 1 0.012
EUR.UC_pwy314_pc2 3 2 0 -0.495 1 0
EUR.UC_pwy323_pc4 2 1 0.629 0.364 0.303 0.557
EUR.UC_pwy326_pc5 2 1 0.043 0.4 0.995 0.037
EUR.UC_pwy331_pc5 2 0 0.552 0.262 0.419 0.534
