factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
EUR.CD_pwy109_pc3 2 2 0.062 -0.479 0.991 0.093
EUR.CD_pwy11_pc4 2 2 0.089 0.837 0.981 0.156
EUR.CD_pwy122_pc1 2 1 0.043 -0.701 0.995 0.124
EUR.CD_pwy170_pc4 2 2 0.861 -0.072 0.047 0.692
EUR.CD_pwy193_pc3 2 1 0.93 -0.036 0.012 0.782
EUR.CD_pwy197_pc3 2 2 0.968 0.025 0.002 0.938
EUR.CD_pwy197_pc5 2 2 0.986 0.008 0.001 0.97
EUR.CD_pwy206_pc4 2 2 0.015 0.261 0.999 0.041
EUR.CD_pwy208_pc3 2 2 0.052 0.583 0.993 0.159
EUR.CD_pwy219_pc5 2 2 0.015 -0.32 0.999 0.027
EUR.CD_pwy226_pc4 2 2 0.02 0.463 0.999 0.034
EUR.CD_pwy237_pc1 2 2 0.408 -1.787 0.642 0.439
EUR.CD_pwy237_pc5 2 2 0.011 0.244 1 0.026
EUR.CD_pwy242_pc4 2 2 0.98 0.014 0.001 0.959
EUR.CD_pwy243_pc1 2 2 0.045 -0.65 0.995 0.134
EUR.CD_pwy247_pc2 2 1 0.856 -0.186 0.05 0.685
EUR.CD_pwy247_pc5 2 2 0.015 0.45 0.999 0.05
EUR.CD_pwy29_pc3 2 2 0.866 0.136 0.044 0.717
EUR.CD_pwy307_pc1 2 2 0.04 0.525 0.996 0.091
EUR.CD_pwy309_pc4 2 2 0.116 0.671 0.967 0.277
EUR.CD_pwy309_pc5 2 2 0.02 -0.413 0.999 0.034
EUR.CD_pwy30_pc2 2 2 0.884 -0.169 0.033 0.762
EUR.CD_pwy328_pc5 2 1 0.126 0.74 0.961 0.089
EUR.CD_pwy36_pc4 2 2 0.061 0.463 0.991 0.093
EUR.CD_pwy41_pc1 2 2 0.015 0.582 0.999 0.042
EUR.CD_pwy4_pc2 2 2 0.831 0.285 0.069 0.661
EUR.CD_pwy50_pc4 3 3 0.665 0.233 0.112 0.632
EUR.CD_pwy52_pc1 2 2 0.078 0.462 0.985 0.101
EUR.CD_pwy61_pc3 2 2 0.007 0.768 1 0.017
EUR.CD_pwy6_pc3 2 2 0.062 0.534 0.991 0.168
EUR.CD_pwy95_pc1 2 2 0.808 0.147 0.088 0.693
EUR.IBD_pwy148_pc5 3 3 0.791 0.086 0.044 0.834
EUR.IBD_pwy151_pc3 2 2 0.947 -0.027 0.007 0.903
EUR.IBD_pwy179_pc3 3 3 0.756 -0.088 0.059 0.778
EUR.IBD_pwy182_pc3 2 2 0.024 0.448 0.999 0.06
EUR.IBD_pwy193_pc4 2 1 0.147 0.202 0.948 0.28
EUR.IBD_pwy197_pc5 3 3 0.611 -0.14 0.151 0.59
EUR.IBD_pwy198_pc5 2 2 0.616 -0.185 0.322 0.612
EUR.IBD_pwy214_pc3 2 2 0.663 0.319 0.255 0.46
EUR.IBD_pwy221_pc3 4 4 0.996 0.001 0 0.994
EUR.IBD_pwy229_pc5 2 2 0.964 -0.031 0.003 0.912
EUR.IBD_pwy231_pc3 2 2 0.997 0.003 0 0.995
EUR.IBD_pwy235_pc3 2 2 0.692 -0.133 0.217 0.649
EUR.IBD_pwy238_pc4 2 1 0.159 -0.195 0.939 0.284
EUR.IBD_pwy249_pc4 2 2 0.089 -0.429 0.98 0.217
EUR.IBD_pwy253_pc4 2 2 0.618 -0.209 0.319 0.612
EUR.IBD_pwy259_pc5 2 2 0.917 0.03 0.017 0.887
EUR.IBD_pwy273_pc2 2 2 0.932 -0.028 0.011 0.891
EUR.IBD_pwy281_pc5 2 1 0.206 -0.16 0.899 0.291
EUR.IBD_pwy284_pc5 3 3 0.434 0.117 0.32 0.356
EUR.IBD_pwy289_pc4 2 2 0.931 0.022 0.012 0.836
EUR.IBD_pwy307_pc1 2 2 0.651 0.321 0.271 0.564
EUR.IBD_pwy312_pc3 2 2 0.898 0.046 0.025 0.883
EUR.IBD_pwy320_pc2 2 1 0.207 -0.159 0.898 0.291
EUR.IBD_pwy321_pc4 2 1 0.212 -0.169 0.893 0.291
