factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
EUR.CD_thy_lv37 2 2 0.021 -2.093 0.999 0.035
EUR.CD_thy_lv39 2 2 0.976 -0.109 0.001 0.941
EUR.IBD_thy_lv100 2 2 0.152 2.013 0.944 0.408
EUR.IBD_thy_lv21 2 2 0.882 0.168 0.034 0.664
EUR.IBD_thy_lv39 2 2 0.98 -0.077 0.001 0.957
EUR.IBD_thy_lv52 2 2 0.883 -0.327 0.034 0.84
EUR.IBD_thy_lv56 2 2 0.907 -0.123 0.021 0.847
EUR.IBD_thy_lv75 2 2 0.027 1.938 0.998 0.081
EUR.UC_thy_lv29 2 2 0.093 0.589 0.979 0.283
EUR.UC_thy_lv4 2 2 0.06 -0.772 0.991 0.198
T1D_thy_lv53 2 2 0.072 1.294 0.987 0.199
allergy_thy_lv88 2 1 0.762 0.165 0.133 0.566
baso_thy_lv35 2 2 0.005 0.376 1 0.024
baso_thy_lv56 2 2 0.009 0.134 1 0.009
eo_thy_lv108 2 2 0.84 -0.035 0.062 0.783
eo_thy_lv118 2 2 0.032 -0.105 0.997 0.004
eo_thy_lv123 2 2 0.743 0.096 0.155 0.633
gran_thy_lv32 3 3 0.687 -0.139 0.098 0.696
hct_thy_lv121 2 2 0.094 -0.12 0.978 0.081
hct_thy_lv129 2 2 0.341 0.111 0.739 0.246
hct_thy_lv41 3 3 0.619 0.071 0.145 0.584
hct_thy_lv42 2 2 0.62 0.063 0.317 0.562
hgb_thy_lv121 2 2 0.095 -0.118 0.978 0.082
hgb_thy_lv122 2 2 0.021 0.196 0.999 0.037
hgb_thy_lv6 2 2 0.337 -0.104 0.745 0.251
lymph_thy_lv4 2 2 0.162 -0.146 0.937 0.376
lymph_thy_lv40 3 3 0.001 -0.216 0.999 0.001
lymph_thy_lv75 2 2 0.984 0.012 0.001 0.951
mch_thy_lv107 2 2 0.805 0.054 0.091 0.643
mch_thy_lv3 2 2 0.086 -0.16 0.982 0.175
mch_thy_lv34 2 2 0.951 -0.068 0.006 0.954
mch_thy_lv88 2 2 0.885 -0.041 0.032 0.758
mchc_thy_lv130 2 1 0.956 0.032 0.005 0.881
mchc_thy_lv34 2 2 0.051 -0.374 0.994 0.089
mchc_thy_lv85 2 2 0.054 0.498 0.993 0.148
mcv_thy_lv107 2 2 0.794 0.062 0.101 0.641
mcv_thy_lv112 2 2 0.167 0.845 0.933 0.153
mcv_thy_lv34 4 4 0.679 0.293 0.065 0.658
mcv_thy_lv88 2 2 0.018 0.158 0.999 0.03
mcv_thy_lv89 2 2 0.029 -0.29 0.998 0.048
mono_thy_lv30 3 3 0.991 0.001 0 0.995
mono_thy_lv6 2 2 0.962 0.008 0.004 0.917
mono_thy_lv68 3 3 0.005 -0.437 0.99 0.019
mono_thy_lv69 5 5 0.006 0.667 0.88 0.012
mpv_thy_lv10 2 2 0.986 0.002 0.001 0.978
mpv_thy_lv11 2 2 0.871 0.032 0.04 0.727
mpv_thy_lv111 2 2 0.875 0.082 0.038 0.736
mpv_thy_lv119 2 2 0.867 0.209 0.043 0.72
mpv_thy_lv13 2 2 0.656 -0.082 0.264 0.64
mpv_thy_lv20 2 2 0.852 1.918 0.053 0.699
mpv_thy_lv25 2 2 0.85 1.758 0.055 0.698
mpv_thy_lv3 2 2 0.108 0.201 0.971 0.092
mpv_thy_lv42 2 1 0.774 0.09 0.121 0.598
mpv_thy_lv76 2 2 0.85 0.525 0.055 0.698
mpv_thy_lv82 2 2 0.853 0.136 0.052 0.7
mpv_thy_lv86 2 2 0.866 0.281 0.044 0.717
mpv_thy_lv91 2 2 0.852 1.467 0.053 0.699
mpv_thy_lv92 2 2 0.864 0.075 0.045 0.714
pct_thy_lv39 2 2 0.884 0.056 0.033 0.742
pdw_thy_lv36 2 2 0.941 0.03 0.009 0.871
pdw_thy_lv65 3 3 0.538 -0.667 0.213 0.438
pdw_thy_lv9 2 2 0.034 -0.204 0.997 0.065
plt_thy_lv3 2 2 0.505 -0.107 0.493 0.525
plt_thy_lv32 2 2 0.968 -0.027 0.002 0.917
plt_thy_lv9 2 2 0.687 0.096 0.223 0.634
rbc_thy_lv107 2 2 0.94 0.011 0.009 0.877
rbc_thy_lv120 2 2 0.05 -0.596 0.994 0.086
rbc_thy_lv121 2 2 0.003 -0.144 1 0.002
rbc_thy_lv126 2 1 0.723 0.053 0.178 0.582
rbc_thy_lv129 2 2 0.314 0.131 0.775 0.232
rbc_thy_lv131 3 2 0.771 0.033 0.053 0.815
rbc_thy_lv98 3 3 0.871 -0.022 0.017 0.852
rdw_thy_lv115 2 2 0.797 0.092 0.099 0.685
rdw_thy_lv34 2 2 0.471 0.379 0.546 0.484
rdw_thy_lv68 2 2 0.05 0.331 0.994 0.11
ret_thy_lv103 2 2 0.011 0.113 1 0.03
ret_thy_lv36 3 3 0.477 -0.201 0.274 0.472
ret_thy_lv43 2 2 0.055 -0.259 0.993 0.089
ukb.allasthma_thy_lv122 3 2 0.023 -0.529 0.954 0.09
wbc_thy_lv30 2 2 0.031 0.149 0.998 0.097
wbc_thy_lv6 4 4 0.597 -0.04 0.104 0.592
wbc_thy_lv87 2 2 0.006 0.212 1 0.02
