factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
EUR.CD_pwy101_pc2 2 2 0.975 -0.056 0.002 0.946
EUR.CD_pwy102_pc2 2 2 0.936 0.134 0.01 0.765
EUR.CD_pwy133_pc3 2 2 0.034 1.534 0.997 0.088
EUR.CD_pwy159_pc2 2 2 0.012 -0.924 1 0.009
EUR.CD_pwy164_pc2 2 1 0.018 -0.859 0.999 0.01
EUR.CD_pwy23_pc3 2 2 0.948 0.079 0.007 0.806
EUR.CD_pwy26_pc3 2 2 0.991 -0.016 0 0.964
EUR.CD_pwy296_pc2 3 3 0.001 1.245 0.998 0.021
EUR.CD_pwy297_pc4 2 2 0.029 0.621 0.998 0.084
EUR.CD_pwy306_pc4 2 1 0.002 -1.19 1 0.003
EUR.CD_pwy312_pc4 2 2 0.01 -0.959 1 0.039
EUR.CD_pwy35_pc5 2 2 0.008 1.593 1 0.033
EUR.CD_pwy41_pc2 2 2 0.041 -1.363 0.996 0.16
EUR.CD_pwy8_pc5 2 1 0.035 0.937 0.997 0.027
EUR.CD_pwy98_pc2 3 2 0.58 0.438 0.177 0.448
EUR.IBD_pwy101_pc3 2 2 0.952 -0.044 0.006 0.871
EUR.IBD_pwy103_pc1 2 2 0.577 -0.581 0.381 0.462
EUR.IBD_pwy104_pc4 2 2 0.994 0.005 0 0.994
EUR.IBD_pwy10_pc2 2 2 0.005 0.485 1 0.01
EUR.IBD_pwy112_pc2 2 2 0.451 -0.486 0.577 0.449
EUR.IBD_pwy131_pc4 3 3 0.299 0.336 0.491 0.281
EUR.IBD_pwy135_pc5 2 2 0.005 0.452 1 0.014
EUR.IBD_pwy136_pc5 3 3 0.451 -0.206 0.302 0.266
EUR.IBD_pwy137_pc3 3 3 0.684 0.106 0.1 0.698
EUR.IBD_pwy137_pc5 2 2 0.583 0.217 0.372 0.502
EUR.IBD_pwy138_pc2 2 2 0.028 0.493 0.998 0.062
EUR.IBD_pwy142_pc2 2 2 0.516 -0.58 0.474 0.483
EUR.IBD_pwy144_pc5 3 3 0.783 -0.116 0.047 0.785
EUR.IBD_pwy151_pc2 2 2 0.492 -0.607 0.513 0.48
EUR.IBD_pwy152_pc1 2 2 0.021 -0.353 0.999 0.004
EUR.IBD_pwy154_pc3 3 3 0.646 -0.141 0.125 0.69
EUR.IBD_pwy157_pc3 2 2 0.156 -0.732 0.941 0.347
EUR.IBD_pwy159_pc2 2 2 0.013 -0.813 1 0.007
EUR.IBD_pwy167_pc3 2 2 0.573 -0.296 0.386 0.502
EUR.IBD_pwy171_pc1 3 3 0.493 -0.458 0.257 0.463
EUR.IBD_pwy172_pc2 2 2 0.003 -0.278 1 0.011
EUR.IBD_pwy175_pc3 2 2 0.001 -0.552 1 0.001
EUR.IBD_pwy17_pc3 2 2 0.465 1.637 0.555 0.453
EUR.IBD_pwy185_pc4 2 2 0.538 0.469 0.44 0.499
EUR.IBD_pwy191_pc1 2 2 0.114 1.007 0.968 0.324
EUR.IBD_pwy192_pc4 2 2 0.675 0.172 0.239 0.592
EUR.IBD_pwy194_pc4 3 3 0.008 -0.87 0.984 0.062
EUR.IBD_pwy197_pc1 2 2 0.766 -0.335 0.129 0.587
EUR.IBD_pwy202_pc3 2 2 0.532 0.348 0.45 0.499
EUR.IBD_pwy205_pc3 2 2 0.907 0.119 0.021 0.759
EUR.IBD_pwy211_pc5 2 2 0.542 -0.159 0.434 0.499
EUR.IBD_pwy217_pc4 2 2 0.689 -0.238 0.221 0.592
EUR.IBD_pwy218_pc1 5 5 0.929 -0.056 0.002 0.935
EUR.IBD_pwy221_pc2 4 4 0.216 -0.514 0.448 0.18
EUR.IBD_pwy222_pc5 2 2 0.531 0.411 0.451 0.499
EUR.IBD_pwy226_pc3 2 2 0.573 -0.324 0.386 0.572
EUR.IBD_pwy234_pc4 2 2 0.21 0.838 0.895 0.392
EUR.IBD_pwy236_pc3 2 2 0.516 -0.416 0.476 0.498
EUR.IBD_pwy23_pc3 2 2 0.091 0.834 0.98 0.233
EUR.IBD_pwy240_pc1 2 2 0.806 0.318 0.09 0.629
EUR.IBD_pwy246_pc1 2 2 0.151 1.032 0.945 0.257
EUR.IBD_pwy246_pc3 2 2 0.662 -0.264 0.256 0.592
EUR.IBD_pwy24_pc3 2 2 0.032 -0.468 0.997 0.075
EUR.IBD_pwy255_pc4 2 2 0.087 -0.396 0.982 0.225
EUR.IBD_pwy256_pc4 2 2 0 -0.558 1 0.001
EUR.IBD_pwy257_pc3 2 2 0.058 -0.791 0.992 0.025
EUR.IBD_pwy258_pc4 2 2 0.945 -0.065 0.007 0.847
EUR.IBD_pwy258_pc5 2 2 0.933 0.047 0.011 0.79
