factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
HDL_pwy102_pc1 2 2 0.122 0.042 0.964 0.221
HDL_pwy103_pc4 5 5 0 -0.105 0.986 0.002
HDL_pwy104_pc3 2 1 0.07 -0.035 0.988 0.126
HDL_pwy11_pc3 6 6 0.25 0.044 0.253 0.211
HDL_pwy12_pc1 2 2 0.108 0.031 0.971 0.213
HDL_pwy133_pc2 2 2 0.775 -0.034 0.12 0.631
HDL_pwy179_pc4 2 2 0.429 -0.052 0.611 0.409
HDL_pwy181_pc2 2 2 0.042 0.049 0.996 0.095
HDL_pwy198_pc1 2 2 0.662 -0.117 0.256 0.532
HDL_pwy221_pc1 2 2 0.865 -0.03 0.044 0.753
HDL_pwy222_pc3 2 2 0.035 0.058 0.997 0.061
HDL_pwy232_pc1 2 2 0.021 -0.071 0.999 0.039
HDL_pwy233_pc2 2 2 0.753 -0.039 0.143 0.624
HDL_pwy236_pc1 2 2 0.938 0.019 0.009 0.914
HDL_pwy24_pc4 2 2 0.914 -0.008 0.018 0.843
HDL_pwy272_pc2 3 3 0.353 0.047 0.418 0.294
HDL_pwy292_pc4 2 2 0.819 0.02 0.078 0.684
HDL_pwy313_pc2 3 3 0.012 -0.079 0.976 0.035
HDL_pwy327_pc5 2 2 0.251 0.123 0.853 0.399
HDL_pwy32_pc5 2 2 0.831 0.049 0.069 0.74
HDL_pwy46_pc5 2 2 0.828 0.025 0.071 0.755
HDL_pwy51_pc3 2 2 0.119 0.084 0.966 0.221
HDL_pwy65_pc3 2 1 0.158 0.077 0.939 0.27
HDL_pwy68_pc4 3 3 0.011 0.069 0.978 0.035
HDL_pwy79_pc3 3 3 0.008 0.101 0.984 0.027
HDL_pwy80_pc3 5 5 0.261 -0.046 0.3 0.27
HDL_pwy84_pc5 2 2 0.621 0.041 0.315 0.575
HDL_pwy93_pc4 2 2 0.86 -0.028 0.047 0.777
HDL_pwy96_pc2 2 2 0.054 0.089 0.993 0.113
HDL_pwy98_pc1 3 3 0.553 -0.06 0.199 0.56
HDL_pwy99_pc5 2 2 0.026 0.059 0.998 0.051
LDL_pwy10_pc4 2 1 0.593 -0.058 0.356 0.592
