factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
HDL_pwy10_pc3 2 2 0.096 0.044 0.978 0.168
HDL_pwy10_pc4 2 1 0.173 -0.078 0.928 0.331
HDL_pwy104_pc3 2 2 0.897 0.006 0.026 0.778
HDL_pwy11_pc3 7 7 0.134 0.041 0.334 0.117
HDL_pwy12_pc1 2 1 0.654 0.017 0.267 0.602
HDL_pwy122_pc2 3 3 0.49 0.106 0.26 0.398
HDL_pwy141_pc5 3 2 0.341 0.035 0.434 0.335
HDL_pwy146_pc3 2 2 0.098 -0.099 0.977 0.09
HDL_pwy166_pc3 2 2 0.774 -0.036 0.12 0.627
HDL_pwy166_pc5 2 2 0.908 0.01 0.021 0.806
HDL_pwy171_pc2 2 2 0.061 -0.074 0.991 0.1
HDL_pwy179_pc1 2 2 0.322 0.195 0.766 0.458
HDL_pwy179_pc3 3 3 0.679 0.02 0.103 0.662
HDL_pwy179_pc4 2 2 0.444 -0.051 0.588 0.401
HDL_pwy214_pc1 2 2 0.039 0.083 0.996 0.1
HDL_pwy225_pc2 2 2 0.033 -0.109 0.997 0.074
HDL_pwy230_pc1 3 2 0.886 -0.01 0.013 0.899
HDL_pwy232_pc1 2 2 0.062 -0.075 0.991 0.076
HDL_pwy236_pc1 3 2 0.008 -0.067 0.984 0.022
HDL_pwy239_pc3 2 2 0.919 0.005 0.016 0.849
HDL_pwy24_pc4 3 3 0.431 0.037 0.324 0.423
HDL_pwy3_pc5 2 1 0.026 0.055 0.998 0.062
HDL_pwy311_pc3 2 2 0.042 0.065 0.996 0.097
HDL_pwy327_pc5 2 2 0.025 0.062 0.998 0.053
HDL_pwy35_pc1 2 2 0.091 -0.118 0.98 0.199
HDL_pwy65_pc3 5 4 0.949 0.002 0.001 0.95
HDL_pwy66_pc3 2 2 0.633 0.031 0.297 0.55
HDL_pwy67_pc3 2 1 0.045 -0.045 0.995 0.105
HDL_pwy68_pc4 5 5 0 0.069 0.986 0.002
HDL_pwy8_pc3 3 2 0.67 -0.017 0.109 0.679
HDL_pwy80_pc1 2 1 0.665 -0.021 0.253 0.602
HDL_pwy80_pc3 6 6 0 -0.063 0.991 0
HDL_pwy80_pc5 2 2 0.234 -0.142 0.871 0.394
HDL_pwy84_pc5 2 2 0.694 0.041 0.214 0.536
HDL_pwy87_pc3 3 2 0.813 0.01 0.035 0.839
HDL_pwy9_pc3 2 2 0.169 -0.058 0.931 0.334
HDL_pwy93_pc1 2 2 0.014 -0.037 1 0.023
HDL_pwy93_pc4 2 1 0.101 -0.091 0.975 0.206
LDL_pwy10_pc4 2 1 0.203 -0.102 0.902 0.249
LDL_pwy104_pc5 2 2 0.078 -0.142 0.985 0.137
LDL_pwy171_pc3 3 3 0.289 -0.101 0.505 0.257
LDL_pwy186_pc4 4 4 0.005 -0.079 0.947 0.022
LDL_pwy187_pc4 3 3 0.037 0.081 0.927 0.08
LDL_pwy189_pc3 2 2 0.137 -0.081 0.954 0.235
LDL_pwy210_pc4 4 4 0.211 0.059 0.456 0.177
LDL_pwy233_pc2 2 2 0.613 -0.094 0.326 0.525
LDL_pwy238_pc2 2 2 0.833 -0.025 0.067 0.725
LDL_pwy24_pc4 2 2 0.045 -0.064 0.995 0.062
LDL_pwy26_pc4 2 2 1 0 0 0.999
LDL_pwy262_pc2 2 2 0.152 0.151 0.944 0.259
LDL_pwy27_pc4 2 2 0.962 0.006 0.004 0.919
LDL_pwy279_pc4 2 2 0.817 0.023 0.08 0.712
LDL_pwy295_pc4 2 2 0.034 -0.079 0.997 0.057
LDL_pwy309_pc1 2 2 0.285 -0.376 0.812 0.244
LDL_pwy320_pc4 2 2 0.971 -0.004 0.002 0.957
LDL_pwy34_pc1 3 3 0.819 -0.015 0.033 0.88
LDL_pwy37_pc5 3 3 0.903 -0.04 0.009 0.905
LDL_pwy38_pc1 2 2 0.685 -0.138 0.225 0.558
LDL_pwy4_pc3 2 2 0.156 0.351 0.941 0.105
LDL_pwy53_pc1 2 2 0.714 -0.073 0.188 0.567
LDL_pwy58_pc1 2 2 0.912 -0.011 0.019 0.834
LDL_pwy61_pc2 3 2 0.572 0.101 0.183 0.532
LDL_pwy9_pc3 3 3 0.106 0.23 0.8 0.082
TC_pwy104_pc5 2 2 0.244 -0.048 0.861 0.281
TC_pwy107_pc4 2 2 0.938 0.006 0.009 0.872
TC_pwy122_pc2 2 2 0.692 0.067 0.216 0.543
TC_pwy171_pc3 2 2 0.538 -0.068 0.441 0.524
TC_pwy187_pc4 2 2 0.14 0.103 0.952 0.191
TC_pwy210_pc4 2 2 0.138 0.112 0.954 0.19
TC_pwy233_pc2 2 2 0.836 -0.047 0.065 0.727
TC_pwy250_pc5 2 2 0.171 0.12 0.93 0.276
TC_pwy262_pc2 2 2 0.167 0.137 0.933 0.272
TC_pwy263_pc2 3 3 0.92 -0.009 0.006 0.954
TC_pwy283_pc5 2 2 0.151 -0.095 0.945 0.305
TC_pwy295_pc4 3 3 0.618 -0.026 0.146 0.607
TC_pwy3_pc2 2 2 0.049 0.078 0.994 0.096
TC_pwy309_pc1 2 2 0.32 -0.248 0.767 0.247
TC_pwy31_pc5 2 2 0.05 -0.065 0.994 0.096
TC_pwy323_pc2 2 2 0.06 -0.029 0.991 0.118
TC_pwy42_pc2 2 2 0.256 0.208 0.847 0.174
TC_pwy53_pc1 2 2 0.759 -0.057 0.137 0.633
TC_pwy57_pc1 2 2 0.65 0.138 0.272 0.513
TC_pwy68_pc2 2 2 0.008 0.066 1 0.015
TC_pwy80_pc2 2 2 0.068 0.098 0.989 0.119
TC_pwy9_pc3 3 3 0.119 0.156 0.776 0.097
TC_pwy93_pc1 2 2 0.845 0.015 0.058 0.723
TG_pwy10_pc2 2 2 0.702 -0.023 0.204 0.55
TG_pwy10_pc3 6 6 0.091 -0.072 0.467 0.107
TG_pwy104_pc3 4 4 0.259 0.033 0.392 0.274
TG_pwy122_pc2 4 4 0.551 -0.042 0.13 0.622
TG_pwy14_pc2 2 2 0.106 0.069 0.972 0.203
TG_pwy14_pc3 2 2 0.37 0.047 0.699 0.39
TG_pwy14_pc4 3 3 0.505 0.049 0.245 0.576
TG_pwy141_pc2 4 3 0.825 0.027 0.019 0.795
TG_pwy141_pc5 3 2 0.732 -0.011 0.072 0.767
TG_pwy168_pc5 2 2 0.734 -0.024 0.164 0.697
TG_pwy169_pc1 2 2 0.911 -0.008 0.019 0.817
TG_pwy179_pc4 2 2 0.344 0.064 0.735 0.256
TG_pwy184_pc4 3 3 0.54 0.035 0.212 0.513
TG_pwy185_pc4 3 3 0.049 -0.086 0.905 0.093
TG_pwy186_pc4 2 2 0.183 -0.085 0.92 0.268
TG_pwy194_pc2 2 2 0.811 -0.019 0.085 0.68
TG_pwy215_pc2 2 1 0.232 -0.08 0.873 0.234
TG_pwy217_pc1 2 2 0.128 -0.128 0.96 0.256
TG_pwy221_pc1 2 2 0.234 -0.286 0.871 0.346
TG_pwy225_pc2 2 2 0.872 0.02 0.04 0.756
TG_pwy233_pc4 2 2 0.954 0.009 0.005 0.907
TG_pwy238_pc3 2 1 0.774 -0.035 0.121 0.655
TG_pwy24_pc4 5 5 0.89 -0.004 0.005 0.903
TG_pwy286_pc5 2 2 0.33 -0.029 0.754 0.229
TG_pwy310_pc5 2 2 0.611 0.019 0.329 0.623
TG_pwy325_pc3 2 1 0.787 0.034 0.108 0.663
TG_pwy326_pc3 2 1 0.286 0.052 0.812 0.274
TG_pwy54_pc5 2 2 0.014 0.098 1 0.009
TG_pwy6_pc5 2 2 0.08 -0.06 0.984 0.165
TG_pwy65_pc2 2 2 0.738 0.033 0.16 0.595
TG_pwy65_pc3 2 2 0.139 -0.052 0.953 0.27
TG_pwy78_pc4 2 0 0.06 -0.056 0.991 0.08
TG_pwy87_pc3 3 3 0.227 -0.115 0.598 0.222
TG_pwy9_pc3 4 4 0.062 0.115 0.737 0.108
