factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
HDL_liver_lv109 2 2 0.03 0.072 0.998 0.043
HDL_liver_lv18 4 4 0.02 0.304 0.874 0.087
HDL_liver_lv27 2 2 0.934 0.014 0.011 0.877
HDL_liver_lv87 4 4 0.749 -0.14 0.039 0.723
HDL_liver_lv92 2 2 0.944 -0.028 0.008 0.876
LDL_liver_lv68 2 1 0.955 0.013 0.005 0.934
LDL_liver_lv96 2 2 0.596 -0.439 0.352 0.552
TC_liver_lv111 2 2 0.074 -0.191 0.986 0.165
TC_liver_lv67 2 2 0.148 -0.199 0.947 0.263
TC_liver_lv68 2 1 0.968 -0.01 0.002 0.942
TC_liver_lv8 2 2 0.557 0.411 0.41 0.516
TC_liver_lv96 2 2 0.605 -0.343 0.338 0.527
TG_liver_lv108 2 2 0.042 0.134 0.996 0.066
TG_liver_lv109 2 2 0.12 -0.092 0.965 0.236
TG_liver_lv23 2 1 0.396 0.154 0.66 0.458
TG_liver_lv26 2 2 0.11 -0.111 0.97 0.153
TG_liver_lv86 4 4 0.37 0.109 0.27 0.407
TG_liver_lv98 2 2 0.805 0.08 0.091 0.71
