factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
HDL_pwy1003_pc1 3 3 0.014 -0.046 0.972 0.046
HDL_pwy1004_pc1 3 3 0.011 -0.045 0.977 0.034
HDL_pwy1006_pc1 3 3 0.012 -0.04 0.976 0.037
HDL_pwy1007_pc1 3 3 0.013 -0.042 0.975 0.04
HDL_pwy1007_pc4 3 3 0.014 0.077 0.973 0.047
HDL_pwy1012_pc3 2 2 0.858 -0.022 0.049 0.771
HDL_pwy1015_pc1 2 1 0.562 0.217 0.402 0.514
HDL_pwy1018_pc1 3 3 0.013 -0.042 0.974 0.041
HDL_pwy1020_pc1 3 2 0.338 0.02 0.438 0.28
HDL_pwy1020_pc3 3 3 0.007 -0.051 0.986 0.029
HDL_pwy1027_pc5 2 2 0.816 -0.022 0.081 0.696
HDL_pwy1033_pc1 3 3 0.013 -0.044 0.974 0.043
HDL_pwy1035_pc1 3 3 0.013 -0.043 0.973 0.041
HDL_pwy103_pc1 3 3 0.017 -0.04 0.966 0.057
HDL_pwy104_pc1 2 2 0.123 0.058 0.963 0.223
HDL_pwy1080_pc1 4 4 0.001 0.056 0.984 0.003
HDL_pwy1080_pc4 3 3 0.011 0.077 0.979 0.038
HDL_pwy1087_pc1 2 2 0.782 0.112 0.113 0.642
HDL_pwy1093_pc4 2 2 0.433 0.068 0.605 0.415
HDL_pwy1094_pc1 4 4 0.133 0.035 0.583 0.117
HDL_pwy1106_pc5 3 3 0.236 -0.058 0.584 0.228
HDL_pwy1109_pc1 2 2 0.344 0.2 0.735 0.466
HDL_pwy1126_pc1 2 2 0.052 -0.1 0.993 0.059
HDL_pwy1134_pc1 3 3 0.01 -0.043 0.98 0.032
HDL_pwy1143_pc4 3 3 0.021 0.081 0.959 0.067
HDL_pwy1151_pc5 3 3 0.573 0.046 0.182 0.542
HDL_pwy1158_pc5 3 2 0.864 -0.014 0.018 0.88
HDL_pwy1159_pc4 2 2 0.032 0.065 0.997 0.031
HDL_pwy1164_pc1 5 5 0 0.052 0.976 0.002
