factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
mpv_plt_lv62 2 2 0.299 0.365 0.795 0.303
mpv_plt_lv71 4 4 0.963 0.013 0.001 0.962
mpv_plt_lv91 2 2 0.087 -0.191 0.981 0.149
pct_plt_lv126 2 2 0.832 0.089 0.068 0.687
pct_plt_lv19 2 2 0.11 -0.248 0.97 0.216
pct_plt_lv69 2 2 0.973 0.024 0.002 0.949
pdw_plt_lv102 2 2 0.075 0.434 0.986 0.16
pdw_plt_lv108 2 2 0.311 -0.178 0.779 0.459
pdw_plt_lv126 2 2 0.79 -0.124 0.105 0.608
pdw_plt_lv2 2 2 0.837 0.034 0.064 0.7
pdw_plt_lv60 2 2 0.135 0.702 0.955 0.275
pdw_plt_lv62 2 2 0.176 0.246 0.925 0.235
plt_plt_lv39 2 2 0.065 -0.315 0.99 0.118
plt_plt_lv62 2 2 0.213 -0.359 0.892 0.377
plt_plt_lv71 2 2 0.793 -0.132 0.102 0.627
