LVs	Heritability	SE	zscore	pval	rsq_min_l	lambda_min_l	ncoef_nzero_min_l	rsq_test_l	pval_test_l	rsq_1se_l	lambda_1se_l	ncoef_nzero_1se_l	rsq_min_e	lambda_min_e	ncoef_nzero_min_e	rsq_test_e	pval_test_e	rsq_1se_e	lambda_1se_e	ncoef_nzero_1se_e
6	1e-06	0.126942	7.87761339824487e-06	0.499996857286947	0.999026576015196	0.0025468152830638	707	0.0347801554930685	0.0309613380406013	0.988662973806426	0.00894235676000649	559	0.999025456069049	0.00509363056612759	842	0.0304290551615583	0.0438161221778931	0.986230680514957	0.0196284510077105	730
8	1e-06	0.071001	1.40843086717089e-05	0.499994381173781	0.999060215336563	0.0014650262516811	710	0.0072758390153643	0.327116434771475	0.984237646962021	0.00619595182739475	528	0.999053487791237	0.0029300525033622	831	0.00465506642789505	0.433444628532506	0.98391794588198	0.0123919036547895	694
9	1e-06	0.233466	4.28327893569085e-06	0.499998291218934	0.992316537949958	0.00350784217116013	580	0.00226185617440608	0.585281717020849	0.957728540833508	0.00848942797987447	465	0.992923838680948	0.00669681066167851	743	0.000522230660027051	0.793251159802849	0.960660189814539	0.0162071407529641	594
14	1e-06	0.049	2.04081632653061e-05	0.499991858320809	0.999045449149052	0.00133603266556473	698	0.00164853564336397	0.641363765713217	0.989879751509661	0.00447785061860387	571	0.999036751541993	0.00267206533112945	845	0.00166602126168424	0.639599609013755	0.988759906700748	0.00938213369297027	704
15	1e-06	0.054571	1.83247512415019e-05	0.499992689481952	0.999069889051486	0.00112824105166064	656	0.01599069518805	0.145405872669291	0.988046654365642	0.00415009905714101	543	0.999059855893222	0.00225648210332128	770	0.0145566797051324	0.16494507936809	0.986779202018955	0.0086954182954202	647
16	1e-06	0.060719	1.64693094418551e-05	0.499993429696135	0.999030211293789	0.00187382494548476	668	0.00116579761760195	0.695313764047912	0.984950386568441	0.00756466363467918	549	0.999018500585277	0.00374764989096952	819	0.00268712339882961	0.551950107011572	0.984799248717315	0.0151293272693584	676
20	1e-06	0.102184	9.78626790887027e-06	0.499996095843964	0	0.083958715936741	0	NA	NA	0	0.083958715936741	0	0	0.167917431873482	0	NA	NA	0	0.167917431873482	0
27	1e-06	0.061028	1.63859212164908e-05	0.499993462963224	0.999008384696227	0.00182720150517977	704	0.0202211412843242	0.101210164623465	0.984869148557886	0.00737644400175741	534	0.999087134204289	0.00348830475371018	858	0.0219256990685983	0.0877404209860507	0.983248733784311	0.0154553578709542	688
29	1e-06	0.125294	7.98122815138794e-06	0.499996815950641	0.999003166656052	0.00183808591851174	678	0.0188092220062326	0.11406316714942	0.986139279188972	0.00708311663578282	544	0.999003425127638	0.00367617183702347	816	0.0162584014572733	0.142053038970047	0.987147123365647	0.0135223561066703	695
31	1e-06	0.244354	4.09242328752547e-06	0.499998367359321	0.991311564514649	0.00384248609306335	561	6.6777743959459e-05	0.925339246204189	0.96668564276	0.00772044986506311	461	0.998133640882694	0.00348504152280985	768	0.000186940106012125	0.875405335073503	0.98345729776734	0.0106428132418804	639
34	1e-06	0.049721	2.01122262223205e-05	0.499991976382608	0.721601079603206	0.0160289088267298	290	0.0230271284806792	0.0800680125036765	0.0815055023330671	0.0370288583116785	25	0.717292001278097	0.0320578176534596	370	0.0240407039759573	0.0736373162984746	0.182022157366899	0.0644116251776865	74
39	1e-06	0.090408	1.10609680559243e-05	0.49999558731218	0.999030610399249	0.00104660052853621	710	0.0205439601309943	0.0984975059749351	0.988919588719186	0.00367481512052309	555	0.999029796898827	0.00209320105707242	875	0.0188337587870208	0.113825216452052	0.988731841779168	0.00734963024104619	731
40	1e-06	0.05394	1.85391175380052e-05	0.499992603962173	0.999074235535465	0.00123310192912221	703	0.000700864560126314	0.761402877491705	0.958337250757938	0.0086992903230943	454	0.999074513672122	0.00246620385824441	871	0.00042927397100888	0.812177798516616	0.970389056721338	0.0144446073155298	712
51	1e-06	0.216542	4.61804176556973e-06	0.499998157667887	0.999077527551469	0.00179356384378716	707	0.00106163573273674	0.708599031536512	0.924126033346982	0.017523297307121	451	0.999075659539788	0.00358712768757432	875	0.00150238433508758	0.656572709709279	0.929555570187403	0.0334536728017269	594
54	1e-06	0.045648	2.1906764808973e-05	0.499991260465292	0.999048005154179	0.00164744932746878	708	0.000879523449071432	0.733735742545441	0.98529128782857	0.00665078135901093	560	0.999035638923491	0.00329489865493756	860	6.89411739807422e-05	0.924143028115609	0.986365268224977	0.0126969861642284	727
58	1e-06	0.075469	1.32504737044349e-05	0.499994713825804	0.997885934941276	0.00370697321291402	620	0.00852417589507673	0.288684730490866	0.981295972348629	0.011320560555585	505	0.999062400170197	0.00487788168128538	818	0.00938832049530872	0.265392323208006	0.985531615240167	0.0196920925071479	651
64	1e-06	0.048198	2.07477488692477e-05	0.499991722845754	0.999013216189191	0.000956520263148303	725	0.00173286033869964	0.63295817591713	0.965852173200538	0.00586911962990248	476	0.999002172829067	0.00191304052629661	866	0.000385858934044307	0.821762258023824	0.970928339483382	0.0106954464368336	658
71	1e-06	0.056002	1.7856505124817e-05	0.499992876285126	0.998733027579367	0.00115129732326733	673	0.00449591863505656	0.441434181370769	0.987796225418172	0.00368330768817403	546	0.998937172980217	0.00209803848453507	813	0.00298177506353169	0.530887558125871	0.987589770767373	0.00736661537634805	685
81	1e-06	0.271488	3.68340405469118e-06	0.499998530534387	0.979146210922527	0.00905000996884239	533	0.000244356572542064	0.857727195815721	0.867403991391179	0.0240376208919193	347	0.974680020731449	0.0198647495352876	708	2.06726354683017e-05	0.958417754239594	0.864971522012376	0.0480752417838387	485
86	1e-06	0.07112	1.40607424071991e-05	0.49999439057536	0.26832834271946	0.042306993297777	76	0.0112863933606897	0.221811038796441	0	0.0643028679746351	0	0.259371852466056	0.0846139865955541	111	0.0143630799476688	0.167802903299324	0	0.12860573594927	0
88	1e-06	0.090499	1.10498458546503e-05	0.499995591749297	0.999066223517396	0.000786332376587593	685	0.00818578165697459	0.298502829572514	0.973055742522106	0.00439623505081812	503	0.999058320309468	0.00157266475317519	848	0.00954597844758939	0.261397781337162	0.975020369855926	0.00839283876612579	683
89	1e-06	0.292627	3.41731965949827e-06	0.499998636686702	0.99901596622937	0.0014532700451271	690	0.0149516127876262	0.159284310034996	0.989474030815174	0.00487078373029164	567	0.99900641834069	0.00290654009025419	836	0.0121212358298069	0.205379744882593	0.988299472534878	0.0102054195281281	709
102	1e-06	0.0993	1.00704934541793e-05	0.499995982454377	0.999017655048656	0.000671296238485019	676	0.00956509760061046	0.260918407821921	0.968862480844157	0.00393179603741718	497	0.998283631495022	0.00177482824046628	814	0.00639387072812196	0.358397316596117	0.958768659616608	0.00904121999581995	615
105	1e-06	0.043048	2.32298829213901e-05	0.499990732617535	0.999011313743188	0.000883346752332124	722	0.00268119804452297	0.552389457623425	0.969125056947	0.00517378030945468	477	0.999007954683043	0.00176669350466425	867	0.0015248329562564	0.654180492793604	0.96864198423731	0.0103475606189094	639
113	1e-06	0.114053	8.76785354177444e-06	0.499996502132514	0.0246658926696016	0.041451006768305	9	0.00317196132489656	0.518047220438275	0	0.0454924287527173	0	0.0220878647899896	0.0829020135366099	9	0.00278818537695965	0.544555602878059	0	0.0909848575054347	0
120	1e-06	0.076257	1.31135502314542e-05	0.499994768450367	0.211544233612917	0.0376376093921989	44	0.00781039850553207	0.309898260588461	0	0.0599297177917284	0	0.101282441249464	0.0865482093662079	33	0.00345993437037497	0.499605609868376	0	0.119859435583457	0
124	1e-06	0.081414	1.22828997469723e-05	0.499995099831965	0.99904275639039	0.000890250034620063	751	0.0001551084745187	0.886429735413622	0.989908475774773	0.00298376437267015	586	0.999042203669207	0.00178050006924013	920	0.00158455671468894	0.647917236035684	0.989787865873594	0.0059675287453403	789
63	0.000606	0.042345	0.014311016648955	0.494290925258565	0.999031346694907	0.000881237115959346	723	0.0247941634010287	0.0692131419351898	0.970849744467702	0.00516142412532114	471	0.999027299170126	0.00176247423191869	886	0.0140896568005053	0.171935258543759	0.967744291887351	0.0108143784405616	606
83	0.002352	0.049204	0.0478009917892854	0.480937423064044	0.999021679028837	0.00331247575935526	670	0.00277808469767008	0.54528637696554	0.980011937737909	0.0153751504742555	518	0.99901440417749	0.00662495151871051	804	0.0006086154223582	0.777218979884654	0.977856839744662	0.0322144996752875	645
21	0.006343	0.052634	0.120511456473002	0.452039002416554	0.990299517163906	0.00609238498738281	555	0.0164032122284416	0.140275310790434	0.951060687754088	0.0140741994927187	437	0.945705881656021	0.0294887061916754	542	0.0137845217038437	0.176684266131074	0.857985426503951	0.0491901266162271	417
76	0.008323	0.051288	0.162279675557635	0.435542809541575	0.999001062750511	0.00075709955418109	693	0.00707972843400104	0.333746936785051	0.955688844627903	0.00534118767456234	457	0.999085081014705	0.00144537642202846	851	0.0101615859003016	0.246488341552842	0.954790028078564	0.0106823753491247	703
45	0.011164	0.060604	0.184212263216949	0.426923469727084	0.998564075262274	0.00233295437196788	704	0.0187000901075403	0.115128090643818	0.962877376849299	0.0124502757839029	478	0.999000828088908	0.00387371941118733	836	0.0199399892117159	0.103638538429596	0.962251299001744	0.0249005515678058	611
85	0.015431	0.07133	0.216332538903687	0.41436427357414	0.0484968188933257	0.0297155685072441	13	0.00896539725087205	0.276486725339769	0	0.0357925074615755	0	0	0.071585014923151	0	NA	NA	0	0.071585014923151	0
59	0.023002	0.067008	0.343272445081184	0.365696754214687	0.999008329447094	0.00167842902325004	713	0.0181553586372935	0.120608637295949	0.971778073209591	0.00938377805876891	503	0.999008952769719	0.00335685804650009	866	0.0153829872808665	0.1533499371849	0.965815165640963	0.0205973696685348	644
