LVs	Heritability	SE	zscore	pval	rsq_min_l	lambda_min_l	ncoef_nzero_min_l	rsq_test_l	pval_test_l	rsq_1se_l	lambda_1se_l	ncoef_nzero_1se_l	rsq_min_e	lambda_min_e	ncoef_nzero_min_e	rsq_test_e	pval_test_e	rsq_1se_e	lambda_1se_e	ncoef_nzero_1se_e
2	1e-06	0.034839	2.87034645081661e-05	0.499988548974415	0.988246691131474	0.00324452377054536	552	0.00064984916924514	0.769999346502968	0.940511436859146	0.00749527071911781	441	0.999074221708629	0.00176410483731433	825	0.000196504788033638	0.872284072954946	0.991693708641899	0.00538732126999067	724
5	1e-06	0.078228	1.27831466993915e-05	0.499994900262305	0.999011308878419	0.000484214647831143	696	0.00223036447376333	0.587908240376078	0.974053376871838	0.00258410793478912	498	0.995716647240501	0.00203845083669344	737	0.00406728437283895	0.464118913962998	0.929031184103466	0.00862110366430098	561
10	1e-06	0.164468	6.08021013206216e-06	0.499997574347105	0.999000948002852	0.000584949282434313	704	0.00582072177876284	0.380939372686027	0.978018273348792	0.00284437530083354	511	0.999082263285697	0.00111672486959462	876	0.00538250542988911	0.399537598372909	0.981387133463976	0.00518337767751774	683
14	1e-06	0.049933	2.00268359601867e-05	0.499992010448393	0.808556302210166	0.0122527867996679	311	0.00237250518995802	0.576237055859668	0.630915124362423	0.0177766956995724	203	0.749352700923604	0.0281754546684086	352	0.00224186332228565	0.586946433037171	0.560376928592422	0.039019803166272	244
17	1e-06	0.053372	1.87364160983287e-05	0.499992525251436	0.999066274167133	0.000461173686634074	698	0.00644294279548665	0.356553462320494	0.982820995454643	0.00204328602884136	539	0.999062451722098	0.000922347373268147	872	0.0117603377136057	0.212300783475698	0.982540255162326	0.00408657205768272	704
30	1e-06	0.030539	3.27450145715315e-05	0.499986936629217	0.674527947855291	0.0115561897477371	234	0.00733987103176919	0.324989144281363	0.111290315509888	0.0232190778099688	24	0.611197228576408	0.0253658079616922	289	0.00684880834436305	0.341784852720772	0	0.0613885087569075	0
36	1e-06	0.056864	1.75858187957231e-05	0.499992984273347	0.674229914065399	0.00972586530638812	239	0.00381148998244787	0.478546972198142	0.0359219218679921	0.022468010285775	6	0.301274916690684	0.0309726559420117	113	1.53061312177637e-05	0.964215643177359	0	0.0516655039907614	0
42	1e-06	0.034995	2.85755107872553e-05	0.499988600020564	0.999049233323097	0.000989887403124803	681	0.0174727285331399	0.127884058226315	0.986714472577666	0.00381455940770289	554	0.999043656029418	0.00197977480624961	834	0.0221012317386195	0.0864668295636331	0.985253989035007	0.00799238505057687	686
44	1e-06	0.09553	1.04679158379567e-05	0.499995823905785	0.325003593804894	0.0177049321687088	83	0.00378001465973567	0.480372306364935	0.130573434759542	0.0223410905164629	25	0.358989010057453	0.0338004313553513	127	0.00459111695044589	0.436628391298606	0.190044511904441	0.0407127392227395	55
45	1e-06	0.031711	3.15347986503106e-05	0.499987419435517	0.925104848151131	0.00444031076697729	426	0.000706991118095145	0.760393741243449	0.807212136174215	0.00740688477220031	299	0.834078915386059	0.0134977550877053	421	0.000759300828379974	0.751965602962598	0.675905772309591	0.0195829315195458	321
