factor	pwy	pwy_name	pwy_gene_num	num_snp_fdr.0.2	num_snp_noMHC	pval_in_fitting	slope_in_fitting	rsq_in_fitting	pval_in_resampling
T2Dbmiadj_pwy100_pc4	R-HSA-5620912	Anchoring of the basal body to the plasma membrane	7	3	3	0.62	-0.069	0.144	0.613
T2Dbmiadj_pwy1014_pc5	R-HSA-6804758	Regulation of TP53 Activity through Acetylation	24	3	3	0.01	-0.462	0.981	0.03
T2Dbmiadj_pwy1023_pc4	R-HSA-1655829	Regulation of cholesterol biosynthesis by SREBP (SREBF)	73	4	4	0.331	-0.131	0.308	0.314
T2Dbmiadj_pwy1033_pc2	R-HSA-400206	Regulation of lipid metabolism by PPARalpha	17	3	3	0.061	-0.211	0.882	0.213
T2Dbmiadj_pwy1118_pc5	R-HSA-3295583	TRP channels	100	3	3	0.003	0.256	0.994	0.021
T2Dbmiadj_pwy1148_pc5	R-HSA-168181	Toll Like Receptor 7/8 (TLR7/8) Cascade	94	3	3	0.609	-0.076	0.153	0.589
T2Dbmiadj_pwy1159_pc1	R-HSA-6781827	Transcription-Coupled Nucleotide Excision Repair (TC-NER)	22	3	3	0.499	0.148	0.251	0.413
T2Dbmiadj_pwy1159_pc3	R-HSA-6781827	Transcription-Coupled Nucleotide Excision Repair (TC-NER)	18	3	3	0.512	0.076	0.238	0.451
T2Dbmiadj_pwy1164_pc4	R-HSA-2151201	Transcriptional activation of mitochondrial biogenesis	14	3	3	0.925	-0.017	0.006	0.929
T2Dbmiadj_pwy1174_pc4	R-HSA-381340	Transcriptional regulation of white adipocyte differentiation	10	5	5	0.222	-0.134	0.343	0.195
T2Dbmiadj_pwy1184_pc3	R-HSA-5655862	Translesion synthesis by POLK	8	3	3	0.089	1.963	0.831	0.067
T2Dbmiadj_pwy1195_pc2	R-HSA-168271	Transport of Ribonucleoproteins into the Host Nucleus	14	3	3	0.014	0.204	0.972	0.059
T2Dbmiadj_pwy1195_pc4	R-HSA-168271	Transport of Ribonucleoproteins into the Host Nucleus	27	4	4	0.487	0.13	0.172	0.501
T2Dbmiadj_pwy1205_pc4	R-HSA-159230	Transport of the SLBP Dependant Mature mRNA	89	3	3	0.625	0.089	0.14	0.597
T2Dbmiadj_pwy1237_pc4	R-HSA-168325	Viral Messenger RNA Synthesis	25	3	3	0.024	0.225	0.952	0.095
T2Dbmiadj_pwy169_pc5	R-HSA-389356	CD28 co-stimulation	67	3	3	0.681	-0.1	0.101	0.673
T2Dbmiadj_pwy199_pc4	R-HSA-419812	Calcitonin-like ligand receptors	75	3	3	0.695	-0.133	0.093	0.711
T2Dbmiadj_pwy242_pc2	R-HSA-3247509	Chromatin modifying enzymes	75	3	3	0.054	-0.154	0.896	0.201
T2Dbmiadj_pwy243_pc2	R-HSA-4839726	Chromatin organization	73	3	3	0.054	-0.154	0.896	0.201
T2Dbmiadj_pwy302_pc3	R-HSA-1834949	Cytosolic sensors of pathogen-associated DNA 	7	3	3	0.324	0.159	0.457	0.286
T2Dbmiadj_pwy327_pc4	R-HSA-429914	Deadenylation-dependent mRNA decay	7	3	3	0.542	0.086	0.21	0.492
T2Dbmiadj_pwy373_pc4	R-HSA-162587	HIV Life Cycle	26	3	3	0.479	-0.105	0.272	0.411
T2Dbmiadj_pwy387_pc3	R-HSA-9707616	Heme signaling	10	4	4	0.917	-0.015	0.004	0.921
T2Dbmiadj_pwy449_pc3	R-HSA-177243	Interactions of Rev with host cellular proteins	12	3	3	0.797	-0.049	0.041	0.834
T2Dbmiadj_pwy449_pc5	R-HSA-177243	Interactions of Rev with host cellular proteins	53	3	3	0.613	-0.113	0.15	0.567
T2Dbmiadj_pwy450_pc5	R-HSA-176033	Interactions of Vpr with host cellular proteins	74	3	3	0.764	0.061	0.056	0.789
T2Dbmiadj_pwy47_pc3	R-HSA-176187	Activation of ATR in response to replication stress	14	4	4	0.903	0.018	0.006	0.891
T2Dbmiadj_pwy510_pc3	R-HSA-69109	Leading Strand Synthesis	9	3	3	0.673	-0.145	0.107	0.687
T2Dbmiadj_pwy524_pc1	R-HSA-9022537	Loss of MECP2 binding ability to the NCoR/SMRT complex	17	5	5	0.529	0.126	0.106	0.51
T2Dbmiadj_pwy526_pc1	R-HSA-9005891	Loss of function of MECP2 in Rett syndrome	38	4	4	0.247	-0.233	0.407	0.184
T2Dbmiadj_pwy529_pc4	R-HSA-432720	Lysosome Vesicle Biogenesis	22	3	3	0.803	-0.054	0.039	0.827
T2Dbmiadj_pwy547_pc2	R-HSA-8875555	MET activates RAP1 and RAC1	23	3	3	0.574	0.192	0.181	0.524
T2Dbmiadj_pwy552_pc1	R-HSA-165159	MTOR signalling	16	3	3	0.852	-0.061	0.022	0.877
T2Dbmiadj_pwy578_pc3	R-HSA-194441	Metabolism of non-coding RNA	11	3	3	0.626	-0.114	0.14	0.637
T2Dbmiadj_pwy587_pc5	R-HSA-425410	Metal ion SLC transporters	32	3	3	0.263	0.146	0.543	0.222
T2Dbmiadj_pwy617_pc5	R-HSA-69618	Mitotic Spindle Checkpoint	6	3	3	0.032	-0.206	0.936	0.126
T2Dbmiadj_pwy622_pc1	R-HSA-2206281	Mucopolysaccharidoses	10	3	3	0.066	-0.324	0.872	0.223
T2Dbmiadj_pwy638_pc3	R-HSA-168333	NEP/NS2 Interacts with the Cellular Export Machinery	6	3	3	0.014	0.2	0.971	0.06
T2Dbmiadj_pwy653_pc3	R-HSA-9024446	NR1H2 and NR1H3-mediated signaling	6	3	3	0	0.302	0.999	0.002
T2Dbmiadj_pwy706_pc2	R-HSA-350054	Notch-HLH transcription pathway	8	3	3	0.613	0.093	0.15	0.569
T2Dbmiadj_pwy711_pc4	R-HSA-3301854	Nuclear Pore Complex (NPC) Disassembly	6	4	4	0.744	0.045	0.041	0.736
T2Dbmiadj_pwy741_pc1	R-HSA-5651801	PCNA-Dependent Long Patch Base Excision Repair	8	3	3	0.127	-1.191	0.761	0.102
T2Dbmiadj_pwy778_pc4	R-HSA-6802955	Paradoxical activation of RAF signaling by kinase inactive BRAF	35	3	3	0.576	-0.13	0.18	0.488
T2Dbmiadj_pwy790_pc1	R-HSA-9005895	Pervasive developmental disorders	12	4	4	0.247	-0.233	0.407	0.184
T2Dbmiadj_pwy795_pc3	R-HSA-5576890	Phase 3 - rapid repolarisation	25	3	3	0.367	-0.161	0.4	0.282
T2Dbmiadj_pwy823_pc3	R-HSA-69091	Polymerase switching	76	3	3	0.673	-0.145	0.107	0.687
T2Dbmiadj_pwy832_pc2	R-HSA-9615933	Postmitotic nuclear pore complex (NPC) reformation	38	3	3	0.795	-0.058	0.042	0.825
T2Dbmiadj_pwy860_pc3	R-HSA-8876725	Protein methylation	15	4	4	0.562	-0.109	0.123	0.556
T2Dbmiadj_pwy884_pc2	R-HSA-6802953	RAS signaling downstream of NF1 loss-of-function variants	31	3	3	0.648	0.129	0.124	0.644
T2Dbmiadj_pwy888_pc5	R-HSA-5663220	RHO GTPases Activate Formins	7	3	3	0.596	0.119	0.163	0.568
T2Dbmiadj_pwy895_pc4	R-HSA-5625970	RHO GTPases activate KTN1	10	3	3	0.01	-0.39	0.979	0.055
T2Dbmiadj_pwy941_pc5	R-HSA-73980	RNA Polymerase III Transcription Termination	24	3	3	0.033	0.281	0.935	0.109
T2Dbmiadj_pwy947_pc3	R-HSA-1368082	RORA activates gene expression	36	4	4	0.258	0.203	0.393	0.192
