factor	pwy	pwy_name	pwy_gene_num	num_snp_fdr.0.2	num_snp_noMHC	pval_in_fitting	slope_in_fitting	rsq_in_fitting	pval_in_resampling
HDL_pwy1087_pc1	R-HSA-9013973	TICAM1-dependent activation of IRF3/IRF7	7	3	3	0.525	0.12	0.225	0.424
HDL_pwy1151_pc5	R-HSA-1679131	Trafficking and processing of endosomal TLR	24	3	3	0.573	0.046	0.182	0.538
HDL_pwy1158_pc5	R-HSA-8953750	Transcriptional Regulation by E2F6	74	3	2	0.864	-0.014	0.018	0.886
HDL_pwy1222_pc3	R-HSA-5210891	Uptake and function of anthrax toxins	16	3	3	0.635	0.026	0.133	0.579
HDL_pwy1239_pc1	R-HSA-199220	Vitamin B5 (pantothenate) metabolism	99	3	3	0.634	0.026	0.134	0.68
HDL_pwy183_pc1	R-HSA-199920	CREB phosphorylation	89	3	3	0.656	-0.033	0.119	0.6
HDL_pwy189_pc3	R-HSA-2024101	CS/DS degradation	21	3	3	0.655	-0.031	0.119	0.621
HDL_pwy356_pc4	R-HSA-3296482	Defects in vitamin and cofactor metabolism	17	3	3	0.397	-0.08	0.364	0.284
HDL_pwy57_pc3	R-HSA-2151209	Activation of PPARGC1A (PGC-1alpha) by phosphorylation	14	3	3	0.002	0.095	0.995	0.002
HDL_pwy800_pc4	R-HSA-5654219	Phospholipase C-mediated cascade: FGFR1	10	3	3	0.01	0.088	0.98	0.027
HDL_pwy9_pc4	R-HSA-198323	AKT phosphorylates targets in the cytosol	8	3	3	0.143	-0.145	0.734	0.201
LDL_pwy1025_pc1	R-HSA-210745	Regulation of gene expression in beta cells	14	3	3	0.406	0.103	0.353	0.316
LDL_pwy1258_pc1	R-HSA-2046104	alpha-linolenic (omega3) and linoleic (omega6) acid metabolism	27	3	3	0.083	0.359	0.841	0.165
LDL_pwy1259_pc1	R-HSA-2046106	alpha-linolenic acid (ALA) metabolism	89	3	3	0.083	0.359	0.841	0.165
LDL_pwy147_pc4	R-HSA-425381	Bicarbonate transporters	25	3	3	0.957	0.004	0.002	0.965
