factor	pwy	pwy_name	pwy_gene_num	num_snp_fdr.0.2	num_snp_noMHC	pval_in_fitting	slope_in_fitting	rsq_in_fitting	pval_in_resampling
EUR.IBD_pwy131_pc4	04120	Ubiquitin mediated proteolysis	74	3	3	0.299	0.336	0.491	0.288
EUR.IBD_pwy154_pc3	04270	Vascular smooth muscle contraction	32	3	3	0.646	-0.141	0.125	0.687
EUR.IBD_pwy159_pc2	04360	Axon guidance	32	3	3	0	-0.81	0.999	0.001
EUR.IBD_pwy171_pc1	04550	Signaling pathways regulating pluripotency of stem cells	37	3	3	0.493	-0.458	0.257	0.504
EUR.IBD_pwy218_pc1	04916	Melanogenesis	35	4	4	0.445	-0.558	0.204	0.437
EUR.IBD_pwy226_pc3	04924	Renin secretion	34	3	3	0.594	-0.212	0.165	0.654
EUR.IBD_pwy2_pc1	00020	Citrate cycle (TCA cycle)	30	3	3	0.261	1.267	0.546	0.265
EUR.IBD_pwy307_pc1	05217	Basal cell carcinoma	25	4	4	0.012	-1.039	0.91	0.113
EUR.IBD_pwy66_pc5	00630	Glyoxylate and dicarboxylate metabolism	34	3	3	0.51	0.256	0.24	0.342
EUR.IBD_pwy67_pc1	00640	Propanoate metabolism	44	3	3	0.053	-2.872	0.896	0.086
EUR.IBD_pwy99_pc4	03022	Basal transcription factors	11	4	4	0.41	0.33	0.233	0.408
EUR.UC_pwy99_pc4	03022	Basal transcription factors	22	3	3	0.003	0.818	0.995	0.012
HDL_pwy194_pc1	04710	Circadian rhythm	18	3	3	0.014	-0.233	0.972	0.037
LDL_pwy118_pc3	04060	Cytokine-cytokine receptor interaction	11	3	3	0.551	0.143	0.201	0.527
LDL_pwy284_pc4	05161	Hepatitis B	74	3	2	0.468	0.098	0.283	0.458
SCZ_pwy101_pc3	03040	Spliceosome	158	3	3	0.935	-0.017	0.004	0.962
SCZ_pwy168_pc2	04520	Adherens junction	21	4	4	0.734	0.145	0.044	0.742
SCZ_pwy183_pc5	04650	Natural killer cell mediated cytotoxicity	137	3	3	0.031	0.266	0.939	0.199
SCZ_pwy228_pc5	04926	Relaxin signaling pathway	5	3	3	0.004	-0.354	0.993	0.036
SCZ_pwy255_pc3	05010	Alzheimer disease	57	3	3	0.005	-0.22	0.99	0.067
SCZ_pwy310_pc5	05220	Chronic myeloid leukemia	36	3	3	0.332	0.203	0.446	0.269
SCZ_pwy55_pc2	00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	40	4	4	0.515	-0.208	0.153	0.536
SCZ_pwy65_pc4	00620	Pyruvate metabolism	51	3	3	0.987	0.007	0	0.993
SCZ_pwy90_pc5	01523	Antifolate resistance	50	4	4	0.833	0.05	0.017	0.742
T1D_pwy10_pc1	00071	Fatty acid degradation	4	5	5	0.104	-1.142	0.523	0.078
T1D_pwy132_pc3	04122	Sulfur relay system	67	3	3	0.462	0.719	0.29	0.395
T1D_pwy84_pc1	00980	Metabolism of xenobiotics by cytochrome P450	51	3	3	0.897	-0.051	0.011	0.912
T2Dbmiadj_pwy102_pc3	03050	Proteasome	24	4	4	0.361	0.21	0.279	0.361
T2Dbmiadj_pwy106_pc2	03420	Nucleotide excision repair	38	3	3	0.713	0.114	0.082	0.735
T2Dbmiadj_pwy134_pc3	04136	Autophagy - other	18	3	3	0.629	0.178	0.138	0.603
T2Dbmiadj_pwy140_pc5	04145	Phagosome	44	3	3	0.005	0.162	0.99	0.035
T2Dbmiadj_pwy283_pc3	05160	Hepatitis C	5	5	5	0.486	-0.086	0.128	0.491
T2Dbmiadj_pwy287_pc3	05164	Influenza A	31	3	2	0.009	0.175	0.982	0.037
T2Dbmiadj_pwy304_pc3	05214	Glioma	13	3	3	0.468	-0.159	0.283	0.365
T2Dbmiadj_pwy322_pc4	05321	Inflammatory bowel disease	6	3	2	0.197	0.189	0.645	0.22
T2Dunadj_pwy145_pc3	04210	Apoptosis	18	3	2	0.011	0.308	0.979	0.056
T2Dunadj_pwy279_pc1	05145	Toxoplasmosis	5	3	3	0.682	-0.09	0.101	0.698
T2Dunadj_pwy287_pc3	05164	Influenza A	1	4	3	0.001	0.15	0.983	0.003
T2Dunadj_pwy322_pc4	05321	Inflammatory bowel disease	61	3	2	0.246	0.146	0.569	0.235
T2Dunadj_pwy36_pc2	00450	Selenocompound metabolism	40	3	3	0.404	0.211	0.355	0.334
T2Dunadj_pwy3_pc2	00030	Pentose phosphate pathway	53	3	3	0.618	0.149	0.146	0.587
TC_pwy149_pc3	04216	Ferroptosis	27	3	2	0.783	-0.06	0.047	0.799
TC_pwy159_pc2	04360	Axon guidance	31	3	3	0.462	-0.265	0.289	0.344
TC_pwy236_pc2	04934	Cushing syndrome	42	3	3	0.035	-0.356	0.931	0.098
TC_pwy284_pc4	05161	Hepatitis B	46	3	2	0.557	0.079	0.197	0.518
TC_pwy3_pc4	00030	Pentose phosphate pathway	24	3	3	0.016	-0.222	0.967	0.077
TG_pwy13_pc2	00120	Primary bile acid biosynthesis	50	3	2	0.001	-0.144	0.997	0
TG_pwy147_pc4	04213	Longevity regulating pathway - multiple species	5	3	3	0.811	0.039	0.036	0.861
TG_pwy23_pc3	00270	Cysteine and methionine metabolism	19	3	3	0.083	-0.276	0.841	0.139
TG_pwy241_pc5	04961	Endocrine and other factor-regulated calcium reabsorption	21	3	3	0.825	0.034	0.031	0.857
TG_pwy320_pc3	05310	Asthma	14	3	1	0.351	-0.044	0.421	0.446
TG_pwy44_pc5	00513	Various types of N-glycan biosynthesis	25	3	3	0.76	-0.042	0.058	0.823
TG_pwy60_pc5	00592	alpha-Linolenic acid metabolism	71	3	3	0.02	-0.207	0.961	0.077
WHR_pwy287_pc3	05164	Influenza A	80	3	3	0.002	-0.062	0.995	0.031
asthma_2_pwy107_pc5	26	26	26	3	3	0.58	1.432	0.177	0.609
bmi_pwy118_pc2	04060	Cytokine-cytokine receptor interaction	118	3	3	0.502	-0.026	0.248	0.424
bmi_pwy119_pc2	04061	Viral protein interaction with cytokine and cytokine receptor	49	3	3	0.487	-0.035	0.263	0.419
eo_pwy174_pc2	04612	Antigen processing and presentation	70	3	3	0.033	0.093	0.935	0.08
eo_pwy287_pc3	05164	Influenza A	30	3	3	0.047	-0.092	0.907	0.132
eo_pwy292_pc3	05169	Epstein-Barr virus infection	26	5	5	0.001	0.092	0.951	0.002
eo_pwy326_pc2	05332	Graft-versus-host disease	57	3	3	0.021	0.103	0.959	0.048
gran_pwy127_pc2	04080	Neuroactive ligand-receptor interaction	29	6	6	0.996	0	0	0.995
gran_pwy132_pc2	04122	Sulfur relay system	15	3	3	0.748	-0.05	0.063	0.767
gran_pwy163_pc1	04390	Hippo signaling pathway	20	3	3	0.614	0.057	0.149	0.587
gran_pwy251_pc5	04976	Bile secretion	43	3	3	0.606	-0.066	0.156	0.575
gran_pwy322_pc1	05321	Inflammatory bowel disease	30	3	3	0.668	-0.047	0.11	0.636
height_pwy126_pc5	04072	Phospholipase D signaling pathway	35	3	3	0.036	0.058	0.93	0.09
height_pwy260_pc2	05020	Prion disease	29	3	3	0.425	0.031	0.331	0.418
height_pwy47_pc4	00520	Amino sugar and nucleotide sugar metabolism	22	3	3	0.788	-0.021	0.045	0.8
lymph_pwy157_pc4	04340	Hedgehog signaling pathway	17	3	3	0.15	-0.21	0.722	0.225
lymph_pwy157_pc5	04340	Hedgehog signaling pathway	8	5	5	0.998	0	0	0.999
